v(),X.1,X,ans,p,tempr,pitch,roll,head,flownoise,speedSP,speedFN,Aw1,Aw2,Aw3,r,sec,MSA,jerk,dive,event,min.p,max.p,max.speed,min.speed,delta.speed,delta.p,tag,DateTime,p2,pitch2
1,6032,6032,-0.48318608,1.107810589,5.762631161,-55.93327558,-12.88680862,95.97285078,-67.97155988,NA,2.623867347,-0.48318608,-0.202957562,0.887097732,6032,1206.4,0.297545327,8.799974109,6,lunge,0.106762032,16.40665762,2.763619575,1,1.780099257,16.29989559,mn13_108a,2013-04-18 14:42:00,NA,NA
2,6487,6487,0.427731458,31.50523399,5.54645657,57.0954127,-15.15413314,160.8925465,-47.57753098,5.989522595,5.119469331,0.427731458,-0.205531334,0.758881509,6487,1297.4,-1.029295726,16.28378367,7,lunge,4.207158956,38.99642198,5.30392113,1.255295896,4.048625234,34.78926303,mn13_108a,2013-04-18 14:44:00,NA,NA
3,7712,7712,0.587064153,48.37013169,5.570565244,73.63694921,9.988885525,-80.26590576,-57.23592127,3.782468161,3.836766663,0.587064153,0.13602813,0.772329918,7712,1542.4,-0.199928953,9.754851255,8,lunge,14.75143734,53.0924949,4.166390053,2.743508037,1.422882016,38.34105756,mn13_108a,2013-04-18 14:48:00,NA,NA
4,8554,8554,0.835243195,35.70688559,5.464170981,92.81016503,63.21443705,-0.844122206,-58.59931893,NA,3.505474567,0.835243195,0.709919265,0.358381528,8554,1710.8,1.503159561,8.847317258,9,lunge,7.079225584,38.95798731,3.922914102,2.747528689,1.175385413,31.87876173,mn13_108a,2013-04-18 14:51:00,NA,NA
5,10120,10120,0.30645936,66.57435948,5.489974461,39.32672218,-11.47130477,-117.5558379,-63.4667192,NA,2.725870964,0.30645936,-0.17056409,0.840503725,10120,2024,-0.875295214,7.644840182,11,lunge,58.92471554,68.37519336,2.754239691,1.072601062,1.681638629,9.450477825,mn13_108a,2013-04-18 14:56:00,NA,NA
6,10527,10527,0.693126799,20.34622895,5.326562126,84.06001395,23.30690918,-76.24514823,-78.0967568,NA,1.522406068,0.693126799,0.304253728,0.706234817,10527,2105.4,0.345779822,8.579728217,11,lunge,7.438814539,20.85585592,1.78533342,1.031253106,0.754080313,13.41704138,mn13_108a,2013-04-18 14:57:00,NA,NA
7,12403,12403,0.157546614,17.37644854,5.711994,15.60273742,20.9776838,66.28670205,-86.79639726,NA,1.356176734,0.157546614,0.411674169,1.073697657,12403,2480.6,1.575500814,6.418219822,14,lunge,3.580159999,17.42052204,2.481419956,1.00623339,1.475186566,13.84036204,mn13_108a,2013-04-18 15:03:00,NA,NA
8,12654,12654,0.999102456,28.76158795,5.661432243,113.6203754,41.44382065,31.17026473,-47.23901877,NA,5.79375601,0.999102456,0.432568984,0.489897373,12654,2530.8,1.901196767,19.79936558,15,lunge,0.069961939,34.41919839,6.598191745,1.485582136,5.112609609,34.34923645,mn13_108a,2013-04-18 15:04:00,NA,NA
9,13517,13517,0.427395201,38.19256099,5.652643932,59.02871774,-15.03945185,118.9274405,-53.60469315,4.361739663,4.183096581,0.427395201,-0.1959045,0.729116998,13517,2703.4,-1.29881265,10.99263976,17,lunge,2.726011419,44.22218785,4.335181191,2.726202517,1.608978674,41.49617643,mn13_108a,2013-04-18 15:07:00,NA,NA
10,14071,14071,0.617928886,40.44036365,5.574379078,71.27348701,1.203733505,-91.2151511,-52.97665952,5.090484047,4.526662311,0.617928886,0.01810738,0.861755353,14071,2814.2,0.593884994,11.95626653,18,lunge,3.785156206,47.07234652,5.215363211,3.579883337,1.635479874,43.28719032,mn13_108a,2013-04-18 15:09:00,NA,NA
11,15900,15900,1.075169106,12.1333496,5.652951859,136.8588177,-29.77405449,96.79430851,-68.26686292,2.148461498,2.296640917,1.075169106,-0.21107239,0.368940469,15900,3180,1.531199861,12.46934928,21,lunge,0.031389541,15.95909048,2.637836241,1.465683589,1.172152652,15.92770094,mn13_108a,2013-04-18 15:15:00,NA,NA
12,17282,17282,0.752048526,8.545914693,5.405363768,119.1843965,9.906401234,-147.6328723,-72.63080953,NA,2.034826681,0.752048526,0.075931532,0.434781256,17282,3456.4,-1.255288737,8.096321732,22,lunge,0.006876518,12.44717145,2.206732132,1,1.214434263,12.44029493,mn13_108a,2013-04-18 15:20:00,NA,NA
13,20694,20694,1.056452733,34.63225685,5.359331699,133.1259928,25.51633569,54.45590949,-58.11698575,4.124999186,3.754095638,1.056452733,0.197282548,0.413308162,20694,4138.8,1.485214231,16.68016649,27,lunge,1.943465044,39.89780817,4.620378523,1.772833292,2.847545231,37.95434313,mn13_108a,2013-04-18 15:31:00,NA,NA
14,22377,22377,0.601593469,39.24722266,5.266160217,94.69133778,9.063232313,-129.8978858,-47.88274904,5.484883987,5.067480495,0.601593469,0.087307471,0.547327579,22377,4475.4,-1.784925535,15.08123171,29,lunge,0.473480311,47.15615164,5.448354596,1.605348964,3.843005632,46.68267133,mn13_108a,2013-04-18 15:37:00,NA,NA
15,23724,23724,0.607297116,38.70179906,5.387017524,52.79792962,10.75697008,22.98949007,-60.77019733,NA,3.535587231,0.607297116,0.228348605,1.201948819,23724,4744.8,3.588077427,25.2287986,31,lunge,31.13452287,39.14165326,3.643059681,1,2.876100087,8.00713039,mn13_108a,2013-04-18 15:41:00,NA,NA
16,26113,26113,0.630179521,52.17535831,5.203265317,83.10764874,18.46482622,125.0130747,-61.61356861,3.433177702,3.248837711,0.630179521,0.225171111,0.674340991,26113,5222.6,-0.490002029,7.009004511,32,lunge,20.90693953,57.15613435,3.655054481,2.218847763,1.436206718,36.24919482,mn13_108a,2013-04-18 15:49:00,NA,NA
