"","X.2","X.1","X","tag","dive","sec.min","max_depth","sec.max","dur","lunges","breaths","comments","Time.min","Time.max","dive_dur.s.","lunges.dive","sur_time_p.1","sec.min1","sur_time.s.","sur_time.min.","dive_dur.min.","sur_time.s.1","comments2","lat","lon","PreySpecies","respir.rate"
"1",1,1,2,"Mn13_109a",1,0.8,27.6,142.2,141.4,0,3,"none",1366394130.8,1366394273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"herring",1.27298444130127
"2",2,2,3,"Mn13_109a",2,142.4,49.3,400.6,258.2,0,2,"none",1366394272.4,1366394673,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.75077358,135.3055087,"herring",0.464756003098373
"3",3,3,4,"Mn13_109a",3,400.8,38.4,845.4,444.6,0,7,"none",1366394530.8,1366395376.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.75191784,135.2941845,"herring",0.944669365721997
"4",4,4,5,"Mn13_109a",4,845.6,43.2,1158.2,312.6,0,3,"none",1366394975.6,1366396133.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"herring",0.575815738963532
"5",5,5,6,"Mn13_109a",5,1158.4,29.2,1288.6,130.2,0,2,"none",1366395288.4,1366396577,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"herring",0.921658986175115
"6",6,6,8,"Mn13_109a",7,1307.2,33.2,1562.2,255,0,2,"none",1366395437.2,1366396999.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.74815733,135.2747934,"herring",0.470588235294118
"7",7,7,10,"Mn13_109a",9,1600,15.1,1653.4,53.4,0,1,"none",1366395730,1366397383.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.74815733,135.2747934,"herring",1.12359550561798
"8",8,8,11,"Mn13_109a",10,1653.6,45.9,2050.2,396.6,0,5,"none",1366395783.6,1366397833.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.74815733,135.2747934,"herring",0.75642965204236
"9",9,9,12,"Mn13_109a",11,2050.4,48.6,2393.4,343,1,3,"none",1366396180.4,1366398573.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.74815733,135.2747934,"herring",0.524781341107872
"10",10,10,15,"Mn13_109a",14,2454.4,21.5,2556.6,102.2,0,2,"none",1366396584.4,1366399141,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.74815733,135.2747934,"herring",1.17416829745597
"11",11,11,17,"Mn13_109a",16,2569.6,17.3,2671,101.4,0,3,"none",1366396699.6,1366399370.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.74815733,135.2747934,"herring",1.77514792899408
"12",12,12,19,"Mn13_109a",18,2696.8,32.6,3132.6,435.8,0,8,"none",1366396826.8,1366399959.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.74128067,135.2766757,"herring",1.10142267094998
"13",13,13,20,"Mn13_109a",19,3132.8,32,3584.6,451.8,0,3,"none",1366397262.8,1366400847.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.74483213,135.2450709,"herring",0.398406374501992
"14",14,14,21,"Mn13_109a",20,3584.8,32.9,4014.2,429.4,0,2,"none",1366397714.8,1366401729,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.74483213,135.2450709,"herring",0.279459711224965
"15",15,15,22,"Mn13_109a",21,4014.4,18.8,4312.6,298.2,0,7,"none",1366398144.4,1366402457,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.74483213,135.2450709,"herring",1.40845070422535
"16",16,16,23,"Mn13_109a",22,4312.8,26.6,4786.2,473.4,0,4,"none",1366398442.8,1366403229,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.74483213,135.2450709,"herring",0.506970849176172
"17",17,17,24,"Mn13_109a",23,4786.4,20.9,5095.8,309.4,0,1,"none",1366398916.4,1366404012.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.7468699,135.2921087,"herring",0.193923723335488
"18",18,18,25,"Mn13_109a",24,5096,21.3,5327,231,0,4,"none",1366399226,1366404553,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.7468699,135.2921087,"herring",1.03896103896104
"19",19,19,26,"Mn13_109a",25,5327.2,39.2,5680.6,353.4,0,4,"none",1366399457.2,1366405137.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.7468699,135.2921087,"herring",0.67911714770798
