Hatchery,Timing,ObsTime,
HiddenFalls,BeforeRelease,0:15:00,
Takatz,BeforeRelease,0:15:00,
MistCove,BeforeRelease,0:15:00,
LittlePortWalter,BeforeRelease,0:15:00,
PortArmstrong,BeforeRelease,0:15:00,
HiddenFalls,DuringRelease,0:15:00,
Takatz,DuringRelease,0:15:00,
MistCove,DuringRelease,0:15:00,
LittlePortWalter,DuringRelease,0:15:00,
PortArmstrong,DuringRelease,0:15:00,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Sv_mean,TS_mean,,
-32.99,-42.8,9.81,9.571940713
-32.99,-51,18.01,63.24118514
-34.07,-42.8,8.73,7.464487584
-34.07,-51,16.93,49.3173804
-32.94,-42.8,9.86,9.682778563
-32.94,-51,18.06,63.97348355
-41.84,-50.02,8.18,6.576578374
-41.84,-42.8,0.96,1.247383514
-35.24,-51,15.76,37.6703799
-28.29,-42.8,14.51,28.24879975
-28.29,-51,22.71,186.6379691
-27.36,-42.8,15.44,34.9945167
-27.36,-51,23.64,231.206479
-43.32,-50.04,6.72,4.698941086
-43.32,-51,7.68,5.861381645
-32.94,,,
-37,-42.8,5.8,3.801893963
-37,-51,14,25.11886432
