Hatchery,A.Release,ObsTime,Timing
HiddenFalls,1,0.010416667,AfterRelease
MistCove,1,0.010416667,AfterRelease
LittlePortWalter,1,0.010416667,AfterRelease
PortArmstrong,1,0.010416667,AfterRelease
HiddenFalls,3,0.010416667,AfterRelease
MistCove,3,0.010416667,AfterRelease
LittlePortWalter,3,0.010416667,AfterRelease
PortArmstrong,3,0.010416667,AfterRelease
HiddenFalls,5,0.010416667,AfterRelease
MistCove,5,0.010416667,AfterRelease
LittlePortWalter,5,0.010416667,AfterRelease
PortArmstrong,5,0.010416667,AfterRelease
HiddenFalls,10,0.010416667,AfterRelease
MistCove,10,0.010416667,AfterRelease
LittlePortWalter,10,0.010416667,AfterRelease
PortArmstrong,10,0.010416667,AfterRelease
HiddenFalls,15,0.010416667,AfterRelease
MistCove,15,0.010416667,AfterRelease
LittlePortWalter,15,0.010416667,AfterRelease
PortArmstrong,15,0.010416667,AfterRelease
HiddenFalls,,0.010416667,BeforeRelease
MistCove,,0.010416667,BeforeRelease
LittlePortWalter,,0.010416667,BeforeRelease
PortArmstrong,,0.010416667,BeforeRelease
HiddenFalls,,0.010416667,DuringRelease
MistCove,,0.010416667,DuringRelease
LittlePortWalter,,0.010416667,DuringRelease
PortArmstrong,,0.010416667,DuringRelease
Takatz,,0.010416667,DuringRelease
Takatz,,0.010416667,BeforeRelease
