source,explanation,parameters,Rname,units,values,notes,,Variable,value
Tag,,prey approach time,Tprey,s,8,,,t,
Tag,,engulfment time,Tengulf,s,4.2,,,,
Tag,,filter/recovery time,Tfilter,s,13,,,,
Tag,,lunge duration,Tlunge,s,41,,,,
Tag,,search time,Tsearch,s,15.8,,,,
Tag,,dive durtation,Tdive,s,11.3,,,,
Tag,,lunges per dive,Ldive,s,12.3,,,,
Tag,,descent+ascent time,Tcommute,s,180,,,,
Potvin et al 2012,length of body,Lbody,Lbody,m,14.4,mean,,,
Potvin et al 2012,length of VGB,L0,L0,m,8.64,scales with length,,,
Potvin et al 2012,length of the palete,Ljaw ,Ljaw,m,3.28,scales with length,,,
Potvin et al 2012,width of the skull,Whead,Whead,m,2.42,scales with length,,,
Potvin et al 2012,body mass,Mc,Mc,kg,46226,scales with length,,,
Potvin et al 2012,mean cross section of the empty body,Abody,Abody,m2,10.46,scales with length,,,
Tag,whale speed at beginning of mouth opening,Vc(0),Vc_0,m/s,2.29,scales with length,,,
tag,flukeing thrust during mout opening,Fthrust,Fthrust,N,4000,scales with length,,,
Potvin et al 2012,reaction constant (mouth opening),kopen/kclose,Kopen/Kclose,,1.26,scales with length,,,
,density of seawater,?w,Dwater, kg/m3,1025,,,,
,simulation time increment,dt,dt,s,0.01,,,,
,maximum gape angle,?gapemax,THETAgape, °,78,,,,
,"Apparent (or ""added"") mass coefficent",kam,Kam,,0.2,,,,
,reaction constant (mouth opening),kopen,Kopen,,10,,,,
,reaction constant (mouth closing),kclose,Kclose,,10,,,,
,shape drag coefficient of the body during mouth opening,CDopen,CDopen,,0.5,,,,
,shape drag coefficient of the body during mouth closing,CDclose,CDclose,,0.5,,,,
,shape drag coefficient of the body during non-feeding travel,CDbody,CDbody,,0.05,,,,
,jaw disarticulation factor,Xjd,Xjd,,1.03,,,,
,Scaling factor in the engulfment duration equation (equation 8),?,TAUengulf,,1,,,,
,Water speed at beginning of mouth opening,Vw(0),Vw_0,m/s,0,,,,
,Filling efficiency (buccal cavity ant-TMJ),?,CHI,,1,,,,
logical,Filling efficiency (buccal cavity post-TMJ),?,PHE,,1.6,1.6 if ( t ? 0.66 topen ); 0 if (0.66 topen < t ),,,
,total engulfment time,tengulf,Tengulf,,,,,,
,time the whale opens its mouth,topen,Topen,s,2.410829694,,,,
calculated value,active metabolic rate,AMR,AMR,,53500.88673,,,,
,synchornization factor,hsync,Hsync,,46.68829891,'= Fsync/Xjd = (?gapemax/?) sin ?gapemax Ljaw/(L0 - Ljaw),,,
,Mass of water entering VGB posterior to TMJ (first) Potvin et al 2012 equ 9,Mwpost-TMJ,Mw_Post-TMJ,,23004.78114,,,,
,Mass of water entering VGB anterior to TMJ (second) Potvin et al 2012 equ10,Mwant-TMJ,Mw_ant-TMJ,,14077.55263,,,,
