ID1,ID,Extra,Date,Yesterday,Year,Start_Time,End_Time,Hatchery,Observer_Initials,ReleaseToday,Release Data,ReleaseYesterday,Cloud_Cover,Precip,Wind,Num_SeaLions,Num_HarborSeals,Num_HarborPorpoises,Num_KillerWhales,Num_SeaOtters,Num_River_Otters,Num_Mink,Num_Gulls,Num_Eagles,Num_Sea Birds,Num_PredatoryFish,Others,Uncertain,Species_MinMaxBest,Num_Skiff,Num_Pleasure,Num_CommercialFishing,Num_CruiseShipFerry,Whale_Behavior,Barrier,Num_MnHatchery,MnHatchery_MinMaxBest,Num_MnArea,MnArea_MinMaxBest,When_whales_noticed,Last_Time_Seen,Why_observation_ended,noticed during obs period,during obs period?,total time,Comments,Human_Activity,Entered_By,Tide_Direction,Tidal_Amplitude,Min_After_Change,Feed_in_the_area
5,24,,4/28/2010,4/27/2010,2010,9:00:00,9:15:00,Hidden Falls,mm,No,n,,Sunny,None,Breezy,0,1,0,0,0,,,,,,,0,0,No Min/Max/Best,2,0,0,0,No Whales,No Barrier,0,,0,,,,,,,,,,em,Flood,18,99,
6,25,,4/28/2010,4/27/2010,2010,15:00:00,15:15:00,Hidden Falls,mm,No,n,,Sunny,Rain,Breezy,0,0,0,0,0,,,,,,,none,none,No Min/Max/Best,0,0,0,0,No Whales,No Barrier,0,,0,,,,,,,,,,em,Flood,14,89,
7,26,,4/29/2010,4/28/2010,2010,8:45:00,9:00:00,Hidden Falls,ag,No,n,,Overcast,None,No Wind,0,1,0,0,0,,,,,,,none,none,No Min/Max/Best,1,0,0,0,No Whales,No Barrier,0,,0,,,,,,,,,,em,Flood,18,43,
8,27,,4/29/2010,4/28/2010,2010,15:00:00,15:15:00,Hidden Falls,ag,No,n,,Partly Cloudy,None,Breezy,0,0,0,0,0,,,,,,,none,none,No Min/Max/Best,1,0,0,0,No Whales,No Barrier,0,,0,,,,,,,,,,em,Flood,15,310,
9,28,,4/30/2010,4/29/2010,2010,11:00:00,11:15:00,Hidden Falls,amo,No,n,,Overcast,Rain,Breezy,0,1,0,0,0,,,,,,,0,0,No Min/Max/Best,1,0,0,,No Whales,No Barrier,0,,0,,,,,,,,,,em,Flood,16,138,
10,29,,4/30/2010,4/29/2010,2010,13:00:00,13:15:00,Hidden Falls,MM,No,n,,Overcast,None,No Wind,0,1,0,0,0,,,,,,,0,0,No Min/Max/Best,1,0,0,0,No Whales,No Barrier,0,,0,,,,,,,,,,em,Slack,0,363,
11,30,,5/1/2010,4/30/2010,2010,8:15:00,8:30:00,Hidden Falls,cd,No,n,,Sunny,Rain,No Wind,0,0,0,0,0,,,,,,,heron,none,No Min/Max/Best,1,0,0,0,No Whales,No Barrier,0,,0,,,,,,,,,,em,Ebb,18,328,
12,31,,5/1/2010,4/30/2010,2010,15:00:00,15:15:00,Hidden Falls,mm,No,n,,Sunny,None,Breezy,0,0,0,0,0,,,,,,,none,none,No Min/Max/Best,2,0,0,0,No Whales,No Barrier,0,,0,,,,,,,,,,em,Flood,15,337,
13,32,,5/2/2010,5/1/2010,2010,8:30:00,9:00:00,Hidden Falls,cd,No,n,,Partly Cloudy,None,Breezy,0,2,0,0,0,,,,,,,heron,0,No Min/Max/Best,1,0,0,0,No Whales,No Barrier,0,,0,,,,,,,,,,em,Ebb,14,329,
14,33,,5/2/2010,5/1/2010,2010,15:30:00,16:00:00,Hidden Falls,cd,No,n,,Overcast,Rain,Breezy,0,0,0,0,0,,,,,,,none,none,No Min/Max/Best,1,0,0,0,No Whales,No Barrier,0,,0,,,,,,,,,,em,Flood,12,340,
