"","group",".energy_m3.mean",".prop_captured.mean",".energy_gain.mean",".energy_m3.se",".prop_captured.se",".energy_gain.se","gross.energy_gainkJ.Lunge.mean"
"5","HerringKB",3330.30893608878,0.332,22987.7842194916,673.318035000277,0,4647.64380623991,22987.7842194916
"7","HerringTI_large",635.123589310323,0.644,8503.90923397267,36.5489835959763,0,489.368123504346,8503.90923397267
"8","HerringTI_small",1166.784546172,0.28,6792.39924682676,191.077238601148,0,1112.35008709898,6792.39924682676
"10","KrillSS",321.474327374733,0.978,6536.71660106901,16.7417624226917,0,340.419582656115,6536.71660106901
"2","ChumTB",267.100814275744,0.929,5158.99885468923,62.4270170531022,0,1205.76535998927,5158.99885468923
"1","ChumKB",162.669723027336,0.937,3168.98967033001,38.0192984472422,0,740.658813516622,3168.98967033001
"6","HerringSC",405.448469772156,0.274,2309.7274403448,16.0917404153956,0,91.6701804824446,2309.7274403448
"3","CohoAfterRelease",42.0702141125431,0.854,746.976774201934,NA,NA,NA,746.976774201934
"4","CohoAtRelease",32.9478025640709,0.866,593.224190446077,NA,NA,NA,593.224190446077
"9","KrillSC",18.7828318434793,0.98,382.702810471063,0,0,0,382.702810471063
