"","prop_captured.vec","speed.vec","Rxn"
"1",0.983278105787782,0.05,0.25
"2",0.982556098058719,0.1,0.25
"3",0.979018532002205,0.25,0.25
"4",0.96864374117777,0.5,0.25
"5",0.94441804904499,1,0.25
"6",0.932100611694532,1.25,0.25
"7",0.919449614050526,1.5,0.25
"8",0.892355938067265,2,0.25
"9",0.867193688036327,2.5,0.25
"10",0.840207361251838,3,0.25
"11",0.982578512053804,0.05,0.5
"12",0.980160115849082,0.1,0.5
"13",0.968440605447044,0.25,0.5
"14",0.943457332608268,0.5,0.5
"15",0.891720718468773,1,0.5
"16",0.864283617748131,1.25,0.5
"17",0.838820409302896,1.5,0.5
"18",0.787415116673239,2,0.5
"19",0.738805288396966,2.5,0.5
"20",0.693889393943756,3,0.5
"21",0.979886358418539,0.05,1
"22",0.972555519389851,0.1,1
"23",0.942207990198591,0.25,1
"24",0.886239183430311,0.5,1
"25",0.77607930052657,1,1
"26",0.727171734029545,1.25,1
"27",0.680009906865051,1.5,1
"28",0.602079758554275,2,1
"29",0.540252676840495,2.5,1
"30",0.490151499334432,3,1
"31",0.976396403324473,0.05,1.5
"32",0.961676737185323,0.1,1.5
"33",0.909402115186145,0.25,1.5
"34",0.821706255389078,0.5,1.5
"35",0.665269684369257,1,1.5
"36",0.601261072860405,1.25,1.5
"37",0.547562348920138,1.5,1.5
"38",0.467691883997387,2,1.5
"39",0.409852052840805,2.5,1.5
"40",0.361022822072764,3,1.5
"41",0.971374188417112,0.05,2
"42",0.948849709916719,0.1,2
"43",0.874553211253108,0.25,2
"44",0.754710930656002,0.5,2
"45",0.561890861858814,1,2
"46",0.494978009462694,1.25,2
"47",0.442635679448584,1.5,2
"48",0.370681166001352,2,2
"49",0.317749606727955,2.5,2
"50",0.283028659219255,3,2
"51",0.96520631148075,0.05,2.5
"52",0.934038874293853,0.1,2.5
"53",0.837038823729963,0.25,2.5
"54",0.685859538475785,0.5,2.5
"55",0.47274776185053,1,2.5
"56",0.409215167674319,1.25,2.5
"57",0.366153143083147,1.5,2.5
"58",0.302538151746263,2,2.5
"59",0.260163763362618,2.5,2.5
"60",0.234265266294895,3,2.5
"61",0.958043208101427,0.05,3
"62",0.918300999309781,0.1,3
"63",0.798322606866208,0.25,3
"64",0.617645114968266,0.5,3
"65",0.40483704446393,1,3
"66",0.348857347410481,1.25,3
"67",0.309781087809743,1.5,3
"68",0.259119755231303,2,3
"69",0.226930089797102,2.5,3
"70",0.207938838848503,3,3
"71",0.950237107640622,0.05,3.5
"72",0.902384000764936,0.1,3.5
"73",0.758564264597951,0.25,3.5
"74",0.557044270391674,0.5,3.5
"75",0.351369852358024,1,3.5
"76",0.303745303035497,1.25,3.5
"77",0.271505497274742,1.5,3.5
"78",0.230242299466741,2,3.5
"79",0.2036171210564,2.5,3.5
"80",0.18347657338771,3,3.5
"81",0.942645881163851,0.05,4
"82",0.885811353708886,0.1,4
"83",0.722872096631503,0.25,4
"84",0.506696080900116,0.5,4
"85",0.316739346728428,1,4
"86",0.27218523572116,1.25,4
"87",0.244829646290817,1.5,4
"88",0.204836071264877,2,4
"89",0.180898634157649,2.5,4
"90",0.16189527142839,3,4
"91",0.935344190165122,0.05,4.5
"92",0.871098846414655,0.1,4.5
"93",0.68788249082542,0.25,4.5
"94",0.465247004283098,0.5,4.5
"95",0.287601335559401,1,4.5
"96",0.247681577106294,1.25,4.5
"97",0.223709507242747,1.5,4.5
"98",0.18686164957829,2,4.5
"99",0.158769526011814,2.5,4.5
"100",0.140180462150836,3,4.5
"101",0.928232761313914,0.05,5
"102",0.856918646968582,0.1,5
"103",0.65488512755895,0.25,5
"104",0.430593463886529,0.5,5
"105",0.267469886995453,1,5
"106",0.231245477576949,1.25,5
"107",0.204686522312803,1.5,5
"108",0.169947341605542,2,5
"109",0.142579524881829,2.5,5
"110",0.117805426730786,3,5
