"","prop_captured.vec","speed.vec","Rxn"
"1",0.983307838527474,0.05,0.25
"2",0.982577476570612,0.1,0.25
"3",0.979029933432568,0.25,0.25
"4",0.968620398786387,0.5,0.25
"5",0.944350928809151,1,0.25
"6",0.932006413186133,1.25,0.25
"7",0.919334020984479,1.5,0.25
"8",0.892206752425955,2,0.25
"9",0.867013753776382,2.5,0.25
"10",0.84000192260507,3,0.25
"11",0.982599697890028,0.05,0.5
"12",0.980180570407725,0.1,0.5
"13",0.968415989421652,0.25,0.5
"14",0.943386108036889,0.5,0.5
"15",0.891567729427453,1,0.5
"16",0.864098978798028,1.25,0.5
"17",0.838607914808877,1.5,0.5
"18",0.787172309292149,2,0.5
"19",0.738573634697217,2.5,0.5
"20",0.693706092851076,3,0.5
"21",0.979905939334776,0.05,1
"22",0.972536041718292,0.1,1
"23",0.942129287883582,0.25,1
"24",0.886078421840943,0.5,1
"25",0.775819158685477,1,1
"26",0.726918932188799,1.25,1
"27",0.679807027499019,1.5,1
"28",0.602040876342731,2,1
"29",0.540384092401503,2.5,1
"30",0.490427076534192,3,1
"31",0.97639611059349,0.05,1.5
"32",0.961634892644057,0.1,1.5
"33",0.909271359296001,0.25,1.5
"34",0.821468009511448,0.5,1.5
"35",0.665049569815228,1,1.5
"36",0.601172957212179,1.25,1.5
"37",0.547625536003742,1.5,1.5
"38",0.468023286311261,2,1.5
"39",0.410387844036659,2.5,1.5
"40",0.361715656217814,3,1.5
"41",0.97135171089505,0.05,2
"42",0.948778611584336,0.1,2
"43",0.874375383532768,0.25,2
"44",0.754418290636578,0.5,2
"45",0.561859863364496,1,2
"46",0.495171493454878,1.25,2
"47",0.443026706683709,1.5,2
"48",0.37136923772564,2,2
"49",0.318638395278013,2.5,2
"50",0.284055922416207,3,2
"51",0.965163822269153,0.05,2.5
"52",0.933940485143477,0.1,2.5
"53",0.836811796060534,0.25,2.5
"54",0.685558159262424,0.5,2.5
"55",0.472978700710093,1,2.5
"56",0.409715480202863,1.25,2.5
"57",0.366862442631592,1.5,2.5
"58",0.303527154259893,2,2.5
"59",0.261311232355606,2.5,2.5
"60",0.235504621187668,3,2.5
"61",0.957980676954082,0.05,3
"62",0.91817951111118,0.1,3
"63",0.798050435373963,0.25,3
"64",0.617400728190325,0.5,3
"65",0.405342902482583,1,3
"66",0.349638905289024,1.25,3
"67",0.310753152085436,1.5,3
"68",0.26030731327433,2,3
"69",0.228208713313772,2.5,3
"70",0.209261787455031,3,3
"71",0.950162519273877,0.05,3.5
"72",0.902238125187769,0.1,3.5
"73",0.758256908713968,0.25,3.5
"74",0.556915269336192,0.5,3.5
"75",0.352111746222254,1,3.5
"76",0.304727165630011,1.25,3.5
"77",0.272633235410429,1.5,3.5
"78",0.231508802842651,2,3.5
"79",0.204921438033369,2.5,3.5
"80",0.184768964346217,3,3.5
"81",0.942562049806681,0.05,4
"82",0.885644927596599,0.1,4
"83",0.722545050872646,0.25,4
"84",0.506713990867528,0.5,4
"85",0.317649438438671,1,4
"86",0.273280408181849,1.25,4
"87",0.246029548853203,1.5,4
"88",0.206095267215005,2,4
"89",0.182153685111261,2.5,4
"90",0.163107665449817,3,4
"91",0.935249459619125,0.05,4.5
"92",0.870913970332653,0.1,4.5
"93",0.687554023054846,0.25,4.5
"94",0.465418388635644,0.5,4.5
"95",0.28861406687519,1,4.5
"96",0.248830681175592,1.25,4.5
"97",0.224931440853724,1.5,4.5
"98",0.188096112670385,2,4.5
"99",0.159936101667602,2.5,4.5
"100",0.141279429862556,3,4.5
