"","X.2","X","ans","p","tempr","pitch","roll","head","flownoise","speedSP","speedFN","Aw1","Aw2","Aw3","r","sec","MSA","jerk","dive","event","min.p","max.p","max.speed","min.speed","delta.speed","delta.p","tag","LAT","LON","LAT_prev","LON_prev","DateTime","pnorm","Am1","Am2","Am3","X.1","DN","JigRMS","Light","LightIR","Paddles","T","camon","tagon","Aw.1","Aw.2","Aw.3","At.1","At.2","At.3","DV.1","DV.2","DV.3","DV.4","DV.5","DV.6","Gt.1","Gt.2","Gt.3","Gw.1","Gw.2","Gw.3","Mt.1","Mt.2","Mt.3","Mw.1","Mw.2","Mw.3","A.1","A.2","A.3","Depth","I","MtO.1","MtO.2","MtO.3","Mtoff.1","Mtoff.2","Mtoff.3","camondec","camoffdec","Temp","At.mag","Mt.mag","Times","camonNTdec","camoffNTdec","Mt1.1","Mt1.2","Mt1.3","Mtoff1.1","Mtoff1.2","Mtoff1.3","Mt2.1","Mt2.2","Mt2.3","MtTemp.1","MtTemp.2","MtTemp.3","Mt.mag1","Mtbench.1","Mtbench.2","Mtbench.3","smoothp","njerk","roll2","n2","head2","Mh.1","Mh.2","Mh.3","DB","Tcamondec","speedJJ","speedFNexp","speedFNtot","dd","Mpitch","MDB","Istot","rollrate","TspeedFN","TspeedJJ","DR","goodJ","goodFN","lb","minSP","TEST2.1","TEST2.2","TEST2.3","TEST","Imax","I2big","I2small","M.1","M.2","M.3","G.1","G.2","G.3","speedSPT","ï..Date","Time","T1","Tsec","Tmin","Pressure","Depth..m.","Vv","Magneto1","Magneto2","Magneto3","Gyro1","Gyro2","Gyro3","Accel1","Pitch","Accel2","Accel3","Speed","Vk","Speed2_paddle.wheel.VVSP","Date","quality","Densitym3","prey.dist","prey.time","Sv_mean","sa_adj","mass_g","kJ_g","Length_cm","Beam_volume_sum","TS","Prey.Depth_mean","weight"
"1",1,6032,-0.48318608,1.107810589,5.762631161,-55.93327558,-12.88680862,95.97285078,-67.97155988,NA,2.623867347,-0.48318608,-0.202957562,0.887097732,6032,1206.4,0.297545327,8.799974109,6,"lunge",0.106762032,16.40665762,2.763619575,1,1.780099257,16.29989559,"mn13_108a",57.767487,-135.333715,57.765893,-135.330213,2013-04-18 14:42:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"18042013",0.470780333889018,0.258362094,41.2341001667054,0.166666666666667,-46.534611,0.000499416,117,5.4,NA,58790.36878,-40.63044027,68.714765,1
"2",2,6487,0.427731458,31.50523399,5.54645657,57.0954127,-15.15413314,160.8925465,-47.57753098,5.989522595,5.119469331,0.427731458,-0.205531334,0.758881509,6487,1297.4,-1.029295726,16.28378367,7,"lunge",4.207158956,38.99642198,5.30392113,1.255295896,4.048625234,34.78926303,"mn13_108a",57.766108,-135.331294,57.765351,-135.328676,2013-04-18 14:44:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"18042013",0.924064781971722,0.258362094,197.219434591517,0.133333333333333,-46.534611,0.000499416,117,5.4,NA,58790.36878,-40.63044027,68.714765,1
"3",3,7712,0.587064153,48.37013169,5.570565244,73.63694921,9.988885525,-80.26590576,-57.23592127,3.782468161,3.836766663,0.587064153,0.13602813,0.772329918,7712,1542.4,-0.199928953,9.754851255,8,"lunge",14.75143734,53.0924949,4.166390053,2.743508037,1.422882016,38.34105756,"mn13_108a",57.765384,-135.329065,57.765143,-135.330361,2013-04-18 14:48:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"18042013",1.30635378739279,0.258362094,351.906136217838,0.0666666666666667,-46.534611,0.000499416,117,5.4,NA,58790.36878,-40.63044027,68.714765,0.765489417683543
"4",4,9596,0.057670057,8.224134216,5.651215252,7.94726339,-4.517597821,-56.25410098,-70.81166103,NA,1.950591741,0.057670057,-0.065391782,0.827631383,9596,1919.2,-1.645445184,6.652043963,11,"lunge",7.051887764,13.65127235,2.365906266,1.403785477,0.962120789,6.599384589,"mn13_108a",57.763393,-135.326385,57.764043,-135.333405,2013-04-18 14:54:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"18042013",2.11665616677165,0.258362094,614.996850031496,0.0333333333333333,-46.534611,0.000499416,117,5.4,NA,58790.36878,-40.63044027,68.714765,0.47244328847477
"5",5,10120,0.30645936,66.57435948,5.489974461,39.32672218,-11.47130477,-117.5558379,-63.4667192,NA,2.725870964,0.30645936,-0.17056409,0.840503725,10120,2024,-0.875295214,7.644840182,11,"lunge",58.92471554,68.37519336,2.754239691,1.072601062,1.681638629,9.450477825,"mn13_108a",57.764626,-135.327023,57.765076,-135.336803,2013-04-18 14:56:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"18042013",1.79870374669922,0.258362094,499.611124009767,0.0666666666666667,-46.534611,0.000499416,117,5.4,NA,58790.36878,-40.63044027,68.714765,0.555955922055028
"6",6,10527,0.693126799,20.34622895,5.326562126,84.06001395,23.30690918,-76.24514823,-78.0967568,NA,1.522406068,0.693126799,0.304253728,0.706234817,10527,2105.4,0.345779822,8.579728217,11,"lunge",7.438814539,20.85585592,1.78533342,1.031253106,0.754080313,13.41704138,"mn13_108a",57.764607,-135.326997,57.764725,-135.338803,2013-04-18 14:57:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"18042013",1.8402566757372,0.258362094,502.07700272116,0.0833333333333333,-46.534611,0.000499416,117,5.4,NA,58790.36878,-40.63044027,68.714765,0.543402457485668
"7",7,12403,0.157546614,17.37644854,5.711994,15.60273742,20.9776838,66.28670205,-86.79639726,NA,1.356176734,0.157546614,0.411674169,1.073697657,12403,2480.6,1.575500814,6.418219822,14,"lunge",3.580159999,17.42052204,2.481419956,1.00623339,1.475186566,13.84036204,"mn13_108a",57.763037,-135.319357,57.764966,-135.34053,2013-04-18 15:03:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"18042013",3.63896932516174,0.258362094,981.690797548522,0.183333333333333,-46.534611,0.000499416,117,5.4,NA,58790.36878,-40.63044027,68.714765,0.274803085886291
"8",8,13517,0.427395201,38.19256099,5.652643932,59.02871774,-15.03945185,118.9274405,-53.60469315,4.361739663,4.183096581,0.427395201,-0.1959045,0.729116998,13517,2703.4,-1.29881265,10.99263976,17,"lunge",2.726011419,44.22218785,4.335181191,2.726202517,1.608978674,41.49617643,"mn13_108a",57.761425,-135.322525,57.764174,-135.33893,2013-04-18 15:07:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"18042013",3.57049113857039,0.934101113,881.147341571116,0.316666666666667,-40.745253,0.001720267,117,5.4,NA,31833.61642,-40.35828123,49.941304,0.280073514032133
"9",9,14071,0.617928886,40.44036365,5.574379078,71.27348701,1.203733505,-91.2151511,-52.97665952,5.090484047,4.526662311,0.617928886,0.01810738,0.861755353,14071,2814.2,0.593884994,11.95626653,18,"lunge",3.785156206,47.07234652,5.215363211,3.579883337,1.635479874,43.28719032,"mn13_108a",57.763745,-135.322769,57.765388,-135.339814,2013-04-18 15:09:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"18042013",3.11550196268215,0.934101113,764.650588804646,0.283333333333333,-40.745253,0.001720267,117,5.4,NA,31833.61642,-40.35828123,49.941304,0.320975564123572
"10",10,15900,1.075169106,12.1333496,5.652951859,136.8588177,-29.77405449,96.79430851,-68.26686292,2.148461498,2.296640917,1.075169106,-0.21107239,0.368940469,15900,3180,1.531199861,12.46934928,21,"lunge",0.031389541,15.95909048,2.637836241,1.465683589,1.172152652,15.92770094,"mn13_108a",57.768142,-135.338145,57.764739,-135.346453,2013-04-18 15:15:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"18042013",0.400845677759274,2.003854969,40.2537033277822,0.133333333333333,-37.947585,0.009032846,117,5.4,NA,331581.1172,-40.49601739,58.803649,1
