tag,group,speed?,dive start,dive stop,lunges,breaths,breaths_lunges,dur,group size,group type,lunge depth,dive depth,TOD start,TOD end,prey,? speed,max speed
Hobo,ChumTB,nospeed,0,0,8,24,2.9,902,1,small,5,10,,,chum,,
PJ,CohoKB,nospeed,,,3,10,,1107,,,5,10,,,coho,,
mn14_113b,HerringSC,speed,54,130,73,315,4.315068493,,1 to 4,small,,,,,herring,,
mn14_113a,HerringSC,speed,10,24,11,63,5.727272727,,2 to 3,small,,,,,herring,,
mn14_110a,HerringSC,speed,115,259,39,175,4.487179487,,2,small,,,,,herring,,
mn13_110a,KrillTI,speed,45,84,48,40,0.833333333,,2,small,,,,,krill,,
mn13_110a,KrillTI,speed,92,186,122,100,0.819672131,,1 to 4,small,,,,,krill,,
mn14_114a,KrillSC,speed,1,6,53,55,1.037735849,,2,small,,,,,krill,,
mn12_263a,KrillSS,nospeed,2,15,145,148,1.020689655,9016,1 to 2,small,128.6,133.6,,,krill,,
mn12_264a,KrillSS,nospeed,2,10,60,77,1.283333333,6268,2,small,150.8,155.8,,,krill,,
mn12_264b,KrillSS,nospeed,1,15,139,158,1.136690647,9192,2,small,116.9,121.9,,,krill,,
mn12_265a,KrillSS,nospeed,4,24,161,223,1.385093168,11764,2 to 3,small,135,140,,,krill,,
mn13_108a,HerringTI_small,speed,6,32,16,69,4.3125,,3,small,,,,,spawning herring,,
mn13_108a,HerringTI_small,speed,48,78,12,66,5.5,,7,medium,,,,,spawning herring,,
mn13_113d,HerringTI_large,speed,1,38,15,120,8,,14 to 15,large,,,,,spawning herring,,
mn13_109a,HerringTI_small,speed,84,128,27,62,2.296296296,,2 to 3,small,,,,,spawning herring,,
mn13_109a,HerringTI_small,speed,37,66,16,68,4.25,,2 to 3,small,,,,,spawning herring,,
mn13_112a,HerringTI_large,speed,53,156,41,403,9.829268293,,5 to 15,large,,,,,spawning herring,,
mn13_113a,HerringTI_large,speed,1,63,22,124,5.636363636,,10 to 15,large,,,,,spawning herring,,
mn13_111a,HerringTI_large,speed,1,151,61,425,6.967213115,,11,large,,,,,spawning herring,,
mn14_113b,UNKSC,speed,140,420,281,332,1.181494662,,unk,small,,,,,unk,,
mn12_262b,KrillSS,speed,1,37,283,378,1.335689046,20340,,small,,,,,krill,,
mn12_262a,KrillSS,speed,1,33,282,327,1.159574468,19799,,small,,,,,krill,,
