source,explanation,parameters,Rname,units,values,values2,values3,values4,values5,values6,values7,values8,values_orig,notes
Tag,,prey approach time,Tprey,s,8,8,8,8,8,8,8,8,8,
Tag,,engulfment time,Tengulf,s,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,
Tag,,filter/recovery time,Tfilter,s,13,13,13,13,13,13,13,13,13,
Tag,,lunge duration,Tlunge,s,41,41,41,41,41,41,41,41,41,
Tag,,search time,Tsearch,s,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,
Tag,,dive durtation,Tdive,s,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,
Tag,,lunges per dive,Ldive,s,12.3,12.3,12.3,12.3,12.3,12.3,12.3,12.3,12.3,
Tag,,descent+ascent time,Tcommute,s,180,180,180,180,180,180,180,180,180,
Potvin et al 2012,length of body,Lbody,Lbody,m,12.3,10,11.1,12.3,13.3,14,14.4,12.3,14.4,mean
Potvin et al 2012,length of VGB,L0,L0,m,7.45,5.82,6.59,7.45,8.18,8.69,8.99,7.45,8.64,scales with length see rescaling spread sheet and Goldbogen et al 2012
Potvin et al 2012,length of the palete,Ljaw ,Ljaw,m,2.8,2.18,2.48,2.8,3.08,3.28,3.39,2.8,3.28,scales with length see rescaling spread sheet and Goldbogen et al 2013
Potvin et al 2012,width of the skull,Whead,Whead,m,2.11,1.71,1.9,2.12,2.29,2.42,2.49,2.12,2.42,scales with length see rescaling spread sheet and Goldbogen et al 2014
Potvin et al 2012,body mass,Mc,Mc,kg,26942,11364,17560,26942,37324,46226,51988,22255.11444,46226,scales with length see rescaling spread sheet and Goldbogen et al 2015 * values 9 is based low lower std dev
Potvin et al 2012,mean cross section of the empty body,Abody,Abody,m2,6.697287659,3.790180532,5.050078026,6.697287659,8.303322557,9.561191014,10.33134227,6.697287659,10.33134227,
Tag,whale speed at beginning of mouth opening,Vc(0),Vc_0,m/s,2.29,2.29,2.29,2.29,2.29,2.29,2.29,2.29,2.29,
tag,flukeing thrust during mout opening,Fthrust,Fthrust,N,4000,4000,4000,4000,4000,4000,4000,4000,4000,
Potvin et al 2012,reaction constant (mouth opening),kopen/kclose,Kopen__Kclose,,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,
,density of seawater,?w,Dwater, kg/m3,1025,1025,1025,1025,1025,1025,1025,1025,1025,
,simulation time increment,dt,dt,s,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,
,maximum gape angle,?gapemax,THETAgape, °,78,78,78,78,78,78,78,78,78,
,"Apparent (or ""added"") mass coefficent",kam,Kam,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,
,reaction constant (mouth opening),kopen,Kopen,,10,10,10,10,10,10,10,10,10,
,reaction constant (mouth closing),kclose,Kclose,,10,10,10,10,10,10,10,10,10,
,shape drag coefficient of the body during mouth opening,CDopen,Cd_open,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,
,shape drag coefficient of the body during mouth closing,CDclose,Cd_close,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,
,shape drag coefficient of the body during non-feeding travel,CDbody,Cd_body,,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,
,jaw disarticulation factor,Xjd,Xjd,,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,same reguardless of scale
,Scaling factor in the engulfment duration equation (equation 8),?,TAUengulf,,1,1,1,1,1,1,1,1,1,
,Water speed at beginning of mouth opening,Vw(0),Vw_0,m/s,0,0,0,0,0,0,0,0,0,
,Filling efficiency (buccal cavity ant-TMJ),?,CHI,,1,1,1,1,1,1,1,1,1,
logical,Filling efficiency (buccal cavity post-TMJ),?,PHE,,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6 if ( t ? 0.66 topen ); 0 if (0.66 topen < t )
,time the whale opens its mouth,topen,Topen,s,2.410829694,2.41,2.41,2.41,2.41,2.41,2.41,2.41,2.410829694,
calculated value,active metabolic rate,AMR,AMR,,53500.88673,53500.89,53500.89,53500.89,53500.89,53500.89,53500.89,53500.89,53500.88673,
,synchornization factor,hsync,Hsync,,46.68829891,46.69,46.69,46.69,46.69,46.69,46.69,46.69,46.68829891,'= Fsync/Xjd = (?gapemax/?) sin ?gapemax Ljaw/(L0 - Ljaw)
,Mass of water entering VGB posterior to TMJ (first) Potvin et al 2012 equ 9,Mwpost-TMJ,Mw_Post-TMJ,,23004.78114,23004.78,23004.78,23004.78,23004.78,23004.78,23004.78,23004.78,23004.78114,
,Mass of water entering VGB anterior to TMJ (second) Potvin et al 2012 equ10,Mwant-TMJ,Mw_ant-TMJ,,14077.55263,14077.55,14077.55,14077.55,14077.55,14077.55,14077.55,14077.55,14077.55263,
