"","X.4","X.3","X.1","X","ans","p","tempr","pitch","roll","head","flownoise","speedSP","speedFN","Aw1","Aw2","Aw3","r","sec","MSA","jerk","dive","event","min.p","max.p","max.speed","min.speed","delta.speed","delta.p","tag","DateTime","LAT","LON","pnorm","Am1","Am2","Am3","DN","JigRMS","Light","LightIR","Paddles","T","camon","tagon","Aw.1","Aw.2","Aw.3","At.1","At.2","At.3","DV.1","DV.2","DV.3","DV.4","DV.5","DV.6","Gt.1","Gt.2","Gt.3","Gw.1","Gw.2","Gw.3","Mt.1","Mt.2","Mt.3","Mw.1","Mw.2","Mw.3","Temp","roll2","n2","head2","speedJJ","speedFNexp","rollrate","TspeedFN","TspeedJJ","X.2","ï..Date","Time","T1","Tsec","Tmin","Pressure","Depth..m.","Vv","Magneto1","Magneto2","Magneto3","Gyro1","Gyro2","Gyro3","Accel1","Pitch","Accel2","Accel3","Speed","Vk","Speed2_paddle.wheel.VVSP","dive1","Date","quality","Densitym3","prey.dist","prey.time","Sv_mean","sa_adj","mass_g","kJ_g","Length_cm","Beam_volume_sum","TS","Prey.Depth_mean","weight"
"759",940,940,11267,39.930702,NA,33.930702,NA,NA,NA,NA,NA,NA,3.6479,NA,NA,NA,NA,4481.65,84054.10591,31349.89475,1,"lunge",30.256302,35.79693,4.3304,1.6004,2.73,5.540628,"mn14_114a","2014-04-24 15:38:04",57.61747,-133.92529,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.4375,NA,NA,NA,NA,NA,NA,NA,NA,11267,"24.04.2014","15:38:04:0025",179266,4481.65,74.69416667,33583234,33.930702,0,354,-242,93,32767,32767,32767,4576,27.23234799,6464,3280,13,0,3.6479,1,24042014,4.3192594443525,NA,642.777833305749,1.08833333333333,-62.6,NA,NA,2.94,1,NA,-85,940,0.231521169979154
"760",941,941,12365,46.388262,NA,40.388262,NA,NA,NA,NA,NA,NA,4.7854,NA,NA,NA,NA,4509.1,86710.6161,65080.78497,1,"lunge",32.148966,41.37207,4.7854,1.1454,3.64,9.223104,"mn14_114a","2014-04-24 15:38:31",57.61747,-133.92529,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.0625,NA,NA,NA,NA,NA,NA,NA,NA,12365,"24.04.2014","15:38:31:0625",180364,4509.1,75.15166667,35735754,40.388262,0,380,-282,33,32767,32767,32767,5936,36.4128935,3840,5312,18,0,4.7854,1,24042014,4.3042594443525,NA,642.777833305749,1.08083333333333,-62.6,NA,NA,2.94,1,NA,-85,941,0.232328002744368
"761",942,942,14109,48.061578,NA,42.061578,NA,NA,NA,NA,NA,NA,4.1029,NA,NA,NA,NA,4552.7,91216.92908,34934.47431,1,"lunge",34.471614,43.417434,4.1029,1,3.185,8.94582,"mn14_114a","2014-04-24 15:39:15",57.61747,-133.92529,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.625,NA,NA,NA,NA,NA,NA,NA,NA,14109,"24.04.2014","15:39:15:0225",182108,4552.7,75.87833333,36293526,42.061578,0,334,-220,133,32767,32767,32767,4288,25.39142921,6784,4704,15,0,4.1029,1,24042014,4.27981499990805,NA,642.777833305749,1.06861111111111,-62.6,NA,NA,2.94,1,NA,-85,942,0.233654959389946
"762",943,943,15327,43.401306,NA,37.401306,NA,NA,NA,NA,NA,NA,3.4204,NA,NA,NA,NA,4583.15,89040.89977,38906.85074,1,"lunge",34.671822,42.945126,3.8754,1,2.9575,8.273304,"mn14_114a","2014-04-24 15:39:45",57.61747,-133.92529,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.375,NA,NA,NA,NA,NA,NA,NA,NA,15327,"24.04.2014","15:39:45:0850",183326,4583.15,76.38583333,34740102,37.401306,0,47,-8,152,32767,32767,32767,-7152,-45.65959228,4768,-2928,12,0,3.4204,1,24042014,4.26314833324139,NA,642.777833305749,1.06027777777778,-62.6,NA,NA,2.94,1,NA,-85,943,0.23456842732931
"763",944,944,16487,45.63339,NA,39.63339,NA,NA,NA,NA,NA,NA,3.8754,NA,NA,NA,NA,4612.15,82658.42644,35660.09455,1,"lunge",27.350598,41.789214,4.7854,1.1454,3.64,14.438616,"mn14_114a","2014-04-24 15:40:14",57.61747,-133.92529,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.1875,NA,NA,NA,NA,NA,NA,NA,NA,16487,"24.04.2014","15:40:14:0850",184486,4612.15,76.86916667,35484130,39.63339,0,429,-164,-63,32767,32767,32767,8000,53.13010235,-768,2544,14,0,3.8754,1,24042014,4.24703722213028,NA,642.777833305749,1.05222222222222,-62.6,NA,NA,2.94,1,NA,-85,944,0.235458261300194
"764",945,945,18041,37.421022,NA,31.421022,NA,NA,NA,NA,NA,NA,3.8754,NA,NA,NA,NA,4651,74780.74443,34218.81992,1,"lunge",28.63791,40.713558,3.8754,1.1454,2.73,12.075648,"mn14_114a","2014-04-24 15:40:53",57.61747,-133.92529,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.0625,NA,NA,NA,NA,NA,NA,NA,NA,18041,"24.04.2014","15:40:53:0850",186040,4651,77.51666667,32746674,31.421022,0,-34,-77,143,32767,32767,32767,-5552,-33.72449139,4288,-2992,14,0,3.8754,1,24042014,4.22537055546361,NA,642.777833305749,1.04138888888889,-62.6,NA,NA,2.94,1,NA,-85,945,0.236665633670153
"765",946,946,20207,48.669786,NA,42.669786,NA,NA,NA,NA,NA,NA,3.6479,NA,NA,NA,NA,4705.15,97702.07133,167279.407,1,"lunge",31.519926,45.015066,3.8754,1,3.185,13.49514,"mn14_114a","2014-04-24 15:41:48",57.61747,-133.92529,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.875,NA,NA,NA,NA,NA,NA,NA,NA,20207,"24.04.2014","15:41:48:0150",188206,4705.15,78.41916667,36496262,42.669786,0,407,-178,47,32767,32767,32767,8160,54.68635995,4416,3632,13,0,3.6479,1,24042014,4.19481499990805,NA,642.777833305749,1.02611111111111,-62.6,NA,NA,2.94,1,NA,-85,946,0.238389535658168
"766",947,947,28911,56.458074,NA,50.458074,NA,NA,NA,NA,NA,NA,3.8754,NA,NA,NA,NA,4922.75,68447.97197,31701.7162,2,"lunge",40.58025,51.570702,4.5579,1,3.8675,10.990452,"mn14_114a","2014-04-24 15:45:26",57.61747,-133.92529,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.9375,NA,NA,NA,NA,NA,NA,NA,NA,28911,"24.04.2014","15:45:26:0250",196910,4922.75,82.04583333,39092358,50.458074,0,297,-245,153,32767,32767,32767,4272,25.2899959,3536,4240,14,0,3.8754,2,24042014,4.07370388879694,NA,642.777833305749,0.965555555555556,-62.6,NA,NA,2.94,1,NA,-85,947,0.245476850379354
"767",948,948,31519,48.761094,NA,42.761094,NA,NA,NA,NA,NA,NA,4.1029,NA,NA,NA,NA,4987.95,72398.20442,58477.86973,2,"lunge",34.723398,45.517182,4.5579,1.3729,3.185,10.793784,"mn14_114a","2014-04-24 15:46:31",57.61747,-133.92529,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.625,NA,NA,NA,NA,NA,NA,NA,NA,31519,"24.04.2014","15:46:31:0625",199518,4987.95,83.1325,36526698,42.761094,0,403,-232,29,32767,32767,32767,5712,34.83394786,2848,3712,15,0,4.1029,2,24042014,4.03759277768583,NA,642.777833305749,0.9475,-62.6,NA,NA,2.94,1,NA,-85,948,0.247672327315078
"768",949,949,32549,42.826914,NA,36.826914,NA,NA,NA,NA,NA,NA,1.8279,NA,NA,NA,NA,5013.7,87014.70383,36382.66803,2,"lunge",35.753814,37.26957,3.4204,1.6004,1.82,1.515756,"mn14_114a","2014-04-24 15:46:57",57.61747,-133.92529,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5625,NA,NA,NA,NA,NA,NA,NA,NA,32549,"24.04.2014","15:46:57:0525",200548,5013.7,83.56166667,34548638,36.826914,0,254,-359,64,32767,32767,32767,2096,12.09891226,4304,7472,5,0,1.8279,2,24042014,4.02314833324139,NA,642.777833305749,0.940277777777778,-62.6,NA,NA,2.94,1,NA,-85,949,0.248561553581674
