,Sv_mean
1,-53.693298
2,-53.693298
3,-50.995298
4,-50.995298
5,-52.859309
6,-52.859309
7,-52.859309
8,-52.859309
9,-52.859309
10,-52.859309
11,-52.878606
12,-52.86588
13,-50.157888
14,-46.107967
15,-46.107967
16,-46.107967
17,-48.085441
18,-48.085441
19,-48.085441
20,-48.085441
21,-46.351214
22,-46.351214
23,-44.43711
24,-44.43711
25,-44.43711
26,-44.43711
27,-49.559183
28,-43.815748
29,-49.559183
30,-49.559183
31,-37.428091
32,-37.428091
33,-39.95757
34,-39.95757
35,-41.63722
36,-37.428091
37,-43.429097
38,-38.857164
39,-39.660839
40,-41.63722
41,-52.300898
42,-47.260383
43,-52.300898
44,-49.499037
45,-47.260383
46,-39.660839
47,-39.908462
48,-40.873069
49,-40.873069
50,-40.873069
51,-40.873069
52,-40.873069
53,-40.873069
54,-40.873069
55,-40.873069
56,-40.873069
57,-40.873069
58,-40.873069
59,-40.873069
60,-40.873069
61,-40.873069
62,-40.873069
63,-40.873069
64,-40.873069
65,-40.873069
66,-40.873069
67,-40.873069
68,-40.873069
69,-40.873069
70,-40.873069
71,-40.873069
72,-40.873069
73,-40.873069
74,-40.873069
75,-40.873069
76,-40.873069
77,-40.873069
78,-40.873069
79,-40.873069
80,-40.873069
81,-40.873069
82,-40.873069
83,-40.873069
84,-40.873069
85,-40.873069
86,-40.873069
87,-40.873069
88,-40.873069
89,-40.873069
90,-40.873069
91,-40.873069
92,-40.873069
93,-40.873069
94,-40.873069
95,-40.873069
96,-40.873069
97,-40.873069
98,-40.873069
99,-40.873069
100,-40.873069
101,-40.873069
102,-40.873069
103,-40.873069
104,-40.873069
105,-40.873069
106,-40.873069
107,-40.873069
108,-40.873069
109,-40.873069
110,-40.873069
111,-40.873069
112,-40.873069
113,-40.873069
114,-40.873069
115,-40.873069
116,-40.873069
117,-40.873069
118,-40.873069
119,-40.873069
120,-40.873069
121,-40.873069
122,-40.873069
123,-40.873069
124,-40.873069
125,-40.873069
126,-40.873069
127,-40.873069
128,-40.873069
129,-40.873069
130,-40.873069
131,-40.873069
132,-40.873069
133,-40.873069
134,-40.873069
135,-40.873069
136,-40.873069
137,-40.873069
138,-40.873069
139,-40.873069
140,-40.873069
141,-40.873069
142,-40.873069
143,-40.873069
144,-40.873069
145,-40.873069
146,-40.873069
147,-40.873069
148,-40.873069
149,-40.873069
150,-40.873069
151,-40.873069
152,-39.812947
153,-39.812947
154,-39.812947
155,-39.812947
156,-39.812947
157,-39.812947
158,-40.988821
159,-39.003986
160,-40.034913
161,-40.423121
162,-37.882819
163,-40.423121
164,-40.423121
165,-39.345701
166,-42.833211
167,-43.189636
168,-43.189636
169,-43.189636
170,-43.189636
171,-43.189636
172,-43.189636
173,-43.189636
174,-43.189636
175,-43.189636
176,-43.189636
177,-43.189636
178,-43.189636
179,-43.189636
180,-43.189636
181,-43.189636
182,-43.189636
183,-43.189636
184,-43.189636
185,-43.189636
186,-43.189636
187,-43.189636
188,-43.189636
189,-43.189636
190,-33.977213
191,-41.741106
192,-41.741106
193,-41.741106
194,-41.741106
195,-38.379846
196,-39.179495
197,-39.179495
198,-39.179495
199,-39.179495
200,-39.179495
201,-39.179495
202,-39.179495
203,-37.365398
204,-37.365398
205,-37.948441
206,-40.310652
207,-40.310652
208,-40.310652
209,-40.310652
210,-42.87255
211,-42.87255
212,-42.87255
213,-42.87255
214,-38.248857
215,-38.248857
216,-38.248857
217,-42.87255
218,-42.87255
219,-40.310652
220,-38.686214
221,-38.812737
222,-40.310652
223,-40.310652
224,-40.310652
225,-40.310652
226,-38.248857
227,-38.248857
228,-38.248857
229,-38.812737
230,-37.365398
231,-37.365398
232,-38.812737
233,-38.812737
234,-38.812737
235,-38.812737
236,-38.812737
237,-37.365398
238,-37.948441
239,-37.948441
240,-37.365398
241,-37.365398
242,-40.310652
243,-40.310652
244,-40.310652
245,-40.310652
246,-40.310652
247,-40.310652
248,-40.310652
249,-40.310652
250,-40.310652
251,-40.310652
252,-40.310652
253,-40.310652
254,-40.310652
255,-40.310652
256,-40.310652
257,-40.310652
258,-40.310652
259,-38.686214
260,-38.686214
261,-40.310652
262,-40.310652
263,-40.310652
264,-40.310652
265,-40.310652
266,-40.310652
267,-40.310652
268,-40.310652
269,-40.310652
270,-40.310652
271,-40.310652
272,-40.310652
273,-40.310652
274,-40.310652
275,-40.310652
276,-38.248857
277,-40.310652
278,-40.310652
279,-40.310652
280,-40.310652
281,-40.310652
282,-40.310652
283,-40.310652
284,-40.310652
285,-40.310652
286,-38.248857
287,-38.248857
288,-38.248857
289,-38.248857
290,-38.248857
291,-38.248857
292,-38.248857
293,-38.248857
294,-38.248857
295,-40.310652
296,-40.310652
297,-40.310652
298,-40.310652
299,-40.310652
300,-38.248857
301,-38.248857
302,-38.248857
303,-38.248857
304,-40.310652
305,-40.310652
306,-40.310652
307,-40.310652
308,-40.310652
309,-40.310652
310,-38.248857
311,-38.248857
312,-38.248857
313,-38.248857
314,-38.248857
315,-38.248857
316,-38.248857
317,-38.248857
318,-38.248857
319,-38.248857
320,-38.248857
321,-38.248857
322,-38.248857
323,-38.248857
324,-40.310652
325,-38.248857
326,-38.248857
327,-38.248857
328,-38.248857
329,-38.248857
330,-38.248857
331,-38.248857
332,-38.248857
333,-38.248857
334,-38.248857
335,-38.248857
336,-38.248857
337,-38.248857
338,-38.248857
339,-40.310652
340,-40.310652
341,-40.310652
342,-40.310652
343,-40.310652
344,-38.686214
345,-38.686214
346,-38.686214
347,-65.396843
348,-65.396843
349,-65.396843
350,-65.396843
351,-65.396843
352,-65.396843
353,-65.396843
354,-65.396843
355,-65.396843
356,-65.396843
357,-65.396843
358,-65.396843
359,-65.396843
360,-65.396843
361,-65.396843
362,-65.396843
363,-65.396843
364,-65.396843
365,-65.396843
366,-65.396843
367,-65.396843
368,-65.396843
369,-65.396843
370,-65.396843
371,-65.396843
372,-65.396843
373,-65.396843
374,-65.396843
375,-65.396843
376,-65.396843
377,-65.396843
378,-65.396843
379,-65.396843
380,-65.396843
381,-65.396843
382,-65.396843
383,-65.396843
384,-65.396843
385,-65.396843
386,-65.396843
387,-65.396843
388,-65.396843
389,-65.396843
390,-65.396843
391,-65.396843
392,-65.396843
393,-65.396843
394,-65.396843
395,-65.396843
396,-65.396843
397,-65.396843
398,-65.396843
399,-65.396843
400,-65.396843
401,-65.396843
402,-65.396843
403,-65.396843
404,-65.396843
405,-65.396843
406,-65.396843
407,-65.396843
408,-65.396843
409,-65.396843
410,-65.396843
411,-65.396843
412,-65.396843
413,-65.396843
414,-65.396843
415,-65.396843
416,-65.396843
417,-65.396843
418,-65.396843
419,-65.396843
420,-65.396843
421,-65.396843
422,-65.396843
423,-65.396843
424,-65.396843
425,-65.396843
426,-65.396843
427,-65.396843
428,-65.396843
429,-65.396843
430,-65.396843
431,-65.396843
432,-65.396843
433,-65.396843
434,-65.396843
435,-65.396843
436,-65.396843
437,-65.396843
438,-65.396843
439,-65.396843
440,-65.396843
441,-65.396843
442,-65.396843
443,-65.396843
444,-65.396843
445,-65.396843
446,-65.396843
447,-65.396843
448,-65.396843
449,-65.396843
450,-65.396843
451,-65.396843
452,-65.396843
453,-65.396843
454,-65.396843
455,-65.396843
456,-65.396843
457,-65.396843
458,-65.396843
459,-65.396843
460,-65.396843
461,-65.396843
462,-65.396843
463,-65.396843
464,-65.396843
465,-65.396843
466,-65.396843
467,-65.396843
468,-65.396843
469,-65.396843
470,-65.396843
471,-65.396843
472,-65.396843
473,-65.396843
474,-65.396843
475,-65.396843
476,-65.396843
477,-65.396843
478,-65.396843
479,-65.396843
480,-65.396843
481,-65.396843
482,-65.396843
483,-65.396843
484,-65.396843
485,-65.396843
486,-65.396843
487,-65.396843
488,-65.396843
489,-65.396843
490,-65.396843
491,-65.396843
492,-65.396843
493,-65.396843
494,-65.396843
495,-65.396843
496,-65.396843
497,-65.396843
498,-65.396843
499,-65.396843
500,-65.396843
501,-65.396843
502,-64.233313
503,-65.396843
504,-65.396843
505,-65.396843
506,-65.396843
507,-65.396843
508,-65.396843
