,Sv_mean
1,-62.6
2,-62.6
3,-62.6
4,-62.6
5,-62.6
6,-62.6
7,-62.6
8,-62.6
9,-62.6
10,-62.6
11,-62.6
12,-62.6
13,-62.6
14,-62.6
15,-62.6
16,-62.6
17,-62.6
18,-62.6
19,-62.6
20,-62.6
21,-62.6
22,-62.6
23,-62.6
24,-62.6
25,-62.6
26,-62.6
27,-62.6
28,-62.6
29,-62.6
30,-62.6
31,-62.6
32,-62.6
33,-62.6
34,-62.6
35,-62.6
36,-62.6
37,-62.6
38,-62.6
39,-62.6
40,-62.6
41,-62.6
42,-62.6
43,-62.6
44,-62.6
45,-62.6
46,-62.6
47,-62.6
48,-62.6
49,-62.6
50,-62.6
51,-62.6
52,-62.6
53,-62.6
54,-62.6
55,-62.6
56,-62.6
