,Sv_mean
1,-38.957016
2,-36.931314
3,-36.931314
4,-38.957016
5,-39.545869
6,-40.685879
7,-39.492208
8,-40.685879
9,-36.049418
10,-36.049418
11,-36.049418
12,-36.049418
13,-36.049418
14,-38.165886
15,-38.165886
16,-38.165886
17,-40.11449
18,-38.165886
19,-38.165886
20,-33.881524
21,-37.598341
22,-40.628187
23,-41.412454
24,-40.64375
25,-40.64375
26,-41.7217
27,-43.588179
28,-43.588179
29,-38.421135
30,-41.001263
31,-38.421135
32,-38.421135
33,-36.467445
34,-36.467445
35,-41.001263
36,-41.001263
37,-39.335945
38,-39.402579
39,-42.238235
40,-42.238235
41,-42.238235
42,-42.238235
43,-42.238235
44,-43.054369
45,-37.080472
46,-37.080472
47,-39.223645
48,-41.982886
49,-34.667706
50,-39.223645
51,-37.454612
52,-40.409662
53,-40.409662
54,-38.086965
55,-38.200538
56,-38.914075
57,-38.361931
58,-40.525334
59,-41.58972
60,-41.89264
61,-41.89264
62,-41.89264
63,-40.896498
64,-47.399201
65,-41.771448
66,-47.399201
67,-43.819425
68,-43.819425
69,-43.565308
70,-47.399201
71,-37.163889
72,-40.344522
73,-40.344522
74,-45.329795
75,-36.343472
76,-45.329795
77,-40.344522
78,-40.344522
79,-40.344522
80,-43.057835
81,-38.243091
82,-34.696841
83,-44.158442
84,-39.808857
85,-39.808857
86,-42.06858
87,-35.417744
88,-40.750157
89,-42.430315
90,-42.739632
91,-42.739632
92,-42.739632
93,-41.475706
94,-42.739632
95,-38.813838
96,-50.36909
97,-37.246007
98,-37.246007
99,-37.246007
100,-45.281331
101,-45.281331
102,-45.281331
103,-45.281331
104,-45.281331
105,-43.118678
106,-44.733222
107,-43.999312
108,-40.863401
109,-42.565516
110,-42.565516
111,-47.904645
112,-47.904645
113,-43.819105
114,-44.295452
115,-47.704139
116,-35.997116
117,-35.997116
118,-45.45988
119,-43.629763
120,-44.095647
121,-47.296674
122,-44.095647
123,-44.727104
124,-44.978819
125,-44.978819
126,-40.926048
127,-36.433952
128,-46.539464
129,-36.433952
130,-40.458881
131,-40.458881
132,-40.458881
133,-40.458881
134,-43.063179
135,-43.063179
136,-40.458881
137,-40.309169
138,-39.886741
139,-39.886741
140,-40.309169
141,-40.309169
142,-42.622808
143,-42.622808
144,-39.745325
145,-39.745325
146,-39.745325
147,-42.622808
148,-42.622808
149,-40.308383
150,-40.308383
151,-39.10086
152,-45.284323
153,-45.284323
154,-48.115855
155,-48.115855
156,-45.284323
157,-37.865511
158,-37.865511
159,-37.865511
160,-44.23327
161,-44.23327
162,-44.23327
163,-44.23327
