,Sv_mean
1,-46.534611
2,-46.534611
3,-46.534611
4,-46.534611
5,-46.534611
6,-46.534611
7,-46.534611
8,-46.534611
9,-40.745253
10,-40.745253
11,-37.947585
12,-37.947585
13,-38.881003
14,-38.881003
15,-38.881003
16,-38.881003
17,-38.015724
18,-37.702087
19,-37.702087
20,-37.702087
21,-38.015724
22,-38.015724
23,-38.015724
24,-41.583539
25,-38.015724
26,-38.015724
27,-38.015724
28,-38.015724
29,-39.644082
30,-34.34177
31,-34.34177
32,-29.860387
33,-29.860387
34,-29.860387
35,-29.860387
36,-29.860387
37,-29.860387
38,-29.860387
39,-29.860387
40,-38.869053
41,-38.869053
42,-38.869053
43,-38.869053
44,-34.760427
45,-34.760427
46,-45.393718
47,-45.393718
48,-45.393718
49,-45.393718
50,-43.82619
51,-45.393718
52,-45.393718
53,-40.516894
54,-42.408262
55,-45.393718
56,-43.82619
57,-43.82619
58,-43.82619
59,-43.82619
60,-43.82619
61,-43.82619
62,-43.82619
63,-43.82619
64,-41.068834
65,-41.068834
66,-40.516894
67,-41.068834
68,-41.068834
69,-40.516894
70,-42.144212
71,-42.144212
72,-42.144212
73,-42.144212
74,-42.144212
75,-42.144212
76,-46.29016
77,-40.647707
78,-40.647707
79,-40.647707
80,-41.882058
81,-37.578582
82,-39.492578
83,-44.23327
84,-44.23327
85,-40.615627
86,-39.41349
87,-36.433952
