"","X.2","X.1","X","dive","p.max","sec.max","p.min","sec.min","dur","lunges","breaths","comments","surface.time","dive.time","surface.p","dive.p","tag","prey","speedFN.max","jerk.max","speedFN.mean","resp.rate_min","lunge.rate_min","comments2","max_depth","dive.sec.min","dive.sec.max","recov.sec.max","sur_time_p","dive.sec.max1","sec.min1","sec.max1","ï..dive","p.mean","sec.mean","jerk.mean","jerk.min"
"1",1,1,2,1,75.5838560057987,535.8,0.127718062667988,0.8,535,0,2,"none",63.6,471.6,0.118834080717489,0.881165919282511,"mn13_108a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2,2,3,2,23.4980537098727,672.6,0.0955965652801041,535.8,136.8,0,NA,"none",66.2,70.8,0.483211678832117,0.516788321167883,"mn13_108a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",3,3,4,3,23.6125632376006,934.2,0.0171845010127711,672.6,261.6,0,2,"none",58.2,203.6,0.222307104660046,0.777692895339954,"mn13_108a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",4,4,5,4,13.7452968850694,974.2,0.0407422269180131,934.2,40,0,1,"none",27.8,12.4,0.691542288557214,0.308457711442786,"mn13_108a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",5,5,6,5,15.6062341463894,1126.2,0.0460652518765627,974.2,152,0,2,"none",44,108.2,0.289093298291721,0.710906701708279,"mn13_108a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",6,6,7,6,15.9218262795587,1207,0.0704163107472837,1126.2,80.8,1,1,"none",41.4,39.6,0.511111111111111,0.488888888888889,"mn13_108a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",7,7,8,7,48.4350320352358,1377.4,0.0490415030938394,1207,170.4,1,3,"none",80.8,89.8,0.473622508792497,0.526377491207503,"mn13_108a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",8,8,9,8,56.27106496821,1583.8,0.0361347557331371,1377.4,206.4,1,2,"none",37.8,168.8,0.18296224588577,0.81703775411423,"mn13_108a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",9,9,10,9,42.1952307191716,1754.2,0.0430072096582279,1583.8,170.4,1,2,"none",40.6,130,0.237983587338804,0.762016412661196,"mn13_108a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",10,10,11,10,11.4669458559048,1832.6,0.0672015795792902,1754.2,78.3999999999999,0,2,"none",72.6,6,0.923664122137405,0.0763358778625954,"mn13_108a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",11,11,12,11,69.6945132229827,2135,0.0259649494365135,1832.6,302.4,2,4,"none",42,260.6,0.138797091870456,0.861202908129544,"mn13_108a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",12,12,14,13,24.3991211968968,2395.8,0.0597795614638841,2135,260.8,0,3,"none",123.8,137.2,0.474329501915709,0.525670498084291,"mn13_108a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",13,13,15,14,26.8403758192574,2501.4,0.018320597804383,2395.8,105.6,1,1,"none",25,80.8,0.236294896030246,0.763705103969754,"mn13_108a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",14,14,16,15,37.0622275834671,2547.8,0.0699619393264967,2501.4,46.4000000000001,1,2,"none",21.2,25.4,0.454935622317597,0.545064377682403,"mn13_108a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",15,15,17,16,14.062755036342,2615.8,0.01315711504202,2547.8,68,0,2,"none",46,22.2,0.674486803519062,0.325513196480938,"mn13_108a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",16,16,18,17,51.0184973064563,2728.6,0.0208059066954362,2615.8,112.8,1,1,"none",30.2,82.8,0.267256637168142,0.732743362831858,"mn13_108a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",17,17,19,18,53.5726210070085,2835,0.0364682295637664,2728.6,106.4,1,1,"none",26.4,80.2,0.24765478424015,0.75234521575985,"mn13_108a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",18,18,20,19,45.4165785285717,3066.2,-0.00224534385633035,2835,231.2,0,3,"none",67.6,163.8,0.292134831460674,0.707865168539326,"mn13_108a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",19,19,21,20,19.4798190925873,3143,-0.0406114239797546,3066.2,76.8000000000002,0,1,"none",28.6,48.4,0.371428571428571,0.628571428571429,"mn13_108a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",20,20,22,21,21.7571834033862,3216.6,0.0256438516399129,3143,73.5999999999999,1,3,"none",44,29.8,0.596205962059621,0.403794037940379,"mn13_108a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",21,21,23,22,58.3566653848757,3483.8,-6.24923699419355e-05,3216.6,267.2,1,2,"none",63.8,203.6,0.238593866866118,0.761406133133882,"mn13_108a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",22,22,24,23,10.923617424757,3554.2,-0.0224608937253947,3483.8,70.3999999999996,0,2,"none",57,13.6,0.807365439093484,0.192634560906516,"mn13_108a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",23,23,25,24,26.7297665408789,3894.2,-0.0167339052124333,3554.2,340,0,3,"none",81,259.2,0.238095238095238,0.761904761904762,"mn13_108a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",24,24,26,25,25.5503129886196,3971,-0.0312616252835625,3894.2,76.8000000000002,0,1,"none",23.8,53.2,0.309090909090909,0.690909090909091,"mn13_108a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",25,25,27,26,25.3291255762258,4072.6,0.0026918578012527,3971,101.6,0,1,"none",20.2,81.6,0.198428290766208,0.801571709233792,"mn13_108a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",26,26,28,27,49.2983099462588,4173.4,-0.0334421750522935,4072.6,100.8,1,2,"none",35.2,65.8,0.348514851485149,0.651485148514852,"mn13_108a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",27,27,29,28,25.5554509852105,4361.4,-0.0191433156890284,4173.4,188,0,2,"none",39,149.2,0.207226354941552,0.792773645058448,"mn13_108a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",28,28,30,29,77.0669964981884,4495.8,-0.0189758226502192,4361.4,134.400000000001,1,1,"none",20.4,114.2,0.151560178306092,0.848439821693908,"mn13_108a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",29,29,32,31,41.4695540570786,4860.6,-0.0754311969557406,4495.8,364.8,1,4,"none",143.8,221.2,0.393972602739726,0.606027397260274,"mn13_108a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",30,30,33,32,65.4146884338692,5303.8,-0.0436779031109396,4860.6,443.2,1,3,"none",70.2,373.2,0.158322056833559,0.841677943166441,"mn13_108a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",31,31,34,33,47.2591224626467,5779.8,-0.0448561685312256,5303.8,476,0,5,"none",79.2,397,0.166316673666527,0.833683326333473,"mn13_108a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",32,32,35,34,44.9499710161988,6151,-0.0457824286553787,5779.8,371.2,0,4,"none",54.8,316.6,0.147549811523963,0.852450188476037,"mn13_108a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",33,33,36,35,46.3120717714676,6426.2,-0.0702773207194554,6151,275.2,0,4,"none",76.6,198.8,0.278140885984023,0.721859114015977,"mn13_108a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",34,34,37,36,17.1358681198739,6676.6,-0.0765759793056233,6426.2,250.400000000001,0,4,"none",99.4,151.2,0.396648044692737,0.603351955307263,"mn13_108a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",35,35,38,37,15.0008952995957,6994.2,-0.085149451178772,6676.6,317.599999999999,0,4,"none",131.2,186.6,0.412838263058527,0.587161736941473,"mn13_108a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36",36,36,39,38,50.4169802068617,7305.4,-0.0839194550878801,6994.2,311.2,0,4,"none",87.6,223.8,0.28131021194605,0.71868978805395,"mn13_108a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",37,37,40,39,37.7090592740189,7683,-0.0777864316784829,7305.4,377.6,0,3,"none",55,322.8,0.145579671784013,0.854420328215987,"mn13_108a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",38,38,42,41,17.3275882316137,8047.8,-0.0776252729549185,7683,364.8,0,3,"none",174,191,0.476712328767123,0.523287671232877,"mn13_108a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",39,39,43,42,34.7885288771172,8363.8,0.623710729471995,8047.8,315.999999999999,1,1,"none",58.4,257.8,0.184693232131562,0.815306767868438,"mn13_108a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40",40,40,44,43,21.694620223902,8427,-0.0701799487646397,8363.8,63.2000000000007,0,1,"none",26.2,37.2,0.413249211356467,0.586750788643533,"mn13_108a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",41,41,46,45,36.2213775680888,8683.8,-0.0713711688215355,8427,256.799999999999,0,4,"none",94.4,162.6,0.367315175097276,0.632684824902724,"mn13_108a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
