"","X","dive","p.max","sec.max","jerk.max","p.mean","sec.mean","jerk.mean","p.min","sec.min","jerk.min","breaths","lunges","dur","surface.time","dive.time","surface.p","dive.p"
"2",2,1,156.787125604768,585.6,12.50179774,86.46879349,372.7,0.847242358,-0.201322353,159.6,9.57e-05,10,4,426,123.8,302.4,0.290473955889254,0.709526044110746
"3",3,2,165.817103297593,1135,10.17441229,102.9823859,860.4,0.688232717,-0.232250316,585.6,0.000494255,9,8,549.4,128.4,421.2,0.233624454148472,0.766375545851528
"4",4,3,160.220932630051,1684.8,12.57091276,94.99634874,1410,0.733892708,-0.173108607,1135,0.00020079,9,8,549.8,134,416,0.243636363636364,0.756363636363636
"5",5,4,152.396710786465,2271.8,NA,99.08358053,1978.4,NA,-0.188512004,1684.8,NA,12,10,587,122.8,464.4,0.209128065395095,0.790871934604905
"6",6,5,159.41413506783,2891.2,NA,98.56904774,2581.6,NA,-0.203859175,2271.8,NA,13,10,619.4,158.6,461,0.255971594577147,0.744028405422853
"7",7,6,161.565713951361,3619.4,NA,103.3446267,3255.4,NA,-0.183037202,2891.2,NA,11,12,728.2,183.4,545,0.251784733662823,0.748215266337177
"8",8,7,159.943443125805,4161.4,NA,94.53238941,3890.5,NA,-0.20892831,3619.4,NA,11,8,542,142.8,399.4,0.263371449649576,0.736628550350424
"9",9,8,163.517412407609,4768,NA,102.15568,4464.8,NA,-0.218491946,4161.4,NA,8,9,606.6,140.2,466.6,0.231048121292024,0.768951878707976
"10",10,9,160.355186728928,5220,NA,92.66396817,4994.1,NA,-0.214649519,4768,NA,10,6,452,108.8,343.4,0.240601503759399,0.759398496240602
"11",11,10,160.259967263932,5818.6,NA,102.2571974,5519.4,NA,-0.206650102,5220,NA,7,11,598.6,136.2,462.6,0.227454909819639,0.772545090180361
"12",12,11,162.05942343785,6267,NA,96.17354202,6042.9,NA,-0.210443149,5818.6,NA,11,5,448.4,102,346.6,0.227374052608114,0.772625947391886
"13",13,12,153.780409487492,6941.2,NA,94.03421307,6604.2,NA,-0.222348365,6267,NA,13,11,674.2,161.6,512.8,0.239620403321471,0.760379596678529
"14",14,13,154.863859328653,7608,NA,95.75430549,7274.7,NA,-0.204358072,6941.2,NA,10,9,666.8,163.8,503.2,0.245577211394303,0.754422788605697
"15",15,14,148.697892286304,8251.6,NA,92.10536427,7929.9,NA,-0.239077771,7608,NA,11,11,643.6,159.8,484,0.248213730972352,0.751786269027648
"16",16,15,144.826195355615,8706,NA,81.10851081,8478.9,NA,-0.23862989,8251.6,NA,6,7,454.4,130.4,324.2,0.286845578530576,0.713154421469424
"17",17,16,147.367142681075,9258.8,NA,86.41168741,8982.5,NA,-0.202798513,8706,NA,8,9,552.799999999999,148.8,404.2,0.269077757685353,0.730922242314647
"18",18,17,142.745235207199,9871,NA,83.03341117,9565,NA,-0.217485524,9258.8,NA,10,9,612.200000000001,172,440.4,0.280862181580666,0.719137818419334
"19",19,18,145.966315766505,10293.8,NA,87.70925366,10082.5,NA,-0.224487807,9871,NA,6,4,422.799999999999,91.2,331.8,0.215602836879433,0.784397163120567
"20",20,19,150.243429203002,10734.4,NA,86.43414381,10514.2,NA,-0.186630096,10293.8,NA,5,6,440.6,115.2,325.6,0.261343012704174,0.738656987295826
"21",21,20,150.613490412472,11171.6,NA,81.93512821,10953.1,NA,-0.193811202,10734.4,NA,12,3,437.200000000001,117.4,320,0.268404206675812,0.731595793324188
"22",22,21,156.939558657709,12521,NA,69.36758029,11846.4,NA,-0.204924749,11171.6,NA,10,7,1349.4,405.6,944,0.300533491404861,0.699466508595139
"23",23,22,148.155781291607,13379.6,NA,66.95688951,12950.4,NA,-0.199498463,12521,NA,14,5,858.6,287.8,571,0.335118770377271,0.664881229622729
"24",24,23,134.548203776027,14143.6,NA,87.79114411,13761.7,NA,-0.214505161,13379.6,NA,11,10,764,172.6,591.6,0.225857105469772,0.774142894530228
"25",25,24,119.667945146631,14697.2,NA,72.92907822,14420.5,NA,-0.212582474,14143.6,NA,10,10,553.6,155.6,398.2,0.280967858432647,0.719032141567353
"26",26,25,122.392278557128,15356.2,NA,81.46303797,15026.8,NA,-0.191832399,14697.2,NA,10,13,659,156.8,502.4,0.237864077669903,0.762135922330097
"27",27,26,120.688098378283,15923.6,NA,73.40615565,15640,NA,-0.175713941,15356.2,NA,10,11,567.4,157.4,410.2,0.277307963354475,0.722692036645525
"28",28,27,126.953847303583,16501.4,NA,80.7992816,16212.6,NA,-0.186126428,15923.6,NA,10,9,577.800000000001,146,432,0.252595155709343,0.747404844290657
"29",29,28,115.525223643514,17073.2,NA,74.95572696,16787.4,NA,-0.206559403,16501.4,NA,10,11,571.799999999999,128.8,443.2,0.225174825174825,0.774825174825175
"30",30,29,120.402805071414,17593.4,NA,71.11070124,17333.4,NA,-0.210228928,17073.2,NA,10,9,520.200000000001,150.4,370,0.289008455034589,0.710991544965411
"31",31,30,117.981944658416,18110.4,NA,74.41861971,17852,NA,-0.169902819,17593.4,NA,10,8,517,124.8,392.4,0.241299303944316,0.758700696055684
"32",32,31,116.611446723987,18672.2,NA,65.35586468,18391.4,NA,-0.14671372,18110.4,NA,10,7,561.799999999999,176.8,385.2,0.314590747330961,0.685409252669039
"33",33,32,124.437304019759,19396.8,NA,81.23514389,19034.6,NA,-0.157480348,18672.2,NA,10,12,724.599999999999,173.8,551,0.239790286975717,0.760209713024283
"34",34,33,124.227117853179,19958.6,NA,75.97392407,19677.8,NA,-0.156723704,19396.8,NA,10,10,561.799999999999,149.2,412.8,0.265480427046263,0.734519572953737
