"","X","Aw2.1","Aw2.2","Aw2.3","JiggleRMS","ans","head2","p2","pitch2","roll2","speedJJ","r","sec","p","pitch","roll","head","MSA","jerk","dive","speedFN","event","min.p","max.p","max.speed","min.speed","delta.speed","delta.p","tag"
"1090",1090,-0.0678098355736305,0.282516910713619,1.18949713851431,-32.2180644793513,3.2957732419204,2.64142802407078,139.291590802437,-0.0554074461876446,0.233188825286679,3.2957732419204,1090,218,139.291590802437,-6.34922564030052,13.3607355185402,151.342677666836,2.20126124491418,13.438285991029,"1",3.2957732419204,"lunge",137.665792970419,142.657657692186,3.71550108696247,2.65005196882769,1.06544911813478,4.991864721767,"mn12_262a"
"1363",1363,-0.303245541678959,-0.140104691257386,0.92289696453965,-34.8381336829705,2.95663299067033,3.48344715950317,155.219530501802,-0.314103474517315,-0.150659332521611,2.95663299067033,1363,272.6,155.219530501802,-35.9936068404743,-8.63214389774637,199.586820396366,-0.18150425509367,21.1322485543067,"1",2.95663299067033,"lunge",154.624967956866,155.693766630602,3.11601132081864,1,2.14315262187123,1.06879867373601,"mn12_262a"
"1616",1616,0.653620372160918,0.0450386447220805,1.05748609536361,-33.1775438920222,3.16728529893018,0.228883032161853,154.614489586361,0.55320888676201,0.0425645709716669,3.16728529893018,1616,323.2,154.614489586361,63.3930688011878,2.43877027346157,13.1140317450313,2.39277889690743,11.9433217720226,"1",3.16728529893018,"lunge",150.514955803684,155.107817825012,3.21830996277225,1,2.22942041633944,4.59286202132802,"mn12_262a"
"1970",1970,0.297665956631848,0.00701615926853788,0.647522766583563,-31.4590519648364,3.40109811198883,-0.89370081070139,144.687019499592,0.43086849954255,0.0108349622147057,3.40109811198883,1970,394,144.687019499592,49.3738930978451,0.620797606086354,-51.2052846006098,-2.8174595475816,12.4234472689423,"1",3.40109811198883,"lunge",131.321430951052,148.603896649495,3.40109811198883,1.08012441082004,2.32097370116879,17.282465698443,"mn12_262a"
"3471",3471,0.0164773001126994,-0.421551229700235,1.10641018186951,-41.4622260220418,2.24681412870684,2.9413979892655,158.190679118965,0.0139157753754441,-0.364027604143613,2.24681412870684,3471,694.2,158.190679118965,1.59463039533005,-20.857245343688,168.52969065318,1.80551864315856,8.89670585711694,"2",2.24681412870684,"lunge",155.77729624066,160.396892690034,2.68732866673216,1,1.71222074419299,4.619596449374,"mn12_262a"
"3631",3631,-0.387200260419626,-0.393819617232467,0.776545655441571,-35.7539617500946,2.84651175739097,3.0965808042032,156.564084809893,-0.418438036648514,-0.469345588710402,2.84651175739097,3631,726.2,156.564084809893,-47.9494669754007,-26.891521366189,177.42101100207,-0.461776524047969,14.7092842047164,"2",2.84651175739097,"lunge",155.190517567448,163.182032288017,2.97544797571501,1.10043799681572,1.87500997889929,7.991514720569,"mn12_262a"
"3805",3805,-0.542695602380395,-0.706988298763079,0.492787726112476,-36.705268928351,2.73646526339201,0.711170814247176,159.227502770681,-0.561996898869793,-0.962070553292688,2.73646526339201,3805,761,159.227502770681,-64.4001008093593,-55.122582297487,40.7470861692454,0.180693466583858,9.49320384019155,"2",2.73646526339201,"lunge",157.687645414199,165.346300536788,2.9424764649922,1,1.9446478267419,7.65865512258898,"mn12_262a"
"3997",3997,-0.597135322063085,-0.559591337471345,0.486029557607754,-42.8159424347392,2.12422709230529,-1.30303568436329,160.436081620757,-0.678170944266844,-0.855634686188929,2.12422709230529,3997,799.4,160.436081620757,-77.7126657897839,-49.0242563236262,-74.6584452689574,-0.472605580743808,9.55250098860278,"2",2.12422709230529,"lunge",158.604018893424,165.099090309018,2.71508314847566,1.07402043165,1.64106271682566,6.495071415594,"mn12_262a"
"4383",4383,-0.447812391418922,-0.563129061034961,0.641342259813806,-40.4208070947621,2.3459143613851,0.234447093903923,161.1111047756,-0.483202195852827,-0.720553494823165,2.3459143613851,4383,876.6,161.1111047756,-55.3708929476416,-41.284674166769,13.4328289998021,-0.354696851274711,8.36829457612432,"2",2.3459143613851,"lunge",159.614583742575,165.817103297593,2.75243756022925,1.08690104169754,1.66553651853171,6.202519555018,"mn12_262a"
"4562",4562,0.272094836255171,-0.521816901466489,1.14318935145436,-35.1902022400683,2.91380419803456,-1.13967287020608,162.868716769719,0.213231968403244,-0.428210664477951,2.91380419803456,4562,912.4,162.868716769719,24.4345836935456,-24.5346638170792,-65.2984454883694,2.80246879004941,13.7145383141535,"2",2.91380419803456,"lunge",159.912095545321,163.535968302224,3.08739337036609,1.00534235327097,2.08205101709512,3.62387275690301,"mn12_262a"
"4686",4686,1.2167857476149,-0.00972065125212457,0.39249790995487,-30.5447173199252,3.53245563372715,-1.90406602543186,157.257874256315,1.25867475867198,-0.0247610606694278,3.53245563372715,4686,937.2,157.257874256315,144.233502903104,-1.41870427262559,-109.094947171495,2.7317441914572,11.8834905142374,"2",3.53245563372715,"lunge",139.318363272027,158.962140025665,3.81285659554579,1.34934199680362,2.46351459874217,19.643776753638,"mn12_262a"
