"","X.1","X","dive","p.max","sec.max","p.min","sec.min","dur","lunges","breaths","comments","surface.time","dive.time","surface.p","dive.p"
"1",1,2,1,17.6281026470733,160.6,1.5559021074296,0.8,159.8,0,2,"none",55.8,104.2,0.34875,0.65125
"2",2,4,3,32.6926443308673,1011.8,-0.0589483395162542,160.6,851.2,0,3,"none",158.2,693.2,0.185811604416256,0.814188395583744
"3",3,5,4,35.4276373187115,1927.8,-0.0627117461767881,1011.8,916,0,3,"none",164.4,751.8,0.179436804191225,0.820563195808775
"4",4,6,5,18.2536053853506,2343,-0.0509293831986373,1927.8,415.2,1,1,"none",94.6,320.8,0.227732306210881,0.772267693789119
"5",5,8,7,10.610005261539,2700.6,2.48322983308306,2343,357.6,0,1,"none",341,16.8,0.953046394633874,0.0469536053661263
"6",6,10,9,18.8336506554921,3115,-0.14590950785275,2700.6,414.4,0,1,"none",208.6,206,0.503135552339604,0.496864447660396
"7",7,11,10,30.2634422951319,4069.4,-0.104814746460677,3115,954.4,1,3,"none",171.8,782.8,0.179970668342761,0.820029331657239
"8",8,12,11,22.863559012647,4502.2,-0.143245787261222,4069.4,432.8,0,2,"none",104.6,328.4,0.241570438799076,0.758429561200924
"9",9,13,12,12.0186892209416,4787,-0.114684091801493,4502.2,284.8,0,1,"none",229.4,55.6,0.804912280701754,0.195087719298246
"10",10,26,25,15.4108994780997,6051,-0.182590346878259,4787,1264,0,2,"none",1049.6,214.6,0.830248378421136,0.169751621578864
"11",11,27,26,57.4915898652082,7140.6,-0.158618459674969,6051,1089.6,0,4,"none",199,890.8,0.18260231235089,0.81739768764911
"12",12,28,27,51.9839976587025,8341.4,-0.163505980992818,7140.6,1200.8,0,6,"none",342.6,858.4,0.28526228143214,0.71473771856786
"13",13,30,29,20.2105664266418,9706.2,-0.198044439740864,8341.4,1364.8,0,4,"none",445,920,0.326007326007326,0.673992673992674
"14",14,35,34,28.7015512343323,11907,-0.178371216535648,9706.2,2200.8,0,6,"none",1514.4,686.6,0.688050885960927,0.311949114039073
"15",15,37,36,22.2536706823609,13629.4,-0.173569194775153,11907,1722.4,0,NA,"none",1318.2,404.4,0.7652385928248,0.2347614071752
"16",16,40,39,12.5515557519674,15375.8,-0.138836729013514,13629.4,1746.4,0,2,"none",1490.2,256.4,0.853200503836024,0.146799496163976
"17",17,45,44,20.9688130128139,17211.8,-0.143166741678694,15375.8,1836,1,1,"none",1753.4,82.8,0.954906872889663,0.0450931271103366
"18",18,46,45,20.6129252672234,17274.2,-0.107087800185377,17211.8,62.4000000000015,1,1,"none",28.6,34,0.456869009584665,0.543130990415335
"19",19,47,46,19.5503531162168,17331.8,-0.154514850105381,17274.2,57.5999999999985,1,1,"none",30.2,27.6,0.522491349480969,0.477508650519031
"20",20,48,47,23.4150207193946,17473.4,-0.126155627618648,17331.8,141.600000000002,1,1,"none",30.6,111.2,0.215796897038082,0.784203102961918
"21",21,49,48,23.177712980064,17563.8,-0.120290471496219,17473.4,90.3999999999978,1,NA,"none",29,61.6,0.320088300220751,0.679911699779249
"22",22,50,49,22.69310340155,17623,-0.157332661199115,17563.8,59.2000000000007,1,1,"none",32.6,26.8,0.548821548821549,0.451178451178451
"23",23,51,50,27.8476278914112,17866.2,-0.107115767184947,17623,243.200000000001,4,1,"none",67.2,176.2,0.276088742810189,0.723911257189811
"24",24,52,51,25.4565497124176,17995.8,-0.132317134775606,17866.2,129.599999999999,2,1,"none",50.2,79.6,0.386748844375963,0.613251155624037
"25",25,53,52,25.6819969494164,18055,-0.125468449059936,17995.8,59.2000000000007,1,1,"none",28.2,31.2,0.474747474747475,0.525252525252525
"26",26,54,53,28.9615911080278,18291,-0.120070901460169,18055,236,4,1,"none",81,155.2,0.342929720575783,0.657070279424217
"27",27,55,54,30.2906542669536,18427.8,-0.11190994553853,18291,136.799999999999,2,1,"none",40.2,96.8,0.293430656934307,0.706569343065694
"28",28,56,55,25.858334651151,18487.8,-0.107988177788847,18427.8,60,1,1,"none",27.2,33,0.451827242524917,0.548172757475083
"29",29,57,56,29.3359505123467,18619,-0.111482748956435,18487.8,131.200000000001,1,1,"none",24.4,107,0.185692541856925,0.814307458143075
"30",30,58,57,29.3851368739516,19115,-0.0648804573254722,18619,496,3,1,"none",44.4,451.8,0.0894800483675937,0.910519951632406
"31",31,59,58,29.7681343214661,19369.4,-0.102088395068408,19115,254.400000000001,1,2,"none",30.6,224,0.120188531029065,0.879811468970935
"32",32,60,59,22.4942065241332,19423.8,-0.115471892111159,19369.4,54.3999999999978,1,1,"none",29.6,25,0.542124542124542,0.457875457875458
