"","X","dive","p.max","sec.max","p.min","sec.min","dur","lunges","breaths","comments","surface.time","dive.time","surface.p","dive.p"
"1",2,1,35.467245605552,187.8,1.01498669934377,12.8,175,1,NA,"none",29,146.2,0.165525114155251,0.834474885844749
"2",4,3,35.9968837918627,462.2,-0.0240019682098551,187.8,274.4,1,NA,"none",166.2,108.4,0.605243991260015,0.394756008739985
"3",5,4,30.8925168337945,695,0.000906938325748508,462.2,232.8,0,NA,"none",43,190,0.184549356223176,0.815450643776824
"4",6,5,42.1415370850744,1069.4,-0.0205051059727827,695,374.4,1,NA,"none",100.6,274,0.268553123331554,0.731446876668446
"5",8,7,34.1269694176308,1408.6,-0.0490665096558632,1069.4,339.2,0,NA,"none",133.4,206,0.39304655274013,0.60695344725987
"6",9,8,49.587151241933,1898.2,1.42752840388176,1408.6,489.6,0,NA,"none",34.4,455.4,0.0702327480604328,0.929767251939567
"7",11,10,12.7641004475057,2000.6,-0.0659718237998228,1898.2,102.4,1,NA,"none",62.4,40.2,0.608187134502924,0.391812865497076
"8",12,11,11.4643763201495,2090.2,-0.0206565335573541,2000.6,89.5999999999999,0,NA,"none",49.4,40.4,0.55011135857461,0.44988864142539
"9",14,13,38.1276515027013,2370.2,1.86929812468519,2090.2,280,1,NA,"none",59.6,220.6,0.212705210563883,0.787294789436117
"10",16,15,39.6713934393092,2659.8,1.66121374424304,2370.2,289.6,1,NA,"none",122.4,167.4,0.422360248447205,0.577639751552795
"11",17,16,11.3776261357086,2775.8,-0.0275373913720988,2659.8,116,0,NA,"none",109.4,6.8,0.941480206540448,0.0585197934595525
"12",18,17,50.8207114396806,3115.8,-0.0374387235793773,2775.8,340,0,NA,"none",104.8,235.4,0.308054085831864,0.691945914168136
"13",19,18,35.1743313659928,3343,-0.0798739417785014,3115.8,227.2,0,NA,"none",52.4,175,0.230430958663149,0.769569041336851
"14",20,19,41.3758717520977,3508.6,1.43736988649593,3343,165.6,1,NA,"none",36,129.8,0.217129071170084,0.782870928829916
"15",22,21,30.5919616544265,3772.6,-0.0690715447643088,3508.6,264,0,NA,"none",91.8,172.4,0.347464042392127,0.652535957607873
"16",23,22,55.6779628332877,3996.6,0.226464452917722,3772.6,224,1,NA,"none",19.8,204.4,0.088314005352364,0.911685994647636
"17",27,26,49.0618410243303,4439.8,-0.0658144232684631,3996.6,443.2,1,NA,"none",267,176.4,0.602165087956698,0.397834912043302
"18",28,27,18.5773282066529,4538.2,-0.0185186525642979,4439.8,98.3999999999996,0,NA,"none",39.4,59.2,0.399594320486815,0.600405679513185
"19",29,28,50.7492742159175,4841.4,-0.0656023542898289,4538.2,303.2,0,NA,"none",38.2,265.2,0.125906394199077,0.874093605800923
"20",32,31,49.6074213707554,5115,1.57571042175529,4841.4,273.6,1,NA,"none",69.8,204,0.254930606281958,0.745069393718042
"21",36,35,20.3944763289228,5378.2,-0.0421529390475797,5115,263.2,0,NA,"none",188.8,74.6,0.716780561883067,0.283219438116932
"22",37,36,53.8706437607905,5697.4,0.530862206041248,5378.2,319.2,1,NA,"none",24.4,295,0.076393237319975,0.923606762680025
"23",40,39,47.9407619610706,6020.6,1.12852740126251,5697.4,323.200000000001,1,NA,"none",164.6,158.8,0.508967223252938,0.491032776747062
"24",43,42,44.7335244703449,6351.8,2.0127265879237,6020.6,331.2,1,NA,"none",155,176.4,0.467712733856367,0.532287266143633
"25",45,44,43.6365489726241,6607,1.94955962726014,6351.8,255.2,1,NA,"none",102.2,153.2,0.400156617071261,0.599843382928739
"26",47,46,46.4619879587121,6995.8,-0.0999188405592135,6607,388.8,0,NA,"none",179.6,209.4,0.461696658097686,0.538303341902314
"27",48,47,52.0115222367777,7455,-0.0981676267652591,6995.8,459.2,1,NA,"none",71.4,388,0.155420113191119,0.844579886808881
"28",50,49,39.1541542816501,7999,-0.111000114410822,7455,544,0,NA,"none",137.8,406.4,0.253215729511209,0.746784270488791
"29",51,50,27.2900216953085,8259,-0.0968789764461343,7999,260,0,NA,"none",31.4,228.8,0.120676402767102,0.879323597232898
"30",52,51,46.1291995847772,8666.2,-0.105526001834509,8259,407.200000000001,2,NA,"none",143.8,263.6,0.352970054000982,0.647029945999018
"31",53,52,43.0936047565824,9195,-0.150946701743199,8666.2,528.799999999999,0,NA,"none",144.6,384.4,0.273345935727788,0.726654064272212
"32",55,54,46.6453988281075,9540.6,-0.109829607080652,9195,345.6,1,NA,"none",132,213.8,0.381723539618276,0.618276460381724
"33",57,56,52.4819348145094,9823,1.60722639612621,9540.6,282.4,1,NA,"none",125.4,157.2,0.443736730360934,0.556263269639066
"34",59,58,23.9159168398096,10163,-0.125519221826462,9823,340,0,NA,"none",114.6,225.6,0.336860670194004,0.663139329805996
"35",60,59,16.9210143095246,10322.2,-0.110127190496223,10163,159.200000000001,0,NA,"none",70.8,88.6,0.444165621079046,0.555834378920954
"36",61,60,45.7295757263049,10547,1.75486240896219,10322.2,224.799999999999,1,NA,"none",20.4,204.6,0.0906666666666667,0.909333333333333
"37",64,63,43.5225160942757,10811,1.61707793373879,10547,264,1,NA,"none",117.8,146.4,0.445874337623013,0.554125662376987
"38",65,64,15.6294898902086,10903.8,-0.135871769905643,10811,92.7999999999993,0,NA,"none",79.8,13.2,0.858064516129032,0.141935483870968
"39",66,65,58.4449172926982,11209.4,1.59111904414298,10903.8,305.6,1,NA,"none",38.6,267.2,0.126226291693918,0.873773708306082
