,X,p,tempr,pitch,roll,head,flownoise,speedFN,speedSP,Aw1,Aw2,Aw3,r,sec,MSA,jerk,dive,event,min.p,max.p,max.speed,min.speed,delta.speed,delta.p,tag,DateTime, LAT, LON
843,843,13.34118109,9.467803741,93.63728043,-44.00725909,9.762366586,-57.02890503,3.280926489,NA,0.815674272,-0.531809833,0.550565594,843,168.6,1.163080658,8.153014045,1,lunge,1.014986699,15.65521967,3.887875276,1,2.947242277,14.64023297,mn13_113a,4/23/2013 14:00,57.745543,-135.257967
1902,1902,5.04824373,7.388604022,94.38858347,-91.85751049,169.1587704,-71.14339192,1.728092011,NA,0.709840229,-0.657105161,-0.021310602,1902,380.4,-0.318420994,7.349222678,3,lunge,2.281975721,6.947489591,2.574840884,1,2.155386273,4.665513869,mn13_113a,4/23/2013 14:04,57.74674,-135.256247
4833,4833,8.269109047,5.237573403,58.53855831,-74.13365831,2.65266665,-66.15159104,2.484346928,NA,0.444120954,-0.762220325,0.216640154,4833,966.6,-0.898474601,8.734782518,5,lunge,3.769661718,11.5328513,2.91780476,1,2.278749609,7.763189579,mn13_113a,4/23/2013 14:14,57.746016,-135.263483
9944,9944,6.318202464,5.02804316,54.57374035,10.67036257,162.1505699,-70.63458939,2.002081103,NA,0.476045108,0.170871372,0.906882231,9944,1988.8,0.376465766,6.846376075,10,lunge,-0.065971824,6.655575708,3.225410329,1,2.504496344,6.721547532,mn13_113a,4/23/2013 14:31,57.744904,-135.263088
11778,11778,19.43005778,5.086404496,79.81557756,-66.07580411,-52.43326975,-60.2712295,2.878690801,NA,0.80693063,-0.881917718,0.39125779,11778,2355.6,2.527911583,13.10366096,13,lunge,2.593062535,21.81654658,4.048001291,1,3.346625514,19.22348404,mn13_113a,4/23/2013 14:37,57.738485,-135.256938
13236,13236,20.11172578,5.262067001,93.74942982,-61.57062975,-12.74625561,-60.08715086,2.35989361,NA,0.714740312,-0.588703399,0.318700847,13236,2647.2,-0.203162158,12.86671964,15,lunge,2.695137303,22.17327801,4.111739057,1,3.288766406,19.47814071,mn13_113a,4/23/2013 14:42,57.739556,-135.264271
17385,17385,15.53035711,5.186549085,17.6389563,-22.97716054,-128.1356882,-51.11669198,4.304812194,NA,0.128471498,-0.323226758,0.762319262,17385,3477,-1.589454846,15.62197869,19,lunge,2.710054296,20.31126505,5.460843247,1,4.713499222,17.60121075,mn13_113a,4/23/2013 14:56,57.742148,-135.265492
19885,19885,31.43997325,5.052436517,148.8259973,-166.9012865,105.5099664,-55.45712223,3.204860248,2.944604004,1.064624811,-0.067306279,-0.289260925,19885,3977,1.032373695,10.09220801,22,lunge,1.572353281,34.82381095,4.84997925,1.096290149,3.753689101,33.25145767,mn13_113a,4/23/2013 15:04,57.746208,-135.269802
21661,21661,29.61355305,5.335603795,118.8543373,-72.90790985,138.3456212,-59.64364875,2.436942067,2.721982354,0.911490185,-0.514688269,0.158261011,21661,4332.2,0.575276261,14.17639496,26,lunge,4.062469884,31.80874608,5.029043445,1,4.178289289,27.7462762,mn13_113a,4/23/2013 15:10,57.746379,-135.273668
25501,25501,21.70117446,5.135648573,67.92442559,-35.075379,-76.44823185,-50.93892557,4.768496258,5.263680784,0.495972165,-0.423149677,0.60263139,25501,5100.2,-1.100196834,17.68536239,31,lunge,2.255203082,28.02900992,5.286664243,1,4.445464054,25.77380684,mn13_113a,4/23/2013 15:23,57.744182,-135.263717
28385,28385,24.3685696,5.157388977,97.62848609,-42.91653917,-125.6234637,-62.14036649,2.822602035,3.439328211,0.775353984,-0.461965387,0.496846272,28385,5677,0.296779547,13.18791448,36,lunge,0.548523106,28.24429835,4.715400882,1,3.731325953,27.69577524,mn13_113a,4/23/2013 15:32,57.74316,-135.257736
29933,29933,26.29414016,5.375662019,107.521212,-25.52007626,-156.9100923,-62.4285631,2.605470904,2.790033116,0.732538443,-0.231315907,0.484526887,29933,5986.6,-0.899933649,9.933227375,39,lunge,2.454048473,29.89895487,4.919557642,1.200216107,3.719341535,27.4449064,mn13_113a,4/23/2013 15:37,57.740875,-135.258368
31677,31677,32.33652075,5.49287615,173.0935776,-153.0663151,103.7060939,-59.87268227,2.41619734,2.296900759,1.234873702,-0.033752673,-0.066433325,31677,6335.4,2.325352036,11.16251881,42,lunge,2.892799777,34.37288541,4.976440873,1,4.103445883,31.48008564,mn13_113a,4/23/2013 15:43,57.740529,-135.254386
32978,32978,26.87214308,5.351978769,121.0904308,-84.4829681,200.0598104,-54.15871723,3.909134086,4.481122042,1.070644258,-0.60182568,0.058129786,32978,6595.6,2.251352371,12.46608765,44,lunge,2.80591102,32.41789984,4.777679832,1,3.974263469,29.61198882,mn13_113a,4/23/2013 15:48,57.742806,-135.258962
36661,36661,35.58586099,4.921948473,70.34924879,-31.55816511,145.5563528,-75.09818526,1.857171392,NA,0.613156132,-0.455338091,0.741353849,36661,7332.2,0.631324326,7.993256856,47,lunge,11.8743188,36.83441948,3.928015519,1.431923485,2.496092034,24.96010068,mn13_113a,4/23/2013 16:00,57.746158,-135.261339
41834,41834,35.67997435,5.020558513,72.42325755,-6.130524786,79.0907243,-50.4234076,4.551034697,NA,0.694597363,-0.101309178,0.943217793,41834,8366.8,1.723522022,17.08376283,51,lunge,21.39164268,36.17717143,5.520199515,3.326928872,2.193270643,14.78552875,mn13_113a,4/23/2013 16:17,57.745979,-135.264565
