"","X","dive","p.max","sec.max","p.min","sec.min","dur","lunges","breaths","speedFN.max","jerk.max","speedFN.mean","surface.time","dive.time","surface.p","dive.p"
"1",2,1,49.87266145,143,0.093702945,1.8,141.2,0,"1",2.278784972,16.77784776,1.89165322,22.4,119,0.158415841584158,0.841584158415842
"2",3,2,24.75903646,247,0.117097263,143,104,0,"1",2.293347562,5.376888069,1.715833764,19.4,84.8,0.186180422264875,0.813819577735125
"3",4,3,52.52002498,455.8,0.098646712,247,208.8,0,"1",2.738590529,4.569178226,1.726119578,19.8,189.2,0.0947368421052631,0.905263157894737
"4",5,4,23.44075307,547,0.114337491,455.8,91.2,0,"1",2.025478803,3.831261199,1.417642192,18,73.4,0.196936542669584,0.803063457330416
"5",6,5,51.68484435,858.2,0.03130783,547,311.2,0,"6",2.906742695,7.500119706,1.836174728,97.2,214.2,0.312138728323699,0.687861271676301
"6",7,6,56.97116124,1484.6,0.094889362,858.2,626.4,0,"4",2.520937361,3.029938473,0.888283505,86.6,540,0.138206192148101,0.861793807851899
"7",8,7,18.65058468,1876.6,0.074286494,1484.6,392,0,"2",2.689561389,2.796333724,0.986501644,52.2,340,0.133095359510454,0.866904640489546
"8",9,8,55.79794219,2431,0.019344179,1876.6,554.4,0,"4",2.687125868,3.6116443,1.306346564,72.2,482.4,0.130183916336098,0.869816083663902
"9",10,9,41.01910756,2977.4,0.063825353,2431,546.4,0,"3",2.689710973,2.727735673,1.317517267,55.8,490.8,0.102085620197585,0.897914379802415
"10",11,10,79.32386618,3546.2,0.086457424,2977.4,568.8,2,"7",3.33675629,26.36912868,1.636907634,100.2,468.8,0.17609841827768,0.82390158172232
"11",12,11,80.30112674,3836.6,0.037410229,3546.2,290.4,1,"na",3.201900112,22.18640201,1.665929973,69.4,221.2,0.238816242257398,0.761183757742601
"12",13,12,84.61690862,4251.8,0.008712158,3836.6,415.2,1,"8",3.173049589,17.11785783,1.797901378,122,293.4,0.293692826191623,0.706307173808377
"13",14,13,82.57293921,4641.4,0.469534107,4251.8,389.599999999999,2,"8",3.224951263,18.12827019,1.760724312,19.6,370.2,0.0502821959979477,0.949717804002052
"14",16,15,87.12911587,5114.2,0.061760136,4641.4,472.8,1,"5",2.737657357,15.1136445,1.574303881,200.8,272.2,0.424524312896406,0.575475687103594
"15",17,16,84.14825068,5359.8,0.355642271,5114.2,245.6,0,"3",2.486281673,3.348864316,1.571465528,19.4,226.4,0.0789259560618389,0.921074043938161
"16",19,18,89.74392029,5896.6,0.221968996,5359.8,536.8,1,"9",NA,18.44322916,NA,51.4,485.6,0.0957169459962756,0.904283054003724
"17",21,20,87.42482402,6492.6,-0.03167647,5896.6,596,1,"5",3.256349292,23.33480477,1.542978159,232.2,364,0.389466621938947,0.610533378061053
"18",22,21,41.9656104,6611.8,0.465588528,6492.6,119.2,1,"6",3.303014282,36.37942933,1.887725271,28.4,91,0.23785594639866,0.76214405360134
"19",25,24,64.36078889,7195.8,0.104527481,6611.8,584,1,"8",3.260589359,26.92320894,1.932141974,272.8,311.4,0.466963368709346,0.533036631290654
"20",26,25,57.57084714,7595.8,0.060115039,7195.8,400,0,"5",2.551876181,1.869639892,1.477380256,108.2,292,0.270364817591204,0.729635182408796
"21",27,26,21.13210381,8002.2,0.069301687,7595.8,406.4,0,"4",2.379702966,2.860674265,1.695992389,84.8,321.8,0.20855878012789,0.79144121987211
"22",29,28,45.24175578,8512.6,0.025707047,8002.2,510.400000000001,0,"4",2.638778218,2.541421062,1.420593489,123.8,386.8,0.242459851155503,0.757540148844497
"23",33,32,68.95918241,8998.2,0.042647075,8512.6,485.6,1,"3",3.270611599,19.16716915,1.708740369,258.6,227.2,0.532317826265953,0.467682173734047
"24",34,33,73.39935898,9404.6,0.138155462,8998.2,406.4,NA,"na",2.768744981,3.83031422,1.695761194,82.2,324.4,0.202164289227742,0.797835710772258
"25",37,36,84.21102972,10019,0.146334991,9404.6,614.4,NA,"na",NA,3.215066944,NA,97.4,517.2,0.158477058249268,0.841522941750732
"26",39,38,85.88211836,10913.4,0.085500008,10019,894.4,1,"na",3.187389649,15.66898661,1.659643075,133,761.6,0.148669796557121,0.851330203442879
"27",42,41,64.94139513,11388.6,-0.186707937,10913.4,475.200000000001,1,"na",3.280181485,17.47645093,1.645017462,203,272.4,0.427008834665545,0.572991165334455
"28",44,43,17.13273221,11579,-0.035020043,11388.6,190.4,NA,"na",2.35186605,1.530885042,1.376089631,63,127.6,0.330535152151102,0.669464847848898
"29",48,47,52.98594856,12167.8,-0.18159008,11579,588.799999999999,NA,"na",2.520611687,4.220002005,1.507597157,220.6,368.4,0.374533106960951,0.625466893039049
"30",51,50,68.9975471,13061.6,-0.981764438,12167.8,893.800000000001,NA,"na",NA,NA,NA,629.6,264.4,0.704250559284116,0.295749440715884
