<<<<<<< HEAD
,group,.energy_m3.mean,.prop_captured.mean,.energy_gain.mean,.energy_m3.se,.prop_captured.se,.energy_gain.se,gross.energy_gainkJ.Lunge.mean,group2,prey,lunge_min,lunge_min.se,meta.costs_min,meta.costs_min.se,meta.costs.mean_lunge,meta.costs.mean_lunge.se,net.energy.gain.kJ_lunge,net.energy.gain.kJ_min,lunge.efficiency,group3
9,KrillSS,321.47433,0.98523511,6585.0743,16.74176,0,342.93796,6585.0743,KrillSS,Krill,0.8261923,0.05482301,NA,NA,923.3701,0,5661.70423,NA,7.1315655,KrillSS
2,ChumKB/TB Late,267.10081,0.93248265,5178.339,62.42702,0,1210.28555,5178.339,ChumTB,Chum Salmon,0.5321508,NA,795.3629,NA,807.2303,12.52057,4371.10869,1960.29423,6.4149462,ChumTB
1,ChumKB Early,162.66972,0.93939919,3177.1039,38.0193,0,742.55527,3177.1039,ChumTB,Chum Salmon,0.5321508,NA,795.3629,NA,807.2303,12.52057,2369.87358,895.33541,3.9358085,ChumKB
7,HerringTI,820.1416,0.6623963,9034.0504,72.19778,0.02721094,596.46428,9034.0504,HerringTI,Herring,0.181682,0.03061452,1325.1165,40.83626,1389.8553,145.55598,7644.19503,316.20758,6.4999933,HerringTI
5,HerringKB,3330.30894,0.09708653,6722.3015,673.31804,0,1359.1072,6722.3015,HerringKB,Herring,0.1794176,0.02211158,1293.6024,35.28394,1403.046,111.32615,5319.25551,-87.50291,4.7912195,HerringKB
4,Coho At Release,41.47883,0.86317668,744.3902,NA,NA,NA,744.3902,CohoKB,Coho Salmon,0.1626016,NA,527.873,NA,807.2303,12.52057,-62.84008,-406.83397,0.9221535,CohoAtRelease
3,Coho After Release,33.41756,0.85734238,595.667,NA,NA,NA,595.667,CohoKB,Coho Salmon,0.1626016,NA,527.873,NA,807.2303,12.52057,-211.56334,-431.01661,0.7379145,CohoAfterRelease
6,HerringSC,405.44847,0.05182283,436.849,16.09174,0,17.33799,436.849,HerringSC,Herring,0.1733794,0.01381474,1209.5646,49.0363,1438.2212,169.18233,-1001.37227,-1133.82396,0.3037425,HerringSC
NA,Swimming,0,0,NA,NA,NA,NA,0,NA,None,NA,NA,NA,NA,250.2083,NA,-250.20827,-1230.53248,NA,Swimming
8,KrillSC,35.76394,0.98702158,733.9163,0,0,0,733.9163,KrillSC,Krill,0.9742498,NA,2574.4697,NA,1840.3202,NA,-1106.40392,-1859.45191,0.3987981,KrillSC
,,,,,,,,,,,,,,,,,,,,
=======
,group,.energy_m3.mean,.prop_captured.mean,.energy_gain.mean,.energy_m3.se,.prop_captured.se,.energy_gain.se,gross.energy_gainkJ.Lunge.mean,group2,prey,lunge_min,lunge_min.se,meta.costs_min,meta.costs_min.se,meta.costs.mean_lunge,meta.costs.mean_lunge.se,net.energy.gain.kJ_lunge,net.energy.gain.kJ_min,lunge.efficiency,group3
9,KrillSS,321.47433,0.98523511,6585.0743,16.74176,0,342.93796,6585.0743,KrillSS,Krill,0.8261923,0.05482301,NA,NA,923.3701,0,5661.70423,NA,7.1315655,KrillSS
2,ChumKB/TB Late,267.10081,0.93248265,5178.339,62.42702,0,1210.28555,5178.339,ChumTB,Chum Salmon,0.5321508,NA,795.3629,NA,807.2303,12.52057,4371.10869,1960.29423,6.4149462,ChumTB
1,ChumKB Early,162.66972,0.93939919,3177.1039,38.0193,0,742.55527,3177.1039,ChumTB,Chum Salmon,0.5321508,NA,795.3629,NA,807.2303,12.52057,2369.87358,895.33541,3.9358085,ChumKB
7,HerringTI,820.1416,0.6623963,9034.0504,72.19778,0.02721094,596.46428,9034.0504,HerringTI,Herring,0.181682,0.03061452,1325.1165,40.83626,1389.8553,145.55598,7644.19503,316.20758,6.4999933,HerringTI
5,HerringKB,3330.30894,0.09708653,6722.3015,673.31804,0,1359.1072,6722.3015,HerringKB,Herring,0.1794176,0.02211158,1293.6024,35.28394,1403.046,111.32615,5319.25551,-87.50291,4.7912195,HerringKB
4,Coho At Release,41.47883,0.86317668,744.3902,NA,NA,NA,744.3902,CohoKB,Coho Salmon,0.1626016,NA,527.873,NA,807.2303,12.52057,-62.84008,-406.83397,0.9221535,CohoAtRelease
3,Coho After Release,33.41756,0.85734238,595.667,NA,NA,NA,595.667,CohoKB,Coho Salmon,0.1626016,NA,527.873,NA,807.2303,12.52057,-211.56334,-431.01661,0.7379145,CohoAfterRelease
6,HerringSC,405.44847,0.05182283,436.849,16.09174,0,17.33799,436.849,HerringSC,Herring,0.1733794,0.01381474,1209.5646,49.0363,1438.2212,169.18233,-1001.37227,-1133.82396,0.3037425,HerringSC
NA,Swimming,0,0,NA,NA,NA,NA,0,NA,None,NA,NA,NA,NA,250.2083,NA,-250.20827,-1230.53248,NA,Swimming
8,KrillSC,35.76394,0.98702158,733.9163,0,0,0,733.9163,KrillSC,Krill,0.9742498,NA,2574.4697,NA,1840.3202,NA,-1106.40392,-1859.45191,0.3987981,KrillSC
,,,,,,,,,,,,,,,,,,,,
>>>>>>> 9963b26e991f310cb10fc08230f1cf1dc0d9f2ce
