"","ï..dive","sec.min","sec.max","surface.time","p.max","dive.time","dur","surface.p","dive.p","lunges","breaths","tag","dive"
"1",1,150,600,139.6,156.787125604768,310.6,450,0.310084406930253,0.689915593069747,4,10,"mn12_262b",1
"2",2,600,1150,127.8,165.817103297593,422.4,550,0.232279171210469,0.767720828789531,8,10,"mn12_262b",2
"3",3,1150,1700,134,160.220932630051,416.2,550,0.243547800799709,0.756452199200291,8,9,"mn12_262b",3
"4",4,1700,2275,119.8,152.396710786465,455.4,575,0.208275382475661,0.791724617524339,10,9,"mn12_262b",4
"5",5,2275,2900,161.4,159.41413506783,463.8,625,0.258157389635317,0.741842610364683,10,12,"mn12_262b",5
"6",6,2900,3633,183.4,161.565713951361,549.8,733,0.250136388434261,0.749863611565739,12,13,"mn12_262b",6
"7",7,3633,4180,142.6,159.943443125805,404.6,547,0.260599415204678,0.739400584795322,7,11,"mn12_262b",7
"8",8,4180,4775,139.8,163.517412407609,455.4,595,0.234879032258065,0.765120967741935,9,11,"mn12_262b",8
"9",9,4775,5233,109.2,160.355186728928,349,458,0.238323876036665,0.761676123963335,6,8,"mn12_262b",9
"10",10,5233,5833,135.6,160.259967263932,464.6,600,0.22592469176941,0.77407530823059,10,10,"mn12_262b",10
"11",11,5833,6280,102.2,162.05942343785,345,447,0.228533094812165,0.771466905187835,4,7,"mn12_262b",11
"12",12,6280,6950,161.2,153.780409487492,509,670,0.240525216353327,0.759474783646673,11,11,"mn12_262b",12
"13",13,6950,7625,163.8,154.863859328653,511.4,675,0.242594786729858,0.757405213270142,9,13,"mn12_262b",13
"14",14,7625,8260,159.4,148.697892286304,475.8,635,0.250944584382872,0.749055415617128,11,13,"mn12_262b",14
"15",15,8260,8700,117.8,144.826195355615,322.4,440,0.267605633802817,0.732394366197183,6,10,"mn12_262b",15
"16",16,8700,9266,161.2,147.367142681075,405,566,0.284705051218651,0.715294948781349,9,11,"mn12_262b",16
"17",17,9266,9875,169.4,142.745235207199,439.8,609,0.278069599474721,0.721930400525279,9,13,"mn12_262b",17
"18",18,9875,10310,93.4,145.966315766505,341.8,435,0.214613970588235,0.785386029411765,4,6,"mn12_262b",18
"19",19,10310,10750,115.6,150.243429203002,324.6,440,0.262607905497501,0.737392094502499,5,8,"mn12_262b",19
"20",20,10750,11190,117.8,150.613490412472,322.4,440,0.267605633802817,0.732394366197183,2,8,"mn12_262b",20
"21",21,11190,11800,204.6,148.782994592422,405.6,610,0.335299901671583,0.664700098328417,7,10,"mn12_262b",21
"22",22,11800,12233,117.8,156.939558657709,315.4,433,0.271929824561404,0.728070175438597,0,6,"mn12_262b",22
"23",23,12233,12540,82.4,144.45259303406,224.8,307,0.268229166666667,0.731770833333333,0,5,"mn12_262b",23
"24",24,12540,13085,186,148.155781291607,359.2,545,0.341159207630227,0.658840792369773,5,10,"mn12_262b",24
"25",25,13085,13400,102,142.661744723593,213.2,315,0.323604060913706,0.676395939086294,0,5,"mn12_262b",25
"26",26,13400,14140,161.8,134.548203776027,578.4,740,0.218589570386382,0.781410429613618,10,15,"mn12_262b",26
"27",27,14140,14710,165.6,119.667945146631,404.6,570,0.290424412486847,0.709575587513153,10,13,"mn12_262b",27
"28",28,14710,15360,154,122.392278557128,496.2,650,0.23685019993848,0.76314980006152,13,13,"mn12_262b",28
"29",29,15360,15930,160,120.688098378283,410.2,570,0.280603297088741,0.719396702911259,10,12,"mn12_262b",29
"30",30,15930,16500,138.2,126.953847303583,432,570,0.2423710978604,0.7576289021396,9,11,"mn12_262b",30
"31",31,16500,17090,136.8,115.525223643514,453.4,590,0.231785835310064,0.768214164689936,11,10,"mn12_262b",31
"32",32,17090,17600,150.2,120.402805071414,360,510,0.294394355154841,0.705605644845159,9,11,"mn12_262b",32
"33",33,17600,18110,117.8,117.981944658416,392.4,510,0.230889847118777,0.769110152881223,7,9,"mn12_262b",33
"34",34,18110,18680,184.2,116.611446723987,386,570,0.323044545773413,0.676955454226587,7,10,"mn12_262b",34
"35",35,18680,19410,173,124.437304019759,557.2,730,0.236921391399617,0.763078608600383,12,14,"mn12_262b",35
"36",36,19410,19950,134,124.227117853179,406.2,540,0.248056275453536,0.751943724546464,10,11,"mn12_262b",36
"37",37,19950,20490,142.4,130.717918481067,397.8,540,0.26360607182525,0.73639392817475,9,10,"mn12_262b",37
