"","X.1","X","Aw2.1","Aw2.2","Aw2.3","JiggleRMS","head2","p2","pitch2","roll2","speedJJ","r","sec","p","MSA","jerk","dive","pitch","roll","head","speedFN","event","min.p","max.p","max.speed","min.speed","delta.speed","delta.p","tag"
"1090",1090,1090,-0.0678098355736305,0.282516910713619,1.18949713851431,-32.2180644793513,2.64142802407078,139.291590802437,-0.0554074461876446,0.233188825286679,6.51054487283265,1090,218,139.291590802437,2.20126124491418,13.438285991029,"1",-6.34922564030052,13.3607355185402,151.342677666836,6.51054487283265,"lunge",137.665792970419,142.657657692186,7.29845829656005,5.28888890259996,2.00956939396009,4.991864721767,"mn12_262b"
"1363",1363,1363,-0.303245541678959,-0.140104691257386,0.92289696453965,-34.8381336829705,3.48344715950317,155.219530501802,-0.314103474517315,-0.150659332521611,5.87047780686279,1363,272.6,155.219530501802,-0.18150425509367,21.1322485543067,"1",-35.9936068404743,-8.63214389774638,199.586820396367,5.87047780686279,"lunge",154.624967956866,155.693766630602,6.17168317579551,2.03521293630858,4.13647023948693,1.06879867373601,"mn12_262b"
"1616",1616,1616,0.653620372160918,0.0450386447220805,1.05748609536361,-33.1775438920222,0.228883032161853,154.614489586361,0.55320888676201,0.0425645709716669,6.26842902323103,1616,323.2,154.614489586361,2.39277889690743,11.9433217720226,"1",63.3930688011877,2.43877027346157,13.1140317450313,6.26842902323103,"lunge",150.514955803684,155.107817825012,6.36463141863689,2.06716118528205,4.29747023335484,4.59286202132802,"mn12_262b"
"1970",1970,1970,0.297665956631848,0.00701615926853788,0.647522766583563,-31.4590519648364,-0.89370081070139,144.687019499592,0.43086849954255,0.0108349622147057,6.70868207232309,1970,394,144.687019499592,-2.8174595475816,12.4234472689423,"1",49.3738930978451,0.620797606086356,-51.2052846006098,6.70868207232309,"lunge",131.321430951052,148.603896649495,6.70868207232309,2.24853379244252,4.46014827988057,17.282465698443,"mn12_262b"
"3471",3471,3471,0.0164773001126994,-0.421551229700235,1.10641018186951,-41.4622260220418,2.9413979892655,158.190679118965,0.0139157753754441,-0.364027604143613,4.51903542098802,3471,694.2,158.190679118965,1.80551864315856,8.89670585711694,"2",1.59463039533005,-20.8572453436881,168.52969065318,4.51903542098802,"lunge",155.77729624066,160.396892690034,5.35976541433192,2.03969694912791,3.32006846520401,4.619596449374,"mn12_262b"
"3631",3631,3631,-0.387200260419626,-0.393819617232467,0.776545655441571,-35.7539617500946,3.0965808042032,156.564084809893,-0.418438036648514,-0.469345588710402,5.66191843833354,3631,726.2,156.564084809893,-0.461776524047969,14.7092842047164,"2",-47.9494669754006,-26.891521366189,177.42101100207,5.66191843833354,"lunge",155.190517567448,163.182032288017,5.90607475908488,2.28881655469264,3.61725820439224,7.991514720569,"mn12_262b"
"3805",3805,3805,-0.542695602380395,-0.706988298763079,0.492787726112476,-36.705268928351,0.711170814247176,159.227502770681,-0.561996898869793,-0.962070553292688,5.45312143693762,3805,761,159.227502770681,0.180693466583858,9.49320384019155,"2",-64.4001008093594,-55.122582297487,40.7470861692454,5.45312143693762,"lunge",157.687645414199,165.346300536788,5.84368739764641,2.0849655178322,3.75872187981421,7.65865512258898,"mn12_262b"
"3997",3997,3997,-0.597135322063085,-0.559591337471345,0.486029557607754,-42.8159424347392,-1.30303568436329,160.436081620757,-0.678170944266844,-0.855634686188929,4.28375375041991,3997,799.4,160.436081620757,-0.472605580743808,9.55250098860278,"2",-77.7126657897839,-49.0242563236263,-74.6584452689574,4.28375375041991,"lunge",158.604018893424,165.099090309018,5.41250671087283,2.23642239787349,3.17608431299934,6.495071415594,"mn12_262b"
"4383",4383,4383,-0.447812391418922,-0.563129061034961,0.641342259813806,-40.4208070947621,0.234447093903923,161.1111047756,-0.483202195852827,-0.720553494823165,4.70879664388333,4383,876.6,161.1111047756,-0.354696851274711,8.36829457612432,"2",-55.3708929476416,-41.284674166769,13.4328289998021,4.70879664388333,"lunge",159.614583742575,165.817103297593,5.48345063044415,2.2619760832201,3.22147454722405,6.202519555018,"mn12_262b"
"4562",4562,4562,0.272094836255171,-0.521816901466489,1.14318935145436,-35.1902022400683,-1.13967287020608,162.868716769719,0.213231968403244,-0.428210664477951,5.78940819437137,4562,912.4,162.868716769719,2.80246879004941,13.7145383141535,"2",24.4345836935456,-24.5346638170791,-65.2984454883693,5.78940819437137,"lunge",159.912095545321,163.535968302224,6.11765319326886,2.09992507341404,4.01772811985482,3.62387275690301,"mn12_262b"
"4686",4686,4686,1.2167857476149,-0.00972065125212457,0.39249790995487,-30.5447173199252,-1.90406602543186,157.257874256315,1.25867475867198,-0.0247610606694278,6.95538917102597,4686,937.2,157.257874256315,2.7317441914572,11.8834905142374,"2",144.233502903104,-1.41870427262559,-109.094947171495,6.95538917102597,"lunge",139.318363272027,158.962140025665,7.48059897020453,2.7797531102404,4.70084585996413,19.643776753638,"mn12_262b"
"4849",4849,4849,0.785663786074008,0.102148360718213,0.397004303768192,-43.0500525367794,2.50287261385493,102.448596935818,1.08988557572083,0.251835362642907,4.24432510852718,4849,969.8,102.448596935818,-1.11619679190878,9.11431030591256,"2",124.891687281979,14.4291034115851,143.404037432764,4.24432510852718,"lunge",73.8100344644551,106.48203912417,6.85175741283824,4.24432510852718,2.60743230431106,32.6720046597149,"mn12_262b"
