dive,sec.min,sec.max,surface.time,p.max,dive.time,dur,surface.p,dive.p,lunges,breaths,tag
2,596,1231,183,148,635,818,0.22,0.78,13,13,mn12_263a
3,1414,1982,167,146,568,735,0.23,0.77,11,10,mn12_263a
4,2149,2808,126,147,660,786,0.16,0.84,11,11,mn12_263a
5,2934,3362,81,130,427,509,0.16,0.84,9,7,mn12_263a
6,3443,3925,136,135,482,618,0.22,0.78,11,11,mn12_263a
7,4061,4540,114,131,479,593,0.19,0.81,11,9,mn12_263a
8,4654,5182,145,127,528,673,0.22,0.78,11,12,mn12_263a
9,5326,5952,154,130,625,780,0.20,0.80,13,12,mn12_263a
10,6106,6585,147,135,479,625,0.23,0.77,10,11,mn12_263a
11,6731,7190,126,129,458,584,0.22,0.78,10,10,mn12_263a
12,7316,7737,181,130,421,602,0.30,0.70,8,12,mn12_263a
13,7918,8373,132,131,454,586,0.22,0.78,10,10,mn12_263a
14,8504,8901,97,131,396,494,0.20,0.80,8,8,mn12_263a
15,8998,9429,184,133,430,614,0.30,0.70,9,12,mn12_263a
,,,,,,,,,,,
2,754,1367,185,158,613,798,0.23,0.77,13,13,mn12_264a
3,1551,2036,162,147,484,647,0.25,0.75,6,11,mn12_264a
4,2198,2762,154,166,564,718,0.21,0.79,8,10,mn12_264a
5,2916,3457,154,151,541,696,0.22,0.78,10,11,mn12_264a
6,3611,4165,201,151,554,755,0.27,0.73,10,12,mn12_264a
7,4366,4923,1113,154,556,1670,0.67,0.33,7,12,mn12_264a
9,6036,6693,328,168,657,985,0.33,0.67,6,8,mn12_264a
,,,,,,,,,,,
1,16,448,140,124,432,572,0.24,0.76,10,8,mn12_264b
2,588,971,169,124,383,552,0.31,0.69,9,8,mn12_264b
3,1139,1535,94,128,396,490,0.19,0.81,8,5,mn12_264b
4,1630,2004,168,130,375,543,0.31,0.69,8,12,mn12_264b
5,2173,2653,156,123,480,637,0.25,0.75,10,11,mn12_264b
6,2809,3292,175,125,483,658,0.27,0.73,10,12,mn12_264b
7,3468,3992,157,128,524,681,0.23,0.77,11,11,mn12_264b
8,4149,4607,181,122,458,640,0.28,0.72,11,12,mn12_264b
9,4788,5344,145,124,556,700,0.21,0.79,12,12,mn12_264b
10,5489,5792,158,126,304,462,0.34,0.66,6,10,mn12_264b
11,5950,6434,154,126,484,637,0.24,0.76,11,12,mn12_264b
12,6588,7034,178,124,447,625,0.29,0.71,8,12,mn12_264b
13,7213,7654,148,114,441,590,0.25,0.75,10,10,mn12_264b
14,7802,8200,233,115,398,631,0.37,0.63,5,11,mn12_264b
15,8434,8926,282,114,493,774,0.36,0.64,10,12,mn12_264b
,,,,,,,,,,,
4,2111,2449,440,137,338,779,0.57,0.43,7,9,mn12_265a
6,2889,3285,223,139,396,619,0.36,0.64,7,9,mn12_265a
7,3508,3857,124,130,349,473,0.26,0.74,5,10,mn12_265a
8,3981,4414,158,144,433,592,0.27,0.73,9,11,mn12_265a
9,4572,4973,149,144,401,550,0.27,0.73,8,12,mn12_265a
10,5122,5571,139,143,450,589,0.24,0.76,9,10,mn12_265a
11,5711,6140,161,140,429,590,0.27,0.73,8,11,mn12_265a
12,6301,6741,158,144,440,599,0.26,0.74,9,11,mn12_265a
13,6900,7338,156,143,438,594,0.26,0.74,9,11,mn12_265a
14,7494,7898,160,143,404,564,0.28,0.72,8,12,mn12_265a
15,8058,8479,153,142,421,574,0.27,0.73,8,10,mn12_265a
16,8632,9005,127,142,373,500,0.25,0.75,7,9,mn12_265a
17,9132,9630,151,139,499,650,0.23,0.77,11,13,mn12_265a
18,9782,10041,265,135,259,525,0.51,0.49,3,13,mn12_265a
19,10306,10781,140,134,475,614,0.23,0.77,9,12,mn12_265a
20,10920,11381,165,140,461,626,0.26,0.74,9,12,mn12_265a
21,11546,12095,141,141,549,690,0.20,0.80,11,12,mn12_265a
22,12236,12602,140,139,365,505,0.28,0.72,7,12,mn12_265a
23,12741,13134,144,141,393,537,0.27,0.73,8,11,mn12_265a
24,13278,13710,166,138,432,597,0.28,0.72,9,13,mn12_265a
