,X,ans,p,tempr,pitch,roll,head,flownoise,Aw1,Aw2,Aw3,speedFN,speedSP,r,sec,MSA,jerk,dive,event,min.p,max.p,max.speed,min.speed,delta.speed,delta.p,tag,DateTime, LAT, LON
11867,11867,-0.032471426,16.10157751,5.19532692,124.74974,-58.12655202,62.11507539,-50.97375655,-0.032471426,-0.970768187,0.51712916,3.873514313,4.347093661,11867,2373.4,0.98453274,13.33064385,11,lunge,0.037286602,21.40579495,4.114321409,1.625743827,2.488577582,21.36850835,mn13_109a,4/19/2013 10:06,57.752399,-135.301988
32649,32649,-0.510085415,3.800866593,5.467948725,83.02091016,-80.63818268,-48.39011284,-77.83386638,-0.510085415,-0.877969787,0.562943969,1.763113188,NA,32649,6529.8,1.578883278,5.774871326,37,lunge,0.235045929,4.305007607,1.764907131,1,0.962973141,4.069961678,mn13_109a,4/19/2013 11:15,57.745977,-135.294221
32996,32996,0.025017625,2.691940976,5.738637032,0.050434146,-22.26218966,-61.79988808,-80.9573901,0.025017625,0.095698206,0.929116952,1.509964842,NA,32996,6599.2,-0.643636462,4.6566091,37,lunge,0.019391539,3.268608684,1.690918459,1.145450872,0.545467587,3.249217145,mn13_109a,4/19/2013 11:16,57.74605,-135.294969
34155,34155,0.101957275,25.58769229,5.972749284,119.7255951,-40.2859659,-24.51547521,-50.11186346,0.101957275,-1.043269724,0.714207991,4.1845667,NA,34155,6831,2.63234259,25.35194076,37,lunge,1.541386265,28.65796018,4.761191927,1.5225673,3.238624626,27.11657391,mn13_109a,4/19/2013 11:20,57.745006,-135.29635
35585,35585,-0.076825888,37.82048323,5.925841707,-4.720196769,-28.02783654,175.4510889,-68.62820219,-0.076825888,0.111015834,0.939178707,2.056974774,NA,35585,7117,-0.501780406,5.911358285,39,lunge,36.54002816,38.52188345,2.678993886,2.018654446,0.66033944,1.981855288,mn13_109a,4/19/2013 11:25,57.743797,-135.29936
37353,37353,0.071879421,33.52033853,5.88209209,104.3893679,-38.0950008,53.56847295,-54.56195737,0.071879421,-1.005442479,0.905811629,3.282333693,NA,37353,7470.6,3.483354271,19.60318096,40,lunge,6.431307859,34.70555088,4.239324392,1.35590448,2.883419912,28.27424302,mn13_109a,4/19/2013 11:31,57.745169,-135.296981
38504,38504,0.466018309,21.06808242,5.656970895,102.4500038,-9.77231446,63.73153836,-47.93278577,0.466018309,-0.887208744,0.912844736,4.041028305,NA,38504,7700.8,3.487051485,24.83234499,42,lunge,6.7476745,22.11608107,4.818485549,1,3.937723744,15.36840657,mn13_109a,4/19/2013 11:35,57.74347,-135.293019
39437,39437,0.042789498,14.90647412,5.877344534,-26.16197148,-17.18368143,194.3812401,-45.80374763,0.042789498,0.277787568,0.769241876,4.337055923,NA,39437,7887.4,-1.77518962,19.48432921,44,lunge,3.573059086,16.56626512,4.604649134,1.141596575,3.463052559,12.99320604,mn13_109a,4/19/2013 11:38,57.741865,-135.293442
40388,40388,0.061393454,16.49376362,6.010636584,-0.304098746,-20.45807561,196.1862048,-50.06254037,0.061393454,0.123097811,1.079092312,3.979461528,NA,40388,8077.6,0.861265496,17.42844075,45,lunge,5.863864854,18.16191358,4.133753779,1.137670575,2.996083204,12.29804872,mn13_109a,4/19/2013 11:41,57.741228,-135.294563
41474,41474,-0.017745533,16.12244431,5.95426417,17.61413723,-27.46260352,22.3233532,-54.23072661,-0.017745533,-0.05568935,0.810984773,3.19793641,NA,41474,8294.8,-1.832978066,15.80875179,47,lunge,0.670503041,18.30995422,3.498743417,2.327989751,1.170753666,17.63945118,mn13_109a,4/19/2013 11:45,57.742751,-135.294406
41855,41855,0.432758273,1.554326842,6.068940701,46.70376592,-2.337433107,56.32465901,-73.71157693,0.432758273,-0.219072777,0.893786713,1.593518008,NA,41855,8371,0.165933376,3.419686451,49,lunge,-0.000380249,6.880236129,2.092124398,1.145874011,0.946250387,6.880616378,mn13_109a,4/19/2013 11:46,57.743424,-135.294219
43863,43863,-0.435862879,2.91206589,6.12135116,36.65759731,-58.36270655,62.20771957,-71.66088425,-0.435862879,-0.358273476,0.81049132,1.96617055,NA,43863,8772.6,-0.12220446,5.67775129,51,lunge,0.56561612,3.012051596,2.26736051,1,1.347325052,2.446435476,mn13_109a,4/19/2013 11:53,57.746414,-135.29491
43953,43953,0.0510626,1.958809583,6.203180556,43.38193152,-26.75663043,-42.19993619,-68.26430716,0.0510626,-0.300373352,1.033325907,1.840326302,NA,43953,8790.6,0.758139068,5.034206746,51,lunge,1.303401826,2.470535203,1.840326302,1,1.293497425,1.167133377,mn13_109a,4/19/2013 11:53,57.746609,-135.294901
44444,44444,-0.469712105,2.432961483,6.327708911,23.45851211,-59.93512771,-152.408029,-70.96591292,-0.469712105,-0.245125799,0.760064703,1.850280962,NA,44444,8888.8,-0.72072409,5.455006782,51,lunge,0.010933909,2.788862299,2.024715124,1,1.293300389,2.77792839,mn13_109a,4/19/2013 11:55,57.746452,-135.295499
45582,45582,0.072190389,22.51539236,6.502792328,75.29790047,-28.57169167,-116.6631145,-47.52815064,0.072190389,-0.420930563,0.671326747,4.355226839,5.148383361,45582,9116.4,-2.003898522,27.02429435,55,lunge,0.030362749,29.04639589,4.448530559,1.816565863,2.631964696,29.01603314,mn13_109a,4/19/2013 11:58,57.747412,-135.298239
49153,49153,0.188072112,29.03423455,5.866522282,-35.19755006,-5.820508358,186.5305615,-63.6337512,0.188072112,0.406577012,0.779572618,2.622239175,NA,49153,9830.6,-0.989334781,14.6035786,60,lunge,25.36190125,29.65960538,3.238304886,1.034028313,2.204276572,4.297704132,mn13_109a,4/19/2013 12:10,57.742493,-135.303662
51781,51781,0.273797804,44.38586336,5.892818185,87.21788563,-19.61924961,53.84769495,-44.09483371,0.273797804,-0.706663383,0.949388113,4.883645399,NA,51781,10356.2,2.106214627,24.74705704,66,lunge,30.0477534,48.16668177,4.93075819,1.3455473,3.58521089,18.11892837,mn13_109a,4/19/2013 12:19,57.743514,-135.305866
66669,66669,0.302091385,7.957501327,5.7541827,102.6873872,-17.87435098,-159.3754833,-63.34713142,0.302091385,-0.786953167,0.802127377,2.373212543,NA,66669,13333.8,1.604358923,8.900861699,84,lunge,-0.038127938,9.154043041,2.837102825,1,1.893974701,9.192170979,mn13_109a,4/19/2013 13:09,57.732382,-135.317855
67005,67005,0.049690308,10.1383494,5.760624648,39.84846996,-25.92812361,179.7372019,-70.16099945,0.049690308,-0.232419148,0.911717284,2.074706551,NA,67005,13401,-0.566952631,11.22253333,85,lunge,0.369086946,11.82833079,2.997226379,1,2.471416405,11.45924384,mn13_109a,4/19/2013 13:10,57.731784,-135.317213
69557,69557,0.195291896,10.27131969,5.672978413,140.3785385,-37.37346313,105.2442242,-65.3807839,0.195291896,-1.089573896,0.508265506,2.165486487,2.495918456,69557,13911.4,2.138332874,12.39318707,90,lunge,3.06038633,11.78854085,2.30674771,1,1.754119171,8.728154516,mn13_109a,4/19/2013 13:18,57.73202,-135.315822
71359,71359,0.448389761,7.709343823,5.472373621,58.54748567,-1.674757373,-55.07172833,-64.23879742,0.448389761,-0.315643053,0.854273365,2.347072017,NA,71359,14271.8,0.148268249,10.57323807,92,lunge,-0.056089189,8.271396363,2.806155012,1.483221343,1.322933669,8.327485552,mn13_109a,4/19/2013 13:24,57.731889,-135.323449
