"","X","p","tempr","pitch","roll","head","flownoise","Aw1","Aw2","Aw3","speedFN","speedSP","r","sec","MSA","jerk","dive","event","min.p","max.p","max.speed","min.speed","delta.speed","delta.p","tag"
"10830",10830,13.3647714033406,5.16325679573326,8.0355282240751,-11.1853633826799,142.598286040653,-61.7462707259584,0.0853353281149933,-0.235678384245217,1.19186070531418,3.02684750618275,NA,10830,2166,2.13718286097664,13.1460375573763,"5","lunge",9.76032292436694,13.7366344939761,3.02960329060029,1,2.16329030636039,3.97631156960916,"mn13_110a"
"19615",19615,17.6328981426017,5.00069435362627,-63.7156397124064,3.43889714437027,-37.261211171494,-61.5526609995967,-0.400279908391963,0.0386377095570883,0.642973210529893,2.88988497844217,NA,19615,3923,-2.36953965224517,24.9797225516856,"10","lunge",5.79800401782368,18.1801636670033,4.18798272835325,1.61743554589669,2.57054718245656,12.3821596491796,"mn13_110a"
"85931",85931,15.7091473876566,5.19336848671631,79.4585027950561,-74.9482614351494,33.4898084957058,-67.8769657393493,0.621297803665691,-0.721931728134364,0.194139908240975,2.31673618702255,NA,85931,17186.2,-0.274068212602013,4.79160596844112,"44","lunge",3.29976267008664,19.3401667271634,2.34033819385513,1.2014835387725,1.13885465508263,16.0404040570768,"mn13_110a"
"86271",86271,15.623142682342,5.21142360618029,90.8429064820469,-39.500466047683,0.0424426413620863,-69.1902011017184,0.692399013083344,-0.433992175804817,0.526465883291719,2.28364040276078,2.54356961128161,86271,17254.2,-0.273839994351774,4.95736530434414,"45","lunge",0.0939147784970924,19.3150375144728,2.33887643264527,1.30292937159935,1.03594706104592,19.2211227359757,"mn13_110a"
"86535",86535,14.8588751278923,5.23734104327013,37.7944115941716,-79.523784805398,139.434970020825,-75.1343460044509,0.349091794226443,-1.00277679233388,0.185423150884104,1.99411308580073,NA,86535,17307,0.763663778787728,3.48468849780242,"46","lunge",4.32554293464389,16.672534630199,2.06906666830235,1.09084939158029,0.97821727672206,12.3469916955551,"mn13_110a"
"87238",87238,21.0431726498939,5.19989252926557,100.734761663454,-39.2963672356509,33.0480968176191,-78.5373706798775,0.810010826102689,-0.424887329600241,0.519178034104033,1.75054848446664,2.15053518442074,87238,17447.6,0.507561969618647,2.82716656169273,"47","lunge",5.04133698859134,22.7606666279192,2.07033122506585,1,1.07492636164269,17.7193296393279,"mn13_110a"
"87706",87706,16.2177354689866,5.15817697106729,96.0660768841832,-57.6072853704377,-18.3064402760749,-72.4606562877359,0.844464849288816,-0.641300478382528,0.406867283548758,2.25622927903102,NA,87706,17541.2,1.33125320885982,7.9695313344348,"48","lunge",2.35148817389231,18.9844356827062,2.2664809985978,1.08243164966618,1.18404934893162,16.6329475088139,"mn13_110a"
"87972",87972,19.8469209893299,5.11823361528158,122.964595248081,-31.9427868805123,15.1316039423509,-66.8389685396288,0.850818926206723,-0.244588696845376,0.39229487039739,2.2841239689852,2.34084065006101,87972,17594.4,-0.310836111842883,5.08765239021144,"49","lunge",6.71813156568173,22.5858711748247,2.34982853434551,1.00605423259152,1.34377430175399,15.867739609143,"mn13_110a"
"88440",88440,18.6000564262178,5.17515955901187,89.1045774904595,-48.6937517003129,159.188659737712,-71.4604677418222,0.741317239618987,-0.565643243830097,0.497039036355024,2.17361787160388,NA,88440,17688,0.555742130712,5.85084727179245,"50","lunge",7.55694720893407,21.4474467203346,2.30132790677519,1,1.61267771681807,13.8904995114005,"mn13_110a"
"88771",88771,24.3718749099148,5.12531861619219,-31.1260108805407,11.1637817028414,-47.7423434176258,-68.5303932331934,-0.262001999903504,0.18213878064301,0.922929632219534,2.3682890911666,NA,88771,17754.2,-0.230122666931255,8.5437564694245,"50","lunge",23.9659604158369,26.3121754949204,2.38938911795743,1,1.45160527417796,2.3462150790835,"mn13_110a"
