"","X","dive","p.max","sec.max","p.min","sec.min","dur","lunges","breaths","comments","surface.time","dive.time","surface.p","dive.p"
"1",2,1,44.6204775782347,174.2,1.62791185577395,10.4,163.8,1,NA,"none",24.2,139.8,0.147560975609756,0.852439024390244
"2",3,2,10.4205852040802,267,0.0230833730381519,174.2,92.8,0,1,"none",89.8,3.2,0.965591397849462,0.0344086021505376
"3",4,3,20.0163634692028,362.2,-0.000711610776977345,267,95.2,0,1,"none",31.2,64.2,0.327044025157233,0.672955974842767
"4",5,4,50.5070065659822,796.6,-0.0633363669136278,362.2,434.4,0,4,"none",87.6,347,0.201564657156006,0.798435342843994
"5",6,5,57.1412272861411,1253.4,-0.0669035015678281,796.6,456.8,0,1,"none",60.2,396.8,0.131728665207877,0.868271334792123
"6",7,6,46.6189522649511,1473.4,0.945603334183133,1253.4,220,1,5,"none",22.8,197.4,0.103542234332425,0.896457765667575
"7",9,8,39.150075037547,1759,-0.0304557557600216,1473.4,285.6,1,5,"none",143.2,142.6,0.501049685094472,0.498950314905528
"8",11,10,48.3326964226894,2075,-0.0739892008965848,1759,316,1,3,"wrong lunge detected",131.4,184.8,0.415559772296015,0.584440227703985
"9",13,12,43.1099745730774,2494.2,-0.0776343837454008,2075,419.2,0,2,"none",128.8,290.6,0.307105388650453,0.692894611349547
"10",14,13,27.2283058680308,2757.4,-0.078837138648393,2494.2,263.2,0,5,"none",103.6,159.8,0.39331814730448,0.60668185269552
"11",15,14,29.271018297461,3139.8,-0.109607036626044,2757.4,382.4,0,2,"none",71.4,311.2,0.186617877679038,0.813382122320962
"12",16,15,40.9783800818568,3431,-0.088594942902773,3139.8,291.2,0,4,"none",90.4,201,0.310226492793411,0.689773507206589
"13",17,16,45.4459214503164,3716.6,-0.0884291258416738,3431,285.6,1,4,"none",104.6,181.2,0.365990202939118,0.634009797060882
"14",18,17,55.9764615600807,4011.8,-0.082485410471177,3716.6,295.2,1,5,"none",133.4,162,0.451591062965471,0.54840893703453
"15",19,18,54.7939904596835,4171.8,1.80569883461233,4011.8,160,1,5,"none",24.2,136,0.151061173533084,0.848938826466916
"16",21,20,57.613256638121,4586.2,-0.13745941614216,4171.8,414.4,1,5,"wrong lunge detected, max speed instead",160.2,254.4,0.386396526772793,0.613603473227207
