,X,ans,p,tempr,pitch,roll,head,flownoise,Aw1,Aw2,Aw3,pnorm,speedFN,speedSP,r,sec,MSA,jerk,dive,event,min.p,max.p,max.speed,min.speed,delta.speed,delta.p,tag,DateTime, LAT, LON
801,801,0.900091531,9.556052382,7.030479756,109.4727819,-42.64881588,-76.40642928,-70.39847586,0.900091531,-0.431191578,0.468116215,0.145743141,2.115020746,NA,801,160.2,1.003925063,8.665508638,1,lunge,2.225491277,11.88727319,2.778947161,1,1.799664927,9.661781912,mn13_111a,4/21/2013 8:47,57.745219,-135.260571
7300,7300,0.674105221,7.074236426,4.922341032,119.0472003,-55.37686053,138.0095759,-75.36529889,0.674105221,-0.326450821,0.225397974,0.107891983,1.966230207,NA,7300,1460,-2.13616799,16.04727287,6,lunge,0.945603334,9.323398269,3.651203337,1.07353706,2.577666277,8.377794935,mn13_111a,4/21/2013 9:08,57.744643,-135.25281
8389,8389,1.182828833,23.87164899,5.336346462,136.905785,-47.87300161,183.3361109,-57.9903457,1.182828833,-0.346394034,0.313287641,0.364075977,3.569810876,3.663433949,8389,1677.8,2.664471162,8.685975643,8,lunge,3.802832131,29.16064885,3.891512695,1.116596772,2.774915923,25.35781672,mn13_111a,4/21/2013 9:12,57.744236,-135.252135
9994,9994,0.67684104,32.90574892,5.472551828,86.80235951,-26.92801401,-158.9396386,-65.7436468,0.67684104,-0.324123994,0.638109842,0.501858615,2.577612598,2.803427378,9994,1998.8,-0.146455984,13.36766641,10,lunge,5.262753169,36.84186657,3.791579388,1.758240235,2.033339153,31.5791134,mn13_111a,4/21/2013 9:17,57.746276,-135.256763
17992,17992,0.84082948,35.78921541,5.221044037,119.6287082,155.3349642,-97.27758387,-74.05879527,0.84082948,0.204104448,-0.444469152,0.545835504,2.140125899,2.168897915,17992,3598.4,-0.267417192,8.529699215,16,lunge,10.22472423,39.17325909,2.726605561,1.966642892,0.759962668,28.94853485,mn13_111a,4/21/2013 9:44,57.742462,-135.257012
19430,19430,0.798157969,16.12231046,5.323735104,109.0041739,-17.15640318,-110.5837589,-68.00242053,0.798157969,-0.167925854,0.543945632,0.245887745,2.890710303,3.185869528,19430,3886,-0.192470781,12.06641536,17,lunge,3.350261379,19.8153538,3.720727509,1.234034981,2.486692529,16.46509242,mn13_111a,4/21/2013 9:49,57.743767,-135.260579
20803,20803,0.77508306,9.713542017,5.538146382,124.708222,-53.44693603,-50.05588523,-75.49577753,0.77508306,-0.326137586,0.241796874,0.148145078,1.845227149,NA,20803,4160.6,-1.226054267,12.38455878,18,lunge,2.733042696,12.13761834,3.69794911,1,2.969581796,9.404575641,mn13_111a,4/21/2013 9:53,57.744248,-135.264752
22512,22512,-0.172205385,44.10761204,5.373722521,-16.5883175,-51.45735093,-88.72432214,-70.03560648,-0.172205385,-0.923922397,0.736044605,0.672702667,2.173139716,NA,22512,4502.4,1.900079048,7.146011586,20,lunge,25.39737104,44.93230615,2.944641745,1.921952268,1.022689477,19.53493511,mn13_111a,4/21/2013 9:59,57.744425,-135.262623
24029,24029,0.728528294,5.053256552,5.234370965,154.4615475,-14.49385271,-96.11355203,-67.87051446,0.728528294,-0.041322122,0.15985154,0.077069218,2.396908218,NA,24029,4805.8,-2.481052863,10.30960139,22,lunge,2.337350602,9.441577937,3.044481261,1.228329575,1.816151687,7.104227336,mn13_111a,4/21/2013 10:04,57.743914,-135.261887
26329,26329,1.11062252,10.31048649,5.044551912,115.1472201,8.820766186,-130.419199,-64.95581788,1.11062252,0.108190364,0.697195739,0.157249315,2.684256586,2.844176781,26329,5265.8,3.096715717,13.10327547,24,lunge,4.482831276,13.83980564,2.891169826,1.016004918,1.875164908,9.356974367,mn13_111a,4/21/2013 10:12,57.743899,-135.264848
27534,27534,0.93491608,12.91901095,5.559410641,146.8277456,-30.99625474,-49.28338995,-54.98298501,0.93491608,-0.143404022,0.238699713,0.197032955,3.22881754,3.088695539,27534,5506.8,-0.240212191,10.44656259,25,lunge,2.409427625,17.57527129,3.333533683,1,2.663689482,15.16584366,mn13_111a,4/21/2013 10:16,57.744217,-135.268333
29086,29086,1.043540068,20.96974732,5.371906401,137.5623706,-44.22818881,196.850065,-58.45931095,1.043540068,-0.28260405,0.290322204,0.319817925,3.150067088,3.32880806,29086,5817.2,1.17122739,9.491272573,27,lunge,4.559075272,26.05156535,3.27129681,1.109712133,2.161584677,21.49249008,mn13_111a,4/21/2013 10:21,57.743679,-135.265991
32604,32604,0.620946692,9.860866077,5.060152633,88.21742282,-16.46517789,-72.96667901,-58.86423778,0.620946692,-0.181559065,0.614303883,0.150391976,3.20905616,NA,32604,6520.8,-1.057778414,16.09054832,29,lunge,1.996849972,14.74199282,3.249773752,1,2.314716552,12.74514285,mn13_111a,4/21/2013 10:33,57.744294,-135.271086
