"","X.1","X","dive","p.max","sec.max","p.min","sec.min","dur","lunges","breaths","comments","surface.time","dive.time","surface.p","dive.p"
"1",1,2,1,39.8959697853487,244.6,1.97006371815587,6.4,238.2,1,0,"none",19.4,219,0.0813758389261745,0.918624161073825
"2",2,3,2,12.719992639578,340.6,-0.0893178601535645,244.6,96,0,0,"none",80.8,15.4,0.83991683991684,0.16008316008316
"3",3,5,4,35.6784316490935,691,-0.0679043016890772,340.6,350.4,0,4,"none",128.8,221.8,0.367370222475756,0.632629777524244
"4",4,6,5,40.4244854528847,922.2,-0.0808775461148485,691,231.2,1,2,"none",34,197.4,0.146931719965428,0.853068280034572
"5",5,7,6,35.8155703710514,1173.4,-0.0739984983785476,922.2,251.2,1,2,"none",34,217.4,0.135242641209228,0.864757358790772
"6",6,8,7,34.4518655802038,1484.6,-0.0395354436664073,1173.4,311.2,1,2,"none",33,278.4,0.10597302504817,0.89402697495183
"7",7,9,8,10.4461575539946,1573.4,-0.020067854738544,1484.6,88.8000000000002,1,2,"none",86.6,2.4,0.973033707865169,0.0269662921348315
"8",8,10,9,36.3919156808031,2046.2,-0.0401814422051443,1573.4,472.8,1,2,"none",50.6,422.4,0.106976744186046,0.893023255813953
"9",9,11,10,35.3075330585041,2408.6,-0.120249071875969,2046.2,362.4,0,2,"none",38,324.6,0.104798676227248,0.895201323772752
"10",10,12,11,36.6404777050369,2582.2,-0.0534587928372066,2408.6,173.6,1,5,"none",104.8,69,0.602991944764097,0.397008055235903
"11",11,13,12,38.9379752765377,3026.2,-0.0208437053510562,2582.2,444,1,2,"none",74.4,369.8,0.167492120666366,0.832507879333633
"12",12,14,13,13.6534233572834,3163.8,-0.0436562320752849,3026.2,137.6,1,0,"none",48.6,89.2,0.352685050798258,0.647314949201742
"13",13,15,14,24.5451238119248,3233.4,-0.0647935411516292,3163.8,69.5999999999999,0,0,"none",21.4,48.4,0.306590257879656,0.693409742120344
"14",14,17,16,33.9032359723744,3502.2,1.70935407279668,3233.4,268.8,0,1,"none",68.2,200.8,0.253531598513011,0.746468401486989
"15",15,19,18,36.804975197461,3833.4,1.33797129302456,3502.2,331.2,1,0,"none",57.6,273.8,0.173808086904043,0.826191913095957
"16",16,20,19,13.3323061346008,3946.2,0.471836897199752,3833.4,112.8,0,1,"none",97.6,15.4,0.863716814159292,0.136283185840708
