,X,p,tempr,pitch,roll,head,flownoise,speedFN,speedSP,Am1,Am2,Am3,Aw1,Aw2,Aw3,r,sec,MSA,jerk,dive,event,min.p,max.p,max.speed,min.speed,delta.speed,delta.p,tag,DateTime, LAT, LON
1142,1142,23.71185525,8.641578047,100.7376804,-92.27139848,-105.2094581,-50.12512374,4.393340484,4.80912117,0.918784152,-0.760328514,-0.030157794,0.918784152,-0.760328514,-0.030157794,1142,228.4,1.892372142,14.22349548,1,lunge,2.333900768,28.82962009,5.139441409,1,4.429796898,26.49571933,mn13_112a,4/22/2013 8:24,57.750644,-135.2701
4461,4461,29.31751,5.614818,89.77496,-89.26546,81.64271,-48.55493,5.108778,NA,0.7962312,-0.799299,0.01024774,0.7962312,-0.799299,0.01024774,4461,892.2,1.25779,6.968348,5,lunge,0.8746439,33.8169,5.379596,1.171967,4.207629,32.9422561,mn13_112a,4/22/2013 8:35,57.752189,-135.276488
5686,5686,26.96326,5.276362,110.3106,-3.095025,119.6457,-69.80923,1.479869,1.547023,0.6241698,-0.02346131,0.4338983,0.6241698,-0.02346131,0.4338983,5686,1137.2,-2.348397,19.25528,6,lunge,14.00974,28.8592,1.690673,1,0.9874337,14.84946,mn13_112a,4/22/2013 8:39,57.752522,-135.273043
7280,7280,23.3025,4.974207,122.5924,-125.8228,-145.6989,-67.7986,1.871799,2.465907,0.9418227,-0.4181567,-0.3018371,0.9418227,-0.4181567,-0.3018371,7280,1456,0.7234757,8.486228,7,lunge,2.893894,26.52824,2.975509,1.434919,1.54059,23.634346,mn13_112a,4/22/2013 8:45,57.748144,-135.274391
7496,7496,9.834168,4.959822,50.60609,-20.35187,178.1009,-73.32314,1.588337,NA,0.4675389,-0.3439416,0.9272143,0.4675389,-0.3439416,0.9272143,7496,1499.2,0.9208336,6.664046,8,lunge,5.327876,10.35282,2.417302,1.190358,1.226944,5.024944,mn13_112a,4/22/2013 8:45,57.7477,-135.27462
9386,9386,34.77582,4.985696,106.7899,-43.29311,134.2365,-82.5083,1.056309,1.084159,0.7748665,-0.394688,0.4189336,0.7748665,-0.394688,0.4189336,9386,1877.2,-0.3408087,12.36705,9,lunge,21.54922,35.55576,1.880301,1,1.0326551,14.00654,mn13_112a,4/22/2013 8:52,57.749722,-135.27433
12405,12405,30.84603,4.973552,96.49998,-97.43946,6.592733,-50.29344,4.469843,NA,0.8740013,-0.7735098,-0.1010031,0.8740013,-0.7735098,-0.1010031,12405,2481,1.681778,11.88667,11,lunge,2.297137,34.95965,5.526923,1,4.6122825,32.662513,mn13_112a,4/22/2013 9:02,57.749362,-135.27193
14782,14782,26.77878,5.021944,105.5527,-114.3931,-38.00317,-51.24828,4.361896,4.468271,1.047794,-0.7249445,-0.3287448,1.047794,-0.7249445,-0.3287448,14782,2956.4,3.09754,13.38847,12,lunge,0.6958844,32.01184,5.768799,1.104939,4.66386,31.3159556,mn13_112a,4/22/2013 9:10,57.746713,-135.280771
15806,15806,0.02596314,5.278676,25.45555,4.537486,24.12955,-61.63866,2.119665,NA,0.2027948,0.07102946,0.895028,0.2027948,0.07102946,0.895028,15806,3161.2,-0.7800235,5.670827,13,lunge,-0.04365623,10.33406,2.710817,1.481074,1.229743,10.37771623,mn13_112a,4/22/2013 9:13,57.749009,-135.281484
17664,17664,-0.01798989,5.12289,27.32702,5.622366,95.7047,-100.789,1.728019,NA,0.2339752,0.09429434,0.957838,0.2339752,0.09429434,0.957838,17664,3532.8,-0.09316765,13.07553,18,lunge,-0.0695042,13.38313,2.927836,1.472452,1.455384,13.4526342,mn13_112a,4/22/2013 9:19,57.749582,-135.272191
19860,19860,-0.01317084,5.367414,12.2051,-18.42432,94.26959,-80.33714,1.099984,NA,0.103902,-0.3071474,0.9220121,0.103902,-0.3071474,0.9220121,19860,3972,-0.221978,9.09908,20,lunge,-0.01317084,13.60912,3.659389,1.003696,2.655693,13.62229084,mn13_112a,4/22/2013 9:27,57.746703,-135.270821
20836,20836,15.07548,5.282311,108.1273,-104.5166,148.7397,-48.61468,4.842042,4.492131,0.8304353,-0.5827216,-0.1508824,0.8304353,-0.5827216,-0.1508824,20836,4167.2,0.251516,8.834239,21,lunge,-0.0413248,21.04688,5.936872,1.170366,4.766506,21.0882048,mn13_112a,4/22/2013 9:30,57.74556,-135.270785
25333,25333,42.43048,5.428984,20.35638,-8.704961,29.8585,-73.96402,1.816836,NA,0.2153407,-0.1815298,1.185616,0.2153407,-0.1815298,1.185616,25333,5066.6,2.143832,9.143453,27,lunge,30.48563,42.43048,2.95362,1.261827,1.691793,11.94485,mn13_112a,4/22/2013 9:45,57.747422,-135.264837
28515,28515,27.00125,5.49401,139.8424,-105.0405,118.4121,-57.79745,2.857995,2.797194,1.072553,-0.378618,-0.1017372,1.072553,-0.378618,-0.1017372,28515,5703,1.392152,9.291897,32,lunge,2.60329,30.42669,3.089394,1,2.1150847,27.8234,mn13_112a,4/22/2013 9:56,57.750233,-135.27701
29184,29184,31.56141,5.365105,23.13065,10.54719,196.5151,-74.03078,1.460215,NA,0.1935554,0.1731304,0.929854,0.1935554,0.1731304,0.929854,29184,5836.8,-0.3389591,7.289925,33,lunge,28.94144,32.36081,2.100829,1,1.2408082,3.41937,mn13_112a,4/22/2013 9:58,57.750446,-135.274484
29493,29493,5.922668,5.281635,58.20897,31.27395,-129.806,-66.90455,2.165723,NA,0.4814243,0.4489386,0.7391312,0.4814243,0.4489386,0.7391312,29493,5898.6,-0.1003932,6.317167,33,lunge,-0.07716707,8.907034,2.386097,1,1.7212232,8.98420107,mn13_112a,4/22/2013 9:59,57.748971,-135.275082
38557,38557,31.65464,5.080469,81.24094,-37.84746,-69.24395,-56.05192,4.072087,NA,0.6768413,-0.4841695,0.6231212,0.6768413,-0.4841695,0.6231212,38557,7711.4,0.3885608,9.185573,41,lunge,3.349076,34.58415,5.072406,1,4.0955557,31.235074,mn13_112a,4/22/2013 10:29,57.745262,-135.268172
40286,40286,27.27417,5.631356,123.5118,-85.42883,-135.5408,-49.79132,4.495911,4.293356,1.08635,-0.5817165,0.0465092,1.08635,-0.5817165,0.0465092,40286,8057.2,2.286636,9.956386,42,lunge,1.488049,31.86105,5.415837,1,4.4558365,30.373001,mn13_112a,4/22/2013 10:35,57.742547,-135.263908
42564,42564,21.92422,5.214561,97.03567,-58.44075,7.531149,-62.89091,2.863079,2.492834,0.7910473,-0.5959759,0.3660628,0.7910473,-0.5959759,0.3660628,42564,8512.8,0.5482858,6.4325,45,lunge,1.045791,24.84705,3.71955,1.092146,2.627404,23.801259,mn13_112a,4/22/2013 10:42,57.743784,-135.260588
45290,45290,33.85464,5.101253,49.58799,-31.36228,-83.74572,-62.59627,2.754868,NA,0.4380419,-0.4935251,0.8097222,0.4380419,-0.4935251,0.8097222,45290,9058,0.4369476,7.860513,46,lunge,6.904765,34.48891,4.7511,1.735328,3.015772,27.584145,mn13_112a,4/22/2013 10:51,57.743997,-135.250662
63859,63859,25.4407,4.878766,110.0285,-119.7206,10.59398,-49.15513,4.660257,4.311938,0.9900644,-0.6017366,-0.3435112,0.9900644,-0.6017366,-0.3435112,63859,12771.8,2.044046,13.1397,53,lunge,0.7554901,31.18861,4.862314,1,4.078364,30.4331199,mn13_112a,4/22/2013 11:53,57.741297,-135.242075
65244,65244,21.84998,5.541202,134.2225,-90.83295,31.75656,-50.08857,4.608388,4.784945,1.120543,-0.4730271,-0.006877252,1.120543,-0.4730271,-0.006877252,65244,13048.8,2.121314,14.73911,54,lunge,0.303534,28.38196,5.139645,1,4.4491952,28.078426,mn13_112a,4/22/2013 11:58,57.741645,-135.245201
66740,66740,26.99101,5.761639,111.7337,-97.51705,120.609,-52.52425,3.543452,3.267927,1.066784,-0.716952,-0.0946056,1.066784,-0.716952,-0.0946056,66740,13348,2.832131,13.94885,56,lunge,0.4693342,29.82434,5.249824,1.175908,4.073916,29.3550058,mn13_112a,4/22/2013 12:03,57.741261,-135.25103
