"","X","dive","p.max","sec.max","p.min","sec.min","dur","lunges","breaths","comments","surface.time","dive.time","surface.p","dive.p"
"1",2,1,59.2035950942782,379,1.55179529394219,64.8,314.2,1,6,"none",17.6,296.8,0.0559796437659033,0.944020356234097
"2",4,3,63.7741821750111,771.8,1.79583855388187,379,392.8,1,5,"none",127.6,265.4,0.324681933842239,0.675318066157761
"3",6,5,59.6279876887832,1347,-0.0483893961936612,771.8,575.2,1,7,"none",226.8,348.6,0.394160583941606,0.605839416058394
"4",7,6,59.8927197656015,1551,1.65615437610511,1347,204,1,5,"none",25.2,179,0.123408423114594,0.876591576885407
"5",9,8,72.0360144633177,1849.4,2.00191752288306,1551,298.4,1,5,"none",117.6,181,0.393837910247823,0.606162089752177
"6",13,12,53.2275436842523,2341.4,1.19701728214781,1849.4,492,1,7,"none",145.6,346.6,0.295814709467696,0.704185290532304
"7",16,15,67.4857904780025,2687.8,1.44197646887104,2341.4,346.4,1,7,"none",156.8,189.8,0.452394691286786,0.547605308713214
"8",18,17,73.6727331386205,3035,-0.0635073565208377,2687.8,347.2,1,9,"none",190.2,157.2,0.547495682210708,0.452504317789292
"9",20,19,56.9517173298016,3487,-0.0574897684938986,3035,452,1,7,"none",267.8,184.4,0.592215833701902,0.407784166298098
"10",21,20,76.7398661189067,3712.6,1.59051819799077,3487,225.6,1,3,"none",21.4,204.4,0.0947741364038973,0.905225863596103
"11",23,22,74.8044061583359,4046.2,-0.0779663738888705,3712.6,333.6,0,2,"none",129.2,204.6,0.387058118633912,0.612941881366087
"12",24,23,71.9133515662469,4236.6,1.07558753127006,4046.2,190.400000000001,1,8,"none",20,170.6,0.104931794333683,0.895068205666317
"13",26,25,60.2396399990483,4823,-0.0625968302191628,4236.6,586.4,0,8,"none",233,353.6,0.397204227753154,0.602795772246846
"14",28,27,50.5812517316451,5483,-0.0716804627923602,4823,660,1,8,"none",268.4,391.8,0.40654347167525,0.59345652832475
"15",29,28,34.9529136458446,5890.2,-0.0892966954798156,5483,407.2,0,5,"none",49,358.4,0.120274914089347,0.879725085910653
"16",31,30,50.0601228960621,6303.8,-0.0885813720354585,5890.2,413.6,1,6,"none",160.2,253.6,0.38714354760754,0.61285645239246
"17",33,32,73.4325030806213,6716.6,-0.086398351167877,6303.8,412.8,0,3,"none",102.8,310.2,0.248910411622276,0.751089588377724
"18",34,33,55.8105969623953,7019.8,1.72166207289772,6716.6,303.2,1,5,"none",15.2,288.2,0.0500988793671721,0.949901120632828
"19",36,35,44.147495966231,7387,-0.0785390090824647,7019.8,367.2,NA,2,"none",165.4,202,0.450190528034839,0.549809471965161
"20",37,36,41.7869232938712,7630.2,-0.0987308959399629,7387,243.2,0,4,"none",88.8,154.6,0.364831552999178,0.635168447000822
"21",38,37,33.7385733728831,8207.8,-0.0976442410162948,7630.2,577.599999999999,0,6,"none",141.4,436.4,0.24472135687089,0.75527864312911
"22",39,38,57.0690446786695,8644.6,-0.0864447240060091,8207.8,436.800000000001,1,5,"none",121,316,0.276887871853547,0.723112128146453
"23",40,39,23.4795584819714,8808.6,-0.0978605620110051,8644.6,164,0,3,"none",68,96.2,0.414129110840439,0.585870889159562
"24",41,40,40.0287271625211,9206.2,-0.0972823577372028,8808.6,397.6,0,4,"none",77,320.8,0.193564605329311,0.806435394670689
"25",42,41,39.7212204388587,9670.2,-0.124547748779865,9206.2,464,0,7,"none",130.2,334,0.280482550624731,0.719517449375269
"26",43,42,48.580540557966,10174.2,-0.140021367748085,9670.2,504,0,5,"none",99.4,404.8,0.197143990479968,0.802856009520032
"27",44,43,39.9554069880984,10539,-0.150689522505621,10174.2,364.799999999999,0,3,"none",59.2,305.8,0.162191780821918,0.837808219178082
"28",45,44,49.7693756289095,10905.4,-0.124620856886158,10539,366.4,0,3,"none",77,289.6,0.210038188761593,0.789961811238407
"29",46,45,42.6413282208203,11286.2,-0.123068201911257,10905.4,380.800000000001,1,7,"none",152.6,228.4,0.400524934383202,0.599475065616798
"30",47,46,60.7724502392989,11675,-0.117907945075816,11286.2,388.799999999999,1,NA,"none",35.4,353.6,0.0910025706940874,0.908997429305913
"31",49,48,12.397985733739,11758.2,-0.119271761026857,11675,83.2000000000007,0,1,"none",54.6,28.8,0.654676258992806,0.345323741007194
"32",50,49,47.154340721391,12035,-0.0953605560026749,11758.2,276.799999999999,0,2,"none",48.8,228.2,0.176173285198556,0.823826714801444
"33",51,50,35.1384151371171,12305.4,-0.125721896469339,12035,270.4,0,5,"none",108.8,161.8,0.402069475240207,0.597930524759793
"34",52,51,42.9857212189017,12819.8,-0.123168906240141,12305.4,514.4,1,8,"none",150,364.6,0.291488534784298,0.708511465215702
"35",53,52,41.1087310470498,13086.2,-0.11004348462295,12819.8,266.400000000001,0,3,"none",69.2,197.4,0.259564891222806,0.740435108777194
"36",54,53,35.2836493249978,13438.2,-0.126242607309289,13086.2,352,0,3,"none",73,279.2,0.207268597387848,0.792731402612152
"37",55,54,26.3474210127467,13749.4,-0.131527132074357,13438.2,311.199999999999,0,3,"none",68.6,242.8,0.220295439948619,0.779704560051381
"38",56,55,26.8013311476161,14123,-0.141220500165633,13749.4,373.6,0,3,"none",60.6,313.2,0.162118780096308,0.837881219903692
"39",57,56,43.7240415294753,14415,-0.123002604949524,14123,292,0,3,"none",24.2,268,0.0828199863107461,0.917180013689254
"40",59,58,15.2676341581219,14592.6,-0.0926806597587713,14415,177.6,0,4,"none",125.6,52.2,0.706411698537683,0.293588301462317
"41",60,59,47.4461372915599,14987.8,-0.116960734493598,14592.6,395.199999999999,0,4,"none",100,295.4,0.252908447142135,0.747091552857865
"42",61,60,12.4266591440676,15127,-0.094899895883843,14987.8,139.200000000001,0,2,"none",80,59.4,0.573888091822095,0.426111908177905
"43",64,63,30.678910208724,15441.4,-0.0998208836688601,15127,314.4,0,3,"none",124.6,190,0.396058486967578,0.603941513032422
"44",66,65,28.9825389524522,15677.4,-0.120298346712309,15441.4,236,0,1,"none",104.8,131.4,0.443691786621507,0.556308213378493
"45",67,66,57.4312334929025,15911,-0.0995704882553992,15677.4,233.6,1,5,"none",121.8,112,0.520958083832335,0.479041916167665
"46",68,67,15.2514361898369,16167,-0.0840607384316048,15911,256,0,4,"none",111.2,145,0.434035909445746,0.565964090554255
"47",69,68,26.6081596397344,16438.2,-0.102821179180213,16167,271.200000000001,0,4,"none",115.4,156,0.425202652910833,0.574797347089167
"48",70,69,42.5030712043955,18154.2,-0.148596059988823,16438.2,1716,1,5,"none",960,756.2,0.559375364176669,0.440624635823331
