,X,p,tempr,pitch,roll,head,flownoise,speedFN,speedSP,Aw1,Aw2,Aw3,r,sec,MSA,jerk,dive,event,min.p,max.p,max.speed,min.speed,delta.speed,delta.p,tag,DateTime, LAT, LON
1816,1816,32.08501856,8.204790768,110.7983206,62.66104889,190.5489637,-64.00643578,2.57883527,3.241927945,0.933082378,0.57181149,0.29562638,1816,363.2,1.30998288,8.573510041,1,lunge,3.903978205,34.9279305,3.659635144,1.124159301,2.535475843,31.0239523,mn13_113d,4/23/2013 8:25,57.739511,-135.266973
3824,3824,11.80164499,5.967133082,131.8191844,67.15522774,-77.46110093,-55.50346867,3.381585598,3.388312726,1.069884122,0.440844247,0.185719349,3824,764.8,1.686339481,11.71568426,3,lunge,2.903751866,16.53977116,3.493484763,1,2.566108885,13.63601929,mn13_113d,4/23/2013 8:32,57.74181,-135.265946
6114,6114,34.55089716,5.209702703,159.871384,105.5421163,-121.609418,-58.2358403,3.108788428,3.539905362,1.165228016,0.199247642,-0.055414019,6114,1222.8,1.798917096,20.23943948,5,lunge,4.381576977,38.99840614,4.052864681,1.125882909,2.926981772,34.61682916,mn13_113d,4/23/2013 8:39,57.742041,-135.255215
7681,7681,6.059543509,5.43939066,148.4782834,85.35796751,-131.0484735,-60.81889598,3.133294157,NA,0.672801897,0.18926454,0.015367616,7681,1536.2,-2.95096959,18.67487351,6,lunge,1.656154376,11.00730015,3.749746443,1.095008375,2.654738068,9.351145775,mn13_113d,4/23/2013 8:45,57.744159,-135.251756
9171,9171,33.55632937,5.569752575,117.8381572,-18.02725396,-101.4017578,-61.89379468,3.199935855,3.532131046,1.030551342,-0.192242477,0.59070529,9171,1834.2,1.993671933,21.30345316,8,lunge,3.636534107,38.39836407,4.091199801,1.643069682,2.448130119,34.76182996,mn13_113d,4/23/2013 8:50,57.745074,-135.253358
11632,11632,12.49613019,5.142428806,155.9705283,-55.69441189,-4.841862851,-59.53718228,3.222563597,3.130275814,1.094846121,-0.192477221,0.131326568,11632,2326.4,1.170589062,10.92668084,12,lunge,1.623455987,17.65212692,3.324275105,1,2.331844863,16.02867093,mn13_113d,4/23/2013 8:58,57.747242,-135.244053
13333,13333,34.39489462,5.478371023,132.9442882,-37.95338361,97.33936457,-56.70677578,3.500762618,3.635543076,1.021511859,-0.273534299,0.350695692,13333,2666.6,1.119273903,11.97920413,15,lunge,4.26076838,38.84213316,3.972902419,1.275794525,2.697107893,34.58136478,mn13_113d,4/23/2013 9:03,57.747041,-135.24894
14817,14817,46.0103722,5.691820079,124.5734806,-72.45044919,-93.96296083,-65.27400633,2.252384988,2.401439658,1.050697631,-0.526249664,0.166426376,14817,2963.4,1.832327257,13.07921725,17,lunge,16.95929368,48.72593104,3.895091309,1,3.054210809,31.76663736,mn13_113d,4/23/2013 9:08,57.746749,-135.252441
16814,16814,10.88321138,5.786069015,91.06096948,-19.98745172,199.1733216,-55.78993123,3.804935689,3.340488162,0.652001654,-0.218774399,0.601487563,16814,3362.8,-0.84680766,22.49587268,19,lunge,3.264184671,16.2515436,3.941949001,1.182339959,2.759609042,12.98735893,mn13_113d,4/23/2013 9:15,57.746266,-135.251297
18487,18487,17.27325908,5.554306212,108.8784839,-21.63843991,-63.02004699,-64.42050195,2.871150152,3.208275299,0.693678907,-0.182864863,0.460960138,18487,3697.4,-1.444422115,18.83975941,20,lunge,1.590518198,22.02598457,3.770334226,1.125890035,2.644444191,20.43546637,mn13_113d,4/23/2013 9:21,57.74672,-135.254998
