"","X","dive","p.max","sec.max","p.min","sec.min","dur","lunges","breaths","prey","comments","speedFN.max","jerk.max","speedFN.mean","resp.rate_min","lunge.rate_min","surface.time","dive.time","surface.p","dive.p"
"1",2,1,28.25724167,109.4,0.07430005,0.8,108.6,0,1,NA,"",3.147188199,3.118096926,2.096352158,0.552486188,"0",30,78.8,0.275735294117647,0.724264705882353
"2",3,2,29.20825248,219,0.164382648,109.4,109.6,0,3,NA,"",3.343171762,6.014868738,1.987231381,1.645338208,"0",46.2,63.6,0.420765027322404,0.579234972677596
"3",6,5,48.11596474,519.8,0.587271875,219,300.8,0,2,NA,"",3.101535421,4.004026678,1.753815744,0.573065903,"0",138.6,162.4,0.46046511627907,0.53953488372093
"4",8,7,58.14531274,825.4,1.139146137,519.8,305.6,0,1,NA,"",3.225057369,2.55332215,1.339268966,0.218818381,"0",63.6,242.2,0.207979071288424,0.792020928711576
"5",13,12,26.28699795,1300.6,1.240711398,825.4,475.2,0,3,NA,"",2.839533854,1.536077903,0.656079271,0.452944137,"0",120,355.4,0.252419015565839,0.747580984434161
"6",15,14,13.78766384,1517.4,1.494226787,1300.6,216.8,0,3,NA,"",2.521355384,2.83634727,1.383657662,0.911854103,"0",73.2,143.8,0.337327188940092,0.662672811059908
"7",20,19,22.45866674,1911,1.693835334,1517.4,393.6,0,2,NA,"",3.004361374,2.898153325,1.197170273,0.354819633,"0",81,312.8,0.205688166582021,0.794311833417979
"8",21,20,19.66609953,2107,1.436055476,1911,196,0,3,NA,"",NA,2.329198512,NA,0.919305414,"0",36,160.2,0.18348623853211,0.81651376146789
"9",23,22,12.17218854,2294.2,1.44100335,2107,187.2,0,4,NA,"",2.846646428,3.066665898,1.333323886,1.451027811,"0",115,72.4,0.613660618996798,0.386339381003202
"10",25,24,12.73572598,2571,1.514930132,2294.2,276.8,0,6,NA,"",3.163118762,3.063064445,1.009476481,1.429706116,"0",135.8,141.2,0.490252707581227,0.509747292418773
"11",28,27,42.82480032,3054.2,1.198724227,2571,483.2,0,5,NA,"",2.877346369,2.809352078,0.777988656,0.673551863,"0",77.2,406.2,0.159702110053786,0.840297889946214
"12",33,32,17.39455442,3476.6,1.439974101,3054.2,422.4,0,2,NA,"",3.187052211,1.664763742,0.983390332,0.359066427,"0",135.2,287.4,0.319924278277331,0.680075721722669
"13",36,35,64.20631944,4342.2,1.496831075,3476.6,865.6,0,1,NA,"",NA,2.398358432,NA,0.076706725,"0",116,749.8,0.133980133980134,0.866019866019866
"14",38,37,11.61505513,4598.2,1.692495929,4342.2,256,0,1,NA,"",2.706872607,3.493074835,1.043525388,0.251889169,"0",143.4,112.8,0.559718969555035,0.440281030444965
"15",41,40,19.38695358,5240.6,1.497862044,4598.2,642.400000000001,0,1,NA,"",2.96672364,2.1414569,0.995649992,0.099502488,"0",81.4,561.2,0.126672891378774,0.873327108621226
"16",44,43,22.29196219,5691,1.631860663,5240.6,450.4,0,5,NA,"",2.846632882,2.595416346,1.104822522,0.721500722,"0.144300144",80.6,370,0.178872614292055,0.821127385707945
"17",47,46,19.99191384,6296.6,1.458631608,5691,605.6,0,1,NA,"",NA,2.719921858,NA,0.107642626,"0",86,519.8,0.141961043248597,0.858038956751403
"18",48,47,10.03215795,6483,1.765960398,6296.6,186.4,0,3,NA,"",1.842835485,2.002440031,0.888048025,0.96670247,"0.322234157",186.2,0.4,0.997856377277599,0.00214362272240086
"19",50,49,54.29413958,6871.8,1.508998071,6483,388.8,0,6,NA,"",3.126334094,2.441570392,1.392000935,0.962052378,"0.160342063",68,321,0.174807197943445,0.825192802056555
"20",52,51,12.29179635,6968.6,1.62555788,6871.8,96.8000000000002,0,4,NA,"",2.205354531,2.484997971,1.545353912,3.418803419,"0.854700855",69.4,27.6,0.715463917525773,0.284536082474227
"21",55,54,25.65756955,7451,1.622144866,6968.6,482.4,0,3,NA,"",2.852104069,3.020962332,1.389813792,0.399822301,"0.1332741",121.4,361.2,0.251554082055533,0.748445917944468
"22",59,58,48.57359314,7879.8,1.163016964,7451,428.8,2,7,NA,"",3.118833793,14.92051054,1.728039632,1.078582435,"0.154083205",90.6,338.4,0.211188811188811,0.788811188811189
"23",63,62,53.76416957,8433.4,1.297259419,7879.8,553.599999999999,0,3,NA,"",NA,4.602603711,NA,0.360721443,"0.120240481",95.2,458.6,0.171903214156735,0.828096785843265
"24",66,65,21.53129413,8796.6,1.568163065,8433.4,363.200000000001,0,5,NA,"",2.927816373,1.708544109,1.301491506,0.921942225,"0",78.4,285,0.215740231150248,0.784259768849752
"25",70,69,28.93106678,9408.6,1.457799054,8796.6,612,0,5,NA,"",2.953279724,3.075123141,0.617730002,0.589854503,"0.235941801",144.8,467.4,0.236524011760862,0.763475988239138
"26",74,73,20.24267709,9793.4,1.457700129,9408.6,384.799999999999,0,4,NA,"",2.895110782,2.401060769,1.245845803,0.811359026,"0.202839757",130.2,254.8,0.338181818181818,0.661818181818182
"27",76,75,10.57988657,9985.4,1.569497873,9793.4,192,0,2,NA,"",2.656486026,2.393846458,1.399826815,0.739827374,"0",119.2,73,0.620187304890739,0.379812695109261
