,X,DN,JigRMS,Light,LightIR,Paddles,T,camon,flownoise,head,p,pitch,roll,speedFN,tagon,Aw.1,Aw.2,Aw.3,r,sec,MSA,jerk,dive,event,min.p,max.p,max.speed,min.speed,delta.speed,delta.p,tag,DateTime, LAT, LON
38503,52295,735709.5,-31.60412,NA,NA,0,4.95612,1,NA,54.39256,31.60902,92.69763,-26.34547,3.066421,1,0.9189709,0.3890601,-0.785633,38503,7700.6,2.648546,14.92051,58,lunge,17.21701,31.91991,3.118834,1,2.2064408,14.7029,mn14_110a,4/20/2014 12:21,57.854202,-134.123516
39119,52911,735709.5,-31.60624,NA,NA,0,4.916067,1,NA,-32.14784,40.12365,90.71307,-2.160046,2.798042,1,0.8057998,0.02999574,-0.7952677,39119,7823.8,1.299847,12.39899,58,lunge,23.65517,44.52173,2.848189,1.164364,1.683825,20.86656,mn14_110a,4/20/2014 12:23,57.85333,-134.122635
75273,89065,735709.6,-23.78048,NA,NA,0,4.769762,1,NA,55.46209,54.58343,46.26985,-42.19645,3.707947,1,0.4333219,0.6812093,-0.7513628,75273,15054.6,1.008978,25.37132,115,lunge,42.38681,54.84199,3.753369,1,2.9000898,12.45518,mn14_110a,4/20/2014 14:23,57.822979,-134.079065
78890,92682,735709.6,-19.44389,NA,NA,0,4.608654,1,NA,83.28683,50.49831,79.85248,-34.43949,3.326169,1,0.8675341,0.5862308,-0.854904,78890,15778,3.44918,33.39238,118,lunge,39.4452,50.59686,3.806507,1,3.1398837,11.15166,mn14_110a,4/20/2014 14:35,57.819132,-134.077391
82066,95858,735709.6,-25.95737,NA,NA,0,4.544522,1,NA,-140.2826,66.92414,62.38608,8.612895,3.527176,1,0.6990215,-0.1729012,-1.141518,82066,16413.2,3.42902,16.4359,122,lunge,51.31126,66.92414,3.747542,1.399186,2.348356,15.61288,mn14_110a,4/20/2014 14:46,57.817588,-134.062805
82465,96257,735709.6,-22.90255,NA,NA,0,4.525557,1,NA,108.4903,65.9298,57.87587,-20.54927,3.745479,1,0.6299165,0.3999117,-1.066815,82465,16493,2.960155,29.5134,122,lunge,35.87205,65.98654,4.408448,1.115571,3.292877,30.11449,mn14_110a,4/20/2014 14:47,57.817511,-134.060648
84349,98141,735709.6,-16.11896,NA,NA,0,4.827253,1,NA,-57.13385,67.93985,103.8555,2.777369,4.150288,1,1.008681,-0.03828542,-0.789191,84349,16869.8,2.758597,21.48816,131,lunge,41.52846,69.08495,4.474811,1,3.634436,27.55649,mn14_110a,4/20/2014 14:54,57.815224,-134.056557
86763,100555,735709.6,-16.11815,NA,NA,0,4.813468,1,NA,-44.64674,52.89824,103.9238,-15.24621,4.219667,1,1.290652,0.2655315,-0.9742121,86763,17352.6,6.263631,35.49691,137,lunge,29.69938,55.24403,4.357444,1.225611,3.131833,25.54465,mn14_110a,4/20/2014 15:02,57.814025,-134.054602
87638,101430,735709.6,-17.16348,NA,NA,0,4.900326,1,NA,-116.9961,61.29872,90.90425,-15.75865,3.959327,1,1.104852,0.2953635,-1.046675,87638,17527.6,5.396713,36.66006,139,lunge,33.01715,62.00655,4.322472,1.818297,2.504175,28.9894,mn14_110a,4/20/2014 15:05,57.81437,-134.054974
88660,102452,735709.6,-19.30206,NA,NA,0,4.903904,1,NA,132.3806,56.79397,75.93296,-0.9592482,3.783216,1,0.982561,0.02107956,-1.258962,88660,17732,5.855942,25.7292,142,lunge,29.58045,56.79397,4.366517,1,3.9331588,27.21352,mn14_110a,4/20/2014 15:08,57.811452,-134.053879
