,X,At.1,At.2,At.3,Aw.1,Aw.2,Aw.3,DN,DV.1,DV.2,DV.3,DV.4,DV.5,DV.6,Gt.1,Gt.2,Gt.3,Gw.1,Gw.2,Gw.3,JigRMS,Light,LightIR,Mt.1,Mt.2,Mt.3,Mw.1,Mw.2,Mw.3,Paddles,T,camon,flownoise,head,p,pitch,roll,speedFN,tagon,r,sec,MSA,jerk,dive,event,min.p,max.p,max.speed,min.speed,delta.speed,delta.p,tag,DateTime, LAT, LON
17540,17839,0.707683699,-0.694554907,-0.557688097,0.635511038,-0.313524821,-0.889981268,735712.4305,2014,4,23,10,19,54.3,NA,NA,NA,NA,NA,NA,-12.75529027,0.154645033,NA,-46.15056942,16.55622731,27.02175873,-44.25143615,2.045784868,34.23133548,0,4.89257672,1,NA,-167.1657146,60.96717716,67.92072693,19.40646861,3.171399604,1,17540,3268,1.349847564,26.36912868,10,lunge,38.21617693,69.66200558,3.33675629,1.435026051,1.901730239,31.44582865,mn14_113a,4/23/2014 10:19,57.676132,-134.007065
18262,18561,1.116764038,-0.184619556,0.035358153,1.093775317,-0.259285729,-0.137560766,735712.4322,2014,4,23,10,22,18.7,NA,NA,NA,NA,NA,NA,-11.24012534,0.046052163,NA,-45.52209288,30.82368258,-12.19425376,-42.36417116,35.79469813,9.750731276,0,4.765995606,1,NA,21.3457589,72.43593036,149.9569472,62.05237903,3.267914075,1,18262,3412.4,1.299122413,22.19292454,10,lunge,46.49634669,77.84454463,3.276490473,1.443856852,1.832633621,31.34819794,mn14_113a,4/23/2014 10:22,57.674955,-134.006203
19741,20040,0.645491033,-0.933053899,-0.387533404,0.551056732,-0.600671403,-0.879181855,735712.4356,2014,4,23,10,27,14.5,NA,NA,NA,NA,NA,NA,-17.81822429,0.090891074,NA,-23.85820919,51.14557423,-1.116849675,-18.80318799,44.59783007,29.04832071,0,4.922010109,1,NA,-33.77971882,74.38624579,54.72572289,34.34152734,2.968061605,1,19741,3708.2,1.95082562,22.18640201,11,lunge,57.09902817,78.46070689,3.201900112,1.249350231,1.952549881,21.36167872,mn14_113a,4/23/2014 10:27,57.674502,-134.005583
20880,21179,1.019763675,-0.363640861,0.176016891,0.94667979,-0.52465115,-0.177969439,735712.4382,2014,4,23,10,31,2.3,NA,NA,NA,NA,NA,NA,-14.26936125,0.076642347,NA,-29.71543667,47.10141707,-8.991233717,-21.39245054,47.41516386,21.83021408,0,5.009295788,1,NA,49.24061549,76.11554297,119.3260911,71.2623029,3.142441685,1,20880,3936,0.95001837,17.11785783,12,lunge,55.02169218,80.31922408,3.173049589,1.40280183,1.770247759,25.2975319,mn14_113a,4/23/2014 10:31,57.674957,-134.00589
23597,23896,1.128780657,-0.202119665,0.159520413,1.08141033,-0.396519959,-0.117339309,735712.4445,2014,4,23,10,40,5.7,NA,NA,NA,NA,NA,NA,-12.89465904,0.15343332,NA,-47.12008331,22.67801711,-20.72772271,-43.14686426,36.07841088,0.964144009,0,4.855193219,1,NA,11.65618874,72.63033909,138.1475832,73.51531168,3.205190031,1,23597,4479.4,1.547252429,17.62379135,13,lunge,57.33105892,76.87867864,3.224951263,1.432762111,1.792189152,19.54761972,mn14_113a,4/23/2014 10:40,57.67475,-134.003751
24120,24419,0.99431042,-0.461560514,-0.072886621,0.896339374,-0.463301535,-0.434662158,735712.4457,2014,4,23,10,41,50.3,NA,NA,NA,NA,NA,NA,-19.77922026,0.023974752,NA,-25.26298814,49.71793842,9.198497913,-15.94812083,38.87861709,37.79966811,0,4.751943629,1,NA,41.72797286,78.02885677,109.345909,46.82675469,2.881068883,1,24120,4584,0.967300858,18.12827019,13,lunge,50.44282087,79.62832152,3.207962169,1.201571957,2.006390212,29.18550065,mn14_113a,4/23/2014 10:41,57.677112,-134.002321
26065,26364,-0.202569115,-0.50501355,-0.823282264,-0.314401768,0.069047026,-0.93287226,735712.4502,2014,4,23,10,48,19.3,NA,NA,NA,NA,NA,NA,-18.16939396,0.003656968,NA,-7.868877591,25.03046182,50.02798452,-1.736631577,-6.307706628,56.11095647,0,4.884712788,1,NA,-146.1015377,80.65811485,-37.15562583,-4.233058195,2.691450617,1,26065,4973,-0.128988776,15.1136445,15,lunge,71.4854012,81.67004544,2.737657357,1.017022773,1.720634584,10.18464424,mn14_113a,4/23/2014 10:48,57.678096,-133.997663
29389,29688,1.129974663,-0.320144918,0.284331054,1.066319495,-0.563070193,-0.078066311,735712.4579,2014,4,23,10,59,24.1,NA,NA,NA,NA,NA,NA,-15.6296977,0.172039302,NA,-48.85600648,18.58923287,-20.03427263,-45.54053135,32.5527498,-0.468521548,0,4.751772931,1,NA,4.86300577,75.98636541,123.8757425,82.1066026,3.060580093,1,29389,5637.8,2.043499305,18.44322916,18,lunge,59.67731687,79.06063603,3.103127244,1.071312577,2.031814667,19.38331917,mn14_113a,4/23/2014 10:59,57.681552,-133.99562
32778,33077,0.368461124,-0.704325977,-0.181203061,0.234634232,-0.5237675,-0.579040252,735712.4658,2014,4,23,11,10,41.9,NA,NA,NA,NA,NA,NA,-15.67700145,0.086853967,NA,-38.41888644,40.89772427,-7.039931075,-30.96860024,42.32747066,21.15481842,0,4.837484458,1,NA,-94.46957894,77.55461925,33.45230363,42.13073502,2.980122551,1,32778,6315.6,-1.811533993,23.33480477,20,lunge,53.72236369,83.09284423,3.256349292,1.524389174,1.731960119,29.37048054,mn14_113a,4/23/2014 11:10,57.686576,-133.992691
34160,34459,1.295453303,-0.562555196,-0.264444303,1.425912164,0.026390581,0.175146902,735712.469,2014,4,23,11,15,18.3,NA,NA,NA,NA,NA,NA,-9.558556014,3.130013704,NA,-34.37690044,43.11818145,12.13218453,-51.96513566,20.19332882,8.943875232,0,5.093883819,1,NA,174.4204576,18.49167816,165.8382069,-171.4313118,3.235188971,1,34160,6592,4.28424143,36.37942933,21,lunge,0.465588528,25.44764675,3.303014282,1.516952955,1.786061327,24.98205822,mn14_113a,4/23/2014 11:15,57.689743,-133.987854
