,X,Temp,Aw.1,Aw.2,Aw.3,pitch,roll,roll2,n2,head,head2,JigRMS,speedFN,speedJJ,speedFNexp,speedSP,rollrate,TspeedFN,TspeedJJ,p,r,sec,MSA,jerk,dive,event,min.p,max.p,max.speed,min.speed,delta.speed,delta.p,tag,DateTime, LAT, LON
41111,57610,4.605492071,0.311633764,0.055002323,-0.680445372,49.07302125,-4.621332152,0.0507850795426447+0i,1,-77.19022462,1.794369084,-15.18263323,3.978278665,5.11944377,4.699054792,NA,-0.032440792,3.978278665,5.11944377,57.46285551,41111,8222.2,-2.447435334,12.01179743,33,lunge,35.51780006,62.96210264,4.003463298,1,3.102219777,27.44430258,mn14_113b,4/23/2014 14:51,57.680533,-134.052265
60465,76964,4.582404375,0.259377279,-0.105767548,-0.815699791,35.00444513,7.388024826,-0.0968617327647424+0i,1,91.58964594,-1.543051771,-14.78792693,3.873009498,5.202492701,4.467775521,NA,0.034857122,3.873009498,5.202492701,60.58307258,60465,12093,-1.348850735,9.472652141,53,lunge,34.6697673,63.07893534,4.218738509,1.077419299,3.14131921,28.40916804,mn14_113b,4/23/2014 15:55,57.677997,-134.038524
61564,78063,5.204804885,0.595284409,0.051404698,-0.917964991,65.84355517,-3.205132489,0.0441116796358299+0i,1,66.83437783,-1.975112707,-18.18076375,3.962900425,4.530411302,4.664535998,NA,0.017563601,3.962900425,4.530411302,63.16868861,61564,12312.8,0.93450035,9.500593256,54,lunge,44.52287555,63.63229789,4.108262395,1.335848605,2.77241379,19.10942234,mn14_113b,4/23/2014 15:59,57.676303,-134.036123
62169,78668,4.816795897,1.237280169,0.170107171,-0.504008017,133.4716352,-18.64999451,-0.374333217096075+0i,1,-106.395535,1.284640259,-13.75507015,4.374484518,5.426244099,5.682095936,NA,-0.003537403,4.374484518,5.426244099,53.11313452,62169,12433.8,3.400773313,20.98303679,54,lunge,26.93630061,58.28735012,4.498423443,1.007702664,3.490720779,31.35104951,mn14_113b,4/23/2014 16:01,57.675125,-134.037322
64107,80606,4.709944004,1.203669826,0.317645703,-0.743407605,112.2266257,-23.13621266,-0.536601083377895+0i,1,54.56693282,-2.189220013,-14.65506323,4.210644039,5.230750136,5.252833901,NA,-0.003031381,4.210644039,5.230750136,54.29310913,64107,12821.4,4.412568816,15.55173009,55,lunge,30.18328609,57.92846426,4.284440269,1.292995351,2.991444918,27.74517817,mn14_113b,4/23/2014 16:08,57.670411,-134.033313
65463,81962,4.805965213,0.83760492,-0.46764607,-0.635432387,93.4255887,36.35118694,-0.255733773985167+0i,1,83.22716791,-1.689004546,-37.65220201,2.467520596,2.048211245,2.277404612,2.195359864,-0.008133391,2.467520596,2.048211245,60.02413588,65463,13092.6,1.477600848,5.341006855,56,lunge,46.17724735,61.91421796,2.924508186,1,2.086648984,15.73697061,mn14_113b,4/23/2014 16:12,57.67256,-134.026869
66587,83086,4.543169102,0.047008101,-0.593097476,-0.699954094,5.866336232,40.27586289,-0.519668862292548+0i,1,28.77393132,-2.639392813,-27.21204643,2.972928206,3.134938308,2.901858677,NA,0.008515401,2.972928206,3.134938308,64.86921305,66587,13317.4,-0.797812143,14.15429554,56,lunge,42.1392675,65.46861401,3.760049201,1,3.040943902,23.32934651,mn14_113b,4/23/2014 16:16,57.672962,-134.02628
67093,83592,4.662163101,0.976104312,0.079612322,-0.705170128,107.9639992,-6.441306433,0.00836489467268683+0i,1,-43.23878738,2.386933449,-15.73259067,4.013000904,5.005934764,4.777936568,4.014820445,-0.020738595,4.013000904,5.005934764,55.4746051,67093,13418.6,2.028081933,10.48192291,57,lunge,30.63577435,58.19748924,4.091550285,1,3.181924738,27.56171489,mn14_113b,4/23/2014 16:18,57.673413,-134.025331
67795,84294,4.961248142,0.973844889,0.252737665,-0.746764424,102.0163562,-18.69806235,0.0291056863619576+0i,1,-50.17763261,2.265827754,-17.71660057,3.819129271,4.616960333,4.353839286,NA,0.024066695,3.819129271,4.616960333,70.39565506,67795,13559,2.480684464,11.77432937,58,lunge,51.96659367,72.47751703,3.871840121,1.232927764,2.638912357,20.51092336,mn14_113b,4/23/2014 16:20,57.67395,-134.026602
68040,84539,4.801355931,1.014083028,0.028724738,-0.268745854,150.1525196,-6.100862341,-0.00194226163383852+0i,1,169.9753269,-0.174963552,-36.8244948,2.409162505,2.118508438,2.214567203,2.032646043,-0.019914416,2.409162505,2.118508438,62.76996999,68040,13608,0.485259028,7.385508017,58,lunge,49.96363202,66.74182452,3.380429271,1,2.530098172,16.7781925,mn14_113b,4/23/2014 16:21,57.673057,-134.026657
