,X.1,ï..Date,Time,DateTime,T1,Tsec,Tmin,Pressure,Depth..m.,X,Vv,Magneto1,Magneto2,Magneto3,Gyro1,Gyro2,Gyro3,Accel1,Pitch,Accel2,Accel3,Light,Temp,Speed,Vk,Speed2_paddle.wheel.VVSP,MSA,jerk,dive,sec,p,speedFN,dive1,event,min.p,max.p,max.speed,min.speed,delta.speed,delta.p,tag
11267,11267,24.04.2014,15:38:04:0025,2014-04-24 15:38:04,179266,4481.65,74.69416667,33583234,33.930702,39.930702,0,354,-242,93,32767,32767,32767,4576,27.23234799,6464,3280,0,6.4375,13,0,3.6479,84054.10591,31349.89475,1,4481.65,33.930702,3.6479,1,lunge,30.256302,35.79693,4.3304,1.6004,2.73,5.540628,mn14_114a
12365,12365,24.04.2014,15:38:31:0625,2014-04-24 15:38:31,180364,4509.1,75.15166667,35735754,40.388262,46.388262,0,380,-282,33,32767,32767,32767,5936,36.4128935,3840,5312,0,6.0625,18,0,4.7854,86710.6161,65080.78497,1,4509.1,40.388262,4.7854,1,lunge,32.148966,41.37207,4.7854,1.1454,3.64,9.223104,mn14_114a
14109,14109,24.04.2014,15:39:15:0225,2014-04-24 15:39:15,182108,4552.7,75.87833333,36293526,42.061578,48.061578,0,334,-220,133,32767,32767,32767,4288,25.39142921,6784,4704,0,5.625,15,0,4.1029,91216.92908,34934.47431,1,4552.7,42.061578,4.1029,1,lunge,34.471614,43.417434,4.1029,1,3.185,8.94582,mn14_114a
15327,15327,24.04.2014,15:39:45:0850,2014-04-24 15:39:45,183326,4583.15,76.38583333,34740102,37.401306,43.401306,0,47,-8,152,32767,32767,32767,-7152,-45.65959228,4768,-2928,0,5.375,12,0,3.4204,89040.89977,38906.85074,1,4583.15,37.401306,3.4204,1,lunge,34.671822,42.945126,3.8754,1,2.9575,8.273304,mn14_114a
16487,16487,24.04.2014,15:40:14:0850,2014-04-24 15:40:14,184486,4612.15,76.86916667,35484130,39.63339,45.63339,0,429,-164,-63,32767,32767,32767,8000,53.13010235,-768,2544,0,5.1875,14,0,3.8754,82658.42644,35660.09455,1,4612.15,39.63339,3.8754,1,lunge,27.350598,41.789214,4.7854,1.1454,3.64,14.438616,mn14_114a
18041,18041,24.04.2014,15:40:53:0850,2014-04-24 15:40:53,186040,4651,77.51666667,32746674,31.421022,37.421022,0,-34,-77,143,32767,32767,32767,-5552,-33.72449139,4288,-2992,0,5.0625,14,0,3.8754,74780.74443,34218.81992,1,4651,31.421022,3.8754,1,lunge,28.63791,40.713558,3.8754,1.1454,2.73,12.075648,mn14_114a
20207,20207,24.04.2014,15:41:48:0150,2014-04-24 15:41:48,188206,4705.15,78.41916667,36496262,42.669786,48.669786,0,407,-178,47,32767,32767,32767,8160,54.68635995,4416,3632,0,4.875,13,0,3.6479,97702.07133,167279.407,1,4705.15,42.669786,3.6479,1,lunge,31.519926,45.015066,3.8754,1,3.185,13.49514,mn14_114a
28911,28911,24.04.2014,15:45:26:0250,2014-04-24 15:45:26,196910,4922.75,82.04583333,39092358,50.458074,56.458074,0,297,-245,153,32767,32767,32767,4272,25.2899959,3536,4240,0,4.9375,14,0,3.8754,68447.97197,31701.7162,2,4922.75,50.458074,3.8754,2,lunge,40.58025,51.570702,4.5579,1,3.8675,10.990452,mn14_114a
31519,31519,24.04.2014,15:46:31:0625,2014-04-24 15:46:31,199518,4987.95,83.1325,36526698,42.761094,48.761094,0,403,-232,29,32767,32767,32767,5712,34.83394786,2848,3712,0,4.625,15,0,4.1029,72398.20442,58477.86973,2,4987.95,42.761094,4.1029,2,lunge,34.723398,45.517182,4.5579,1.3729,3.185,10.793784,mn14_114a
32549,32549,24.04.2014,15:46:57:0525,2014-04-24 15:46:57,200548,5013.7,83.56166667,34548638,36.826914,42.826914,0,254,-359,64,32767,32767,32767,2096,12.09891226,4304,7472,0,4.5625,5,0,1.8279,87014.70383,36382.66803,2,5013.7,36.826914,1.8279,2,lunge,35.753814,37.26957,3.4204,1.6004,1.82,1.515756,mn14_114a
33127,33127,24.04.2014,15:47:11:0975,2014-04-24 15:47:11,201126,5028.15,83.8025,35294438,39.064314,45.064314,0,15,16,122,32767,32767,32767,-5136,-30.90392287,2768,-4896,0,4.5625,11,0,3.1929,74682.58412,29757.24005,2,5028.15,39.064314,3.1929,2,lunge,37.065798,46.495926,3.6479,1.1454,2.5025,9.430128,mn14_114a
34534,34534,24.04.2014,15:47:47:0150,2014-04-24 15:47:47,202533,5063.325,84.38875,39152166,50.637498,56.637498,0.9408,327,-229,139,32767,32767,32767,3248,18.95345849,7104,3968,0,4.5,15,2.896551724,4.1029,85909.7368,34856.49103,2,5063.325,50.637498,4.1029,2,lunge,45.014382,52.05795,4.1029,1.1454,2.9575,7.043568,mn14_114a
35814,35814,24.04.2014,15:48:19:0300,2014-04-24 15:48:19,203813,5095.325,84.92208333,40182930,53.72979,59.72979,0,209,-294,165,32767,32767,32767,976,5.600984471,7408,4448,0,4.5,14,0,3.8754,85266.18736,37441.02796,2,5095.325,53.72979,3.8754,2,lunge,53.369982,55.015686,3.8754,1,2.9575,1.645704,mn14_114a
37273,37273,24.04.2014,15:48:55:0775,2014-04-24 15:48:55,205272,5131.8,85.53,39054714,50.345142,56.345142,0,396,-210,38,32767,32767,32767,5632,34.27738924,3696,3792,0,4.5,11,0,3.1929,75799.53309,29637.4244,2,5131.8,50.345142,3.1929,2,lunge,42.437514,53.480382,3.6479,1.1454,2.5025,11.042868,mn14_114a
40142,40142,24.04.2014,15:50:07:0800,2014-04-24 15:50:07,208141,5203.525,86.72541667,39810234,52.611702,58.611702,0,398,-182,67,32767,32767,32767,6608,41.36091391,4736,2432,0,4.5,10,0,2.9654,83208.14712,93971.78257,2,5203.525,52.611702,2.9654,2,lunge,45.044994,54.35685,4.1029,1.1454,2.9575,9.311856,mn14_114a
41948,41948,24.04.2014,15:50:52:0950,2014-04-24 15:50:52,209947,5248.675,87.47791667,37732002,46.377006,52.377006,0,389,-203,83,32767,32767,32767,4560,27.12929446,5328,3568,0,4.4375,11,0,3.1929,77152.89395,34729.31229,2,5248.675,46.377006,3.1929,2,lunge,39.153558,48.484278,3.8754,1.1454,2.73,9.33072,mn14_114a
42959,42959,24.04.2014,15:51:18:0375,2014-04-24 15:51:18,210958,5273.95,87.89916667,33056998,32.351994,38.351994,0,340,-228,123,32767,32767,32767,4032,23.77837896,6816,3568,0,4.4375,15,0,4.1029,85170.1388,37020.26424,2,5273.95,32.351994,4.1029,2,lunge,21.86037,33.794622,4.7854,1.3729,3.4125,11.934252,mn14_114a
56731,56731,24.04.2014,15:57:03:0425,2014-04-24 15:57:03,224730,5618.25,93.6375,38659142,49.158426,55.158426,0,326,-197,147,32767,32767,32767,7008,44.4912234,5968,3536,0,4.6875,13,0,3.6479,96690.11956,41611.67734,3,5618.25,49.158426,3.6479,3,lunge,39.094698,52.35921,4.5579,1.3729,3.185,13.264512,mn14_114a
57914,57914,24.04.2014,15:57:33:0000,2014-04-24 15:57:33,225913,5647.825,94.13041667,35120390,38.54217,44.54217,0,374,-225,78,32767,32767,32767,7008,44.4912234,1536,1856,0,4.625,15,0,4.1029,72662.76075,62771.36944,3,5647.825,38.54217,4.1029,3,lunge,25.800822,40.224762,4.3304,1.3729,2.9575,14.42394,mn14_114a
